URL	chrom://arspawyn4ahlab1/ChromeleonLocal/Instrument Data/ICS3000/2025_Feb 11.seq/284.smp/ED_1.channel/ED_1.chm
Channel	ED_1

Injection Information:
Data Vault	ChromeleonLocal
Sequence	2025_Feb 11
Name	12-A2 Alex
Number	12
Position	RB4
Comment	
Processing Method	Quantitative
Instrument Method	Neutral Oligosaccharides V ICS 3000
Type	Unknown
Status	Finished
Inject Time	2/12/2025 11:25:04 AM -05:00
Volume (µl)	25.0000
Dilution Factor	1.0000
Weight	1.0000

Chromatogram Data Information:
Time Min. (min)	0.000000
Time Max. (min)	120.000000
Data Points	14401
Detector	EDet1
Generating Data System	Chromeleon 7.3.0.60919
Exporting Data System	Chromeleon 7.3.0.0
Operator	Instrument Controller
Signal Quantity	
Signal Unit	nC
Signal Min.	-0.064200
Signal Max.	95.975651
Channel	ED_1
Driver Name	DC-3000
Channel Type	Evaluation
Min. Step (s)	0.5
Max. Step (s)	0.5
Average Step (s)	0.5

Signal Parameter Information:
Signal Info	

Chromatogram Data:
Time (min)	Step (s)	Value (nC)
0.000000	n.a.	0.014500
0.008333	0.5	0.028850
0.016667	0.5	0.027000
0.025000	0.5	0.027450
0.033333	0.5	0.018600
0.041667	0.5	0.007550
0.050000	0.5	-0.000050
0.058333	0.5	-0.004750
0.066667	0.5	-0.006800
0.075000	0.5	-0.005950
0.083333	0.5	-0.007250
0.091667	0.5	-0.005700
0.100000	0.5	-0.004650
0.108333	0.5	-0.005550
0.116667	0.5	-0.002650
0.125000	0.5	-0.002350
0.133333	0.5	-0.009600
0.141667	0.5	-0.017550
0.150000	0.5	-0.018850
0.158333	0.5	-0.021950
0.166667	0.5	-0.022900
0.175000	0.5	-0.021700
0.183333	0.5	-0.018850
0.191667	0.5	-0.017800
0.200000	0.5	-0.014350
0.208333	0.5	-0.013700
0.216667	0.5	-0.007450
0.225000	0.5	-0.014250
0.233333	0.5	-0.021550
0.241667	0.5	-0.027650
0.250000	0.5	-0.028300
0.258333	0.5	-0.027350
0.266667	0.5	-0.027900
0.275000	0.5	-0.027050
0.283333	0.5	-0.025000
0.291667	0.5	-0.023050
0.300000	0.5	-0.022750
0.308333	0.5	-0.016700
0.316667	0.5	-0.016800
0.325000	0.5	-0.024950
0.333333	0.5	-0.029800
0.341667	0.5	-0.032150
0.350000	0.5	-0.033650
0.358333	0.5	-0.034650
0.366667	0.5	-0.033700
0.375000	0.5	-0.032550
0.383333	0.5	-0.031400
0.391667	0.5	-0.029700
0.400000	0.5	-0.027350
0.408333	0.5	-0.020900
0.416667	0.5	-0.027400
0.425000	0.5	-0.035650
0.433333	0.5	-0.040650
0.441667	0.5	-0.041000
0.450000	0.5	-0.041350
0.458333	0.5	-0.041800
0.466667	0.5	-0.039550
0.475000	0.5	-0.038650
0.483333	0.5	-0.034200
0.491667	0.5	-0.034400
0.500000	0.5	-0.029550
0.508333	0.5	-0.028850
0.516667	0.5	-0.036550
0.525000	0.5	-0.042150
0.533333	0.5	-0.045050
0.541667	0.5	-0.046250
0.550000	0.5	-0.045150
0.558333	0.5	-0.044100
0.566667	0.5	-0.041800
0.575000	0.5	-0.039450
0.583333	0.5	-0.037750
0.591667	0.5	-0.035950
0.600000	0.5	-0.029650
0.608333	0.5	-0.035900
0.616667	0.5	-0.043300
0.625000	0.5	-0.047200
0.633333	0.5	-0.049100
0.641667	0.5	-0.050900
0.650000	0.5	-0.050650
0.658333	0.5	-0.048800
0.666667	0.5	-0.046250
0.675000	0.5	-0.043800
0.683333	0.5	-0.042350
0.691667	0.5	-0.037600
0.700000	0.5	-0.038000
0.708333	0.5	-0.045450
0.716667	0.5	-0.052600
0.725000	0.5	-0.053750
0.733333	0.5	-0.054650
0.741667	0.5	-0.057000
0.750000	0.5	-0.054600
0.758333	0.5	-0.051800
0.766667	0.5	-0.048000
0.775000	0.5	-0.046100
0.783333	0.5	-0.045800
0.791667	0.5	-0.040050
0.800000	0.5	-0.046600
0.808333	0.5	-0.054900
0.816667	0.5	-0.057100
0.825000	0.5	-0.059400
0.833333	0.5	-0.060150
0.841667	0.5	-0.058600
0.850000	0.5	-0.058350
0.858333	0.5	-0.055700
0.866667	0.5	-0.053100
0.875000	0.5	-0.053250
0.883333	0.5	-0.046100
0.891667	0.5	-0.046400
0.900000	0.5	-0.055050
0.908333	0.5	-0.061950
0.916667	0.5	-0.063900
0.925000	0.5	-0.063400
0.933333	0.5	-0.062750
0.941667	0.5	-0.061850
0.950000	0.5	-0.059100
0.958333	0.5	-0.054850
0.966667	0.5	-0.053700
0.975000	0.5	-0.050150
0.983333	0.5	-0.046700
0.991667	0.5	-0.052850
1.000000	0.5	-0.058850
1.008333	0.5	-0.062250
1.016667	0.5	-0.063000
1.025000	0.5	-0.064200
1.033333	0.5	-0.063150
1.041667	0.5	-0.062000
1.050000	0.5	-0.059200
1.058333	0.5	-0.057150
1.066667	0.5	-0.054950
1.075000	0.5	-0.048700
1.083333	0.5	-0.049650
1.091667	0.5	-0.055050
1.100000	0.5	-0.060400
1.108333	0.5	-0.062750
1.116667	0.5	-0.064200
1.125000	0.5	-0.062850
1.133333	0.5	-0.062000
1.141667	0.5	-0.059150
1.150000	0.5	-0.053750
1.158333	0.5	-0.052350
1.166667	0.5	-0.051050
1.175000	0.5	-0.045700
1.183333	0.5	-0.051650
1.191667	0.5	-0.058950
1.200000	0.5	-0.063650
1.208333	0.5	-0.063150
1.216667	0.5	-0.062750
1.225000	0.5	-0.063800
1.233333	0.5	-0.060650
1.241667	0.5	-0.056750
1.250000	0.5	-0.052500
1.258333	0.5	-0.051800
1.266667	0.5	-0.045900
1.275000	0.5	-0.045300
1.283333	0.5	-0.053800
1.291667	0.5	-0.057950
1.300000	0.5	-0.060050
1.308333	0.5	-0.061050
1.316667	0.5	-0.061400
1.325000	0.5	-0.060600
1.333333	0.5	-0.057250
1.341667	0.5	-0.051700
1.350000	0.5	-0.049300
1.358333	0.5	-0.046200
1.366667	0.5	-0.042750
1.375000	0.5	-0.047000
1.383333	0.5	-0.054100
1.391667	0.5	-0.057900
1.400000	0.5	-0.056400
1.408333	0.5	-0.057000
1.416667	0.5	-0.055300
1.425000	0.5	-0.051700
1.433333	0.5	-0.051200
1.441667	0.5	-0.047500
1.450000	0.5	-0.044450
1.458333	0.5	-0.037850
1.466667	0.5	-0.036900
1.475000	0.5	-0.041700
1.483333	0.5	-0.048800
1.491667	0.5	-0.047450
1.500000	0.5	-0.046600
1.508333	0.5	-0.046000
1.516667	0.5	-0.043100
1.525000	0.5	-0.039450
1.533333	0.5	-0.034450
1.541667	0.5	-0.030950
1.550000	0.5	-0.027650
1.558333	0.5	-0.022350
1.566667	0.5	-0.027200
1.575000	0.5	-0.032000
1.583333	0.5	-0.033950
1.591667	0.5	-0.031800
1.600000	0.5	-0.031300
1.608333	0.5	-0.028050
1.616667	0.5	-0.024200
1.625000	0.5	-0.021400
1.633333	0.5	-0.013950
1.641667	0.5	-0.012000
1.650000	0.5	-0.001200
1.658333	0.5	-0.001400
1.666667	0.5	0.000150
1.675000	0.5	0.007550
1.683333	0.5	0.040100
1.691667	0.5	0.134250
1.700000	0.5	0.341650
1.708333	0.5	0.656200
1.716667	0.5	1.045400
1.725000	0.5	1.505550
1.733333	0.5	2.056600
1.741667	0.5	2.675650
1.750000	0.5	3.345850
1.758333	0.5	4.005950
1.766667	0.5	4.640000
1.775000	0.5	5.221050
1.783333	0.5	5.749150
1.791667	0.5	6.182650
1.800000	0.5	6.470100
1.808333	0.5	6.599000
1.816667	0.5	6.616950
1.825000	0.5	6.565750
1.833333	0.5	6.463750
1.841667	0.5	6.329350
1.850000	0.5	6.108350
1.858333	0.5	5.788300
1.866667	0.5	5.397300
1.875000	0.5	5.006450
1.883333	0.5	4.611200
1.891667	0.5	4.230400
1.900000	0.5	3.908600
1.908333	0.5	3.658700
1.916667	0.5	3.478950
1.925000	0.5	3.350050
1.933333	0.5	3.263400
1.941667	0.5	3.225000
1.950000	0.5	3.251300
1.958333	0.5	3.408700
1.966667	0.5	3.769550
1.975000	0.5	4.372100
1.983333	0.5	5.229650
1.991667	0.5	6.381600
2.000000	0.5	7.822300
2.008333	0.5	9.437350
2.016667	0.5	10.981450
2.025000	0.5	12.212950
2.033333	0.5	12.998350
2.041667	0.5	13.325400
2.050000	0.5	13.263800
2.058333	0.5	12.920800
2.066667	0.5	12.383600
2.075000	0.5	11.720700
2.083333	0.5	10.978100
2.091667	0.5	10.187400
2.100000	0.5	9.367900
2.108333	0.5	8.534400
2.116667	0.5	7.711250
2.125000	0.5	6.944050
2.133333	0.5	6.274050
2.141667	0.5	5.715400
2.150000	0.5	5.268100
2.158333	0.5	4.918900
2.166667	0.5	4.647900
2.175000	0.5	4.440500
2.183333	0.5	4.286050
2.191667	0.5	4.176100
2.200000	0.5	4.096750
2.208333	0.5	4.036900
2.216667	0.5	3.983350
2.225000	0.5	3.930200
2.233333	0.5	3.871500
2.241667	0.5	3.800050
2.250000	0.5	3.722600
2.258333	0.5	3.640200
2.266667	0.5	3.553850
2.275000	0.5	3.464900
2.283333	0.5	3.370450
2.291667	0.5	3.270500
2.300000	0.5	3.165600
2.308333	0.5	3.053000
2.316667	0.5	2.927400
2.325000	0.5	2.795450
2.333333	0.5	2.654250
2.341667	0.5	2.518300
2.350000	0.5	2.404650
2.358333	0.5	2.318400
2.366667	0.5	2.262200
2.375000	0.5	2.233950
2.383333	0.5	2.224750
2.391667	0.5	2.224450
2.400000	0.5	2.231950
2.408333	0.5	2.237350
2.416667	0.5	2.241250
2.425000	0.5	2.236650
2.433333	0.5	2.225100
2.441667	0.5	2.204850
2.450000	0.5	2.186050
2.458333	0.5	2.163450
2.466667	0.5	2.142500
2.475000	0.5	2.117500
2.483333	0.5	2.086850
2.491667	0.5	2.050600
2.500000	0.5	2.006100
2.508333	0.5	1.958700
2.516667	0.5	1.910950
2.525000	0.5	1.855000
2.533333	0.5	1.803650
2.541667	0.5	1.756400
2.550000	0.5	1.717550
2.558333	0.5	1.688850
2.566667	0.5	1.670550
2.575000	0.5	1.662200
2.583333	0.5	1.658150
2.591667	0.5	1.662150
2.600000	0.5	1.666350
2.608333	0.5	1.674150
2.616667	0.5	1.681000
2.625000	0.5	1.688050
2.633333	0.5	1.700550
2.641667	0.5	1.724400
2.650000	0.5	1.756150
2.658333	0.5	1.797300
2.666667	0.5	1.841650
2.675000	0.5	1.883250
2.683333	0.5	1.914100
2.691667	0.5	1.930200
2.700000	0.5	1.926200
2.708333	0.5	1.910050
2.716667	0.5	1.880250
2.725000	0.5	1.844300
2.733333	0.5	1.814500
2.741667	0.5	1.797500
2.750000	0.5	1.799100
2.758333	0.5	1.816000
2.766667	0.5	1.849600
2.775000	0.5	1.889050
2.783333	0.5	1.930150
2.791667	0.5	1.961350
2.800000	0.5	1.981800
2.808333	0.5	1.982000
2.816667	0.5	1.961450
2.825000	0.5	1.927300
2.833333	0.5	1.894950
2.841667	0.5	1.863100
2.850000	0.5	1.837550
2.858333	0.5	1.820100
2.866667	0.5	1.811700
2.875000	0.5	1.812100
2.883333	0.5	1.816500
2.891667	0.5	1.825400
2.900000	0.5	1.838900
2.908333	0.5	1.847800
2.916667	0.5	1.859900
2.925000	0.5	1.871000
2.933333	0.5	1.882400
2.941667	0.5	1.894600
2.950000	0.5	1.904950
2.958333	0.5	1.910650
2.966667	0.5	1.913350
2.975000	0.5	1.915250
2.983333	0.5	1.914950
2.991667	0.5	1.914100
3.000000	0.5	1.912400
3.008333	0.5	1.908100
3.016667	0.5	1.909300
3.025000	0.5	1.919300
3.033333	0.5	1.936950
3.041667	0.5	1.961100
3.050000	0.5	1.990950
3.058333	0.5	2.028250
3.066667	0.5	2.068300
3.075000	0.5	2.111550
3.083333	0.5	2.157100
3.091667	0.5	2.211850
3.100000	0.5	2.269350
3.108333	0.5	2.334500
3.116667	0.5	2.410800
3.125000	0.5	2.484900
3.133333	0.5	2.558900
3.141667	0.5	2.623050
3.150000	0.5	2.672950
3.158333	0.5	2.709250
3.166667	0.5	2.723700
3.175000	0.5	2.720600
3.183333	0.5	2.701350
3.191667	0.5	2.654350
3.200000	0.5	2.595300
3.208333	0.5	2.546450
3.216667	0.5	2.521350
3.225000	0.5	2.524850
3.233333	0.5	2.550250
3.241667	0.5	2.590800
3.250000	0.5	2.638250
3.258333	0.5	2.690550
3.266667	0.5	2.742700
3.275000	0.5	2.788950
3.283333	0.5	2.833450
3.291667	0.5	2.865900
3.300000	0.5	2.890600
3.308333	0.5	2.913250
3.316667	0.5	2.930550
3.325000	0.5	2.942300
3.333333	0.5	2.951150
3.341667	0.5	2.959500
3.350000	0.5	2.963150
3.358333	0.5	2.965750
3.366667	0.5	2.962100
3.375000	0.5	2.960900
3.383333	0.5	2.952150
3.391667	0.5	2.935550
3.400000	0.5	2.920150
3.408333	0.5	2.904200
3.416667	0.5	2.888800
3.425000	0.5	2.872900
3.433333	0.5	2.861400
3.441667	0.5	2.851350
3.450000	0.5	2.842600
3.458333	0.5	2.835600
3.466667	0.5	2.829350
3.475000	0.5	2.827150
3.483333	0.5	2.819700
3.491667	0.5	2.811250
3.500000	0.5	2.807650
3.508333	0.5	2.806800
3.516667	0.5	2.810000
3.525000	0.5	2.811050
3.533333	0.5	2.812550
3.541667	0.5	2.815200
3.550000	0.5	2.820000
3.558333	0.5	2.822300
3.566667	0.5	2.824600
3.575000	0.5	2.821150
3.583333	0.5	2.812500
3.591667	0.5	2.803200
3.600000	0.5	2.791750
3.608333	0.5	2.780250
3.616667	0.5	2.764000
3.625000	0.5	2.744900
3.633333	0.5	2.721200
3.641667	0.5	2.694750
3.650000	0.5	2.662650
3.658333	0.5	2.629100
3.666667	0.5	2.590800
3.675000	0.5	2.547200
3.683333	0.5	2.500600
3.691667	0.5	2.459200
3.700000	0.5	2.425000
3.708333	0.5	2.396600
3.716667	0.5	2.376550
3.725000	0.5	2.364350
3.733333	0.5	2.362300
3.741667	0.5	2.361350
3.750000	0.5	2.364000
3.758333	0.5	2.373650
3.766667	0.5	2.376300
3.775000	0.5	2.373900
3.783333	0.5	2.373900
3.791667	0.5	2.375500
3.800000	0.5	2.375250
3.808333	0.5	2.375150
3.816667	0.5	2.374300
3.825000	0.5	2.372950
3.833333	0.5	2.374050
3.841667	0.5	2.370300
3.850000	0.5	2.366550
3.858333	0.5	2.365600
3.866667	0.5	2.356500
3.875000	0.5	2.349050
3.883333	0.5	2.345000
3.891667	0.5	2.343750
3.900000	0.5	2.343150
3.908333	0.5	2.345900
3.916667	0.5	2.349950
3.925000	0.5	2.354750
3.933333	0.5	2.360250
3.941667	0.5	2.363900
3.950000	0.5	2.374000
3.958333	0.5	2.375850
3.966667	0.5	2.373600
