URL	chrom://arspawyn4ahlab1/ChromeleonLocal/Instrument Data/ICS3000/2025_Feb 11.seq/901.smp/ED_1.channel/ED_1.chm
Channel	ED_1

Injection Information:
Data Vault	ChromeleonLocal
Sequence	2025_Feb 11
Name	0-B Alex HO
Number	13
Position	RB5
Comment	
Processing Method	Quantitative
Instrument Method	Neutral Oligosaccharides V ICS 3000
Type	Unknown
Status	Finished
Inject Time	2/12/2025 1:52:34 PM -05:00
Volume (µl)	25.0000
Dilution Factor	1.0000
Weight	1.0000

Chromatogram Data Information:
Time Min. (min)	0.000000
Time Max. (min)	120.000000
Data Points	14401
Detector	EDet1
Generating Data System	Chromeleon 7.3.0.60919
Exporting Data System	Chromeleon 7.3.0.0
Operator	Instrument Controller
Signal Quantity	
Signal Unit	nC
Signal Min.	-0.165350
Signal Max.	51.395501
Channel	ED_1
Driver Name	DC-3000
Channel Type	Evaluation
Min. Step (s)	0.5
Max. Step (s)	0.5
Average Step (s)	0.5

Signal Parameter Information:
Signal Info	

Chromatogram Data:
Time (min)	Step (s)	Value (nC)
0.000000	n.a.	0.019100
0.008333	0.5	0.022350
0.016667	0.5	0.019100
0.025000	0.5	0.019350
0.033333	0.5	0.017950
0.041667	0.5	0.012850
0.050000	0.5	0.003200
0.058333	0.5	-0.004150
0.066667	0.5	-0.008550
0.075000	0.5	-0.011600
0.083333	0.5	-0.012200
0.091667	0.5	-0.013600
0.100000	0.5	-0.010450
0.108333	0.5	-0.007100
0.116667	0.5	-0.006700
0.125000	0.5	-0.006000
0.133333	0.5	-0.004750
0.141667	0.5	-0.011400
0.150000	0.5	-0.020150
0.158333	0.5	-0.023600
0.166667	0.5	-0.026100
0.175000	0.5	-0.028300
0.183333	0.5	-0.027800
0.191667	0.5	-0.027800
0.200000	0.5	-0.023750
0.208333	0.5	-0.021750
0.216667	0.5	-0.022800
0.225000	0.5	-0.018850
0.233333	0.5	-0.021450
0.241667	0.5	-0.030000
0.250000	0.5	-0.038300
0.258333	0.5	-0.038200
0.266667	0.5	-0.041050
0.275000	0.5	-0.041100
0.283333	0.5	-0.041750
0.291667	0.5	-0.040750
0.300000	0.5	-0.037950
0.308333	0.5	-0.038150
0.316667	0.5	-0.035700
0.325000	0.5	-0.034400
0.333333	0.5	-0.040400
0.341667	0.5	-0.048000
0.350000	0.5	-0.052250
0.358333	0.5	-0.053350
0.366667	0.5	-0.053400
0.375000	0.5	-0.055150
0.383333	0.5	-0.052250
0.391667	0.5	-0.050450
0.400000	0.5	-0.047900
0.408333	0.5	-0.047800
0.416667	0.5	-0.043800
0.425000	0.5	-0.047800
0.433333	0.5	-0.055550
0.441667	0.5	-0.061800
0.450000	0.5	-0.060450
0.458333	0.5	-0.063600
0.466667	0.5	-0.064950
0.475000	0.5	-0.065150
0.483333	0.5	-0.064150
0.491667	0.5	-0.059300
0.500000	0.5	-0.059200
0.508333	0.5	-0.057500
0.516667	0.5	-0.054950
0.525000	0.5	-0.062200
0.533333	0.5	-0.070400
0.541667	0.5	-0.074200
0.550000	0.5	-0.076400
0.558333	0.5	-0.078100
0.566667	0.5	-0.078550
0.575000	0.5	-0.076150
0.583333	0.5	-0.073000
0.591667	0.5	-0.070800
0.600000	0.5	-0.070550
0.608333	0.5	-0.067650
0.616667	0.5	-0.070000
0.625000	0.5	-0.078400
0.633333	0.5	-0.084900
0.641667	0.5	-0.085800
0.650000	0.5	-0.087250
0.658333	0.5	-0.087300
0.666667	0.5	-0.083300
0.675000	0.5	-0.086950
0.683333	0.5	-0.082600
0.691667	0.5	-0.083550
0.700000	0.5	-0.079350
0.708333	0.5	-0.078850
0.716667	0.5	-0.085050
0.725000	0.5	-0.092600
0.733333	0.5	-0.095800
0.741667	0.5	-0.097900
0.750000	0.5	-0.099850
0.758333	0.5	-0.100050
0.766667	0.5	-0.097900
0.775000	0.5	-0.094500
0.783333	0.5	-0.089450
0.791667	0.5	-0.091250
0.800000	0.5	-0.085800
0.808333	0.5	-0.090300
0.816667	0.5	-0.096700
0.825000	0.5	-0.104100
0.833333	0.5	-0.104600
0.841667	0.5	-0.107350
0.850000	0.5	-0.106750
0.858333	0.5	-0.103150
0.866667	0.5	-0.103050
0.875000	0.5	-0.101550
0.883333	0.5	-0.097850
0.891667	0.5	-0.095300
0.900000	0.5	-0.094900
0.908333	0.5	-0.101100
0.916667	0.5	-0.109500
0.925000	0.5	-0.111400
0.933333	0.5	-0.112000
0.941667	0.5	-0.112100
0.950000	0.5	-0.113350
0.958333	0.5	-0.112750
0.966667	0.5	-0.109300
0.975000	0.5	-0.106550
0.983333	0.5	-0.107900
0.991667	0.5	-0.103250
1.000000	0.5	-0.106550
1.008333	0.5	-0.113650
1.016667	0.5	-0.121250
1.025000	0.5	-0.123650
1.033333	0.5	-0.123600
1.041667	0.5	-0.126400
1.050000	0.5	-0.126050
1.058333	0.5	-0.123200
1.066667	0.5	-0.119700
1.075000	0.5	-0.119700
1.083333	0.5	-0.116900
1.091667	0.5	-0.115100
1.100000	0.5	-0.121700
1.108333	0.5	-0.129650
1.116667	0.5	-0.132500
1.125000	0.5	-0.134150
1.133333	0.5	-0.134200
1.141667	0.5	-0.134750
1.150000	0.5	-0.135550
1.158333	0.5	-0.129700
1.166667	0.5	-0.128750
1.175000	0.5	-0.125900
1.183333	0.5	-0.122400
1.191667	0.5	-0.125550
1.200000	0.5	-0.131350
1.208333	0.5	-0.137800
1.216667	0.5	-0.140750
1.225000	0.5	-0.141450
1.233333	0.5	-0.142400
1.241667	0.5	-0.140200
1.250000	0.5	-0.137800
1.258333	0.5	-0.134350
1.266667	0.5	-0.134450
1.275000	0.5	-0.131400
1.283333	0.5	-0.128900
1.291667	0.5	-0.136200
1.300000	0.5	-0.142000
1.308333	0.5	-0.145850
1.316667	0.5	-0.146700
1.325000	0.5	-0.146250
1.333333	0.5	-0.146850
1.341667	0.5	-0.145100
1.350000	0.5	-0.141100
1.358333	0.5	-0.138600
1.366667	0.5	-0.139800
1.375000	0.5	-0.133350
1.383333	0.5	-0.139050
1.391667	0.5	-0.146450
1.400000	0.5	-0.152600
1.408333	0.5	-0.153350
1.416667	0.5	-0.155400
1.425000	0.5	-0.156350
1.433333	0.5	-0.156400
1.441667	0.5	-0.153650
1.450000	0.5	-0.150150
1.458333	0.5	-0.150900
1.466667	0.5	-0.146500
1.475000	0.5	-0.144750
1.483333	0.5	-0.149600
1.491667	0.5	-0.156950
1.500000	0.5	-0.161150
1.508333	0.5	-0.163300
1.516667	0.5	-0.163750
1.525000	0.5	-0.162450
1.533333	0.5	-0.162550
1.541667	0.5	-0.157000
1.550000	0.5	-0.156150
1.558333	0.5	-0.154900
1.566667	0.5	-0.147650
1.575000	0.5	-0.151750
1.583333	0.5	-0.159600
1.591667	0.5	-0.163650
1.600000	0.5	-0.164550
1.608333	0.5	-0.165350
1.616667	0.5	-0.165000
1.625000	0.5	-0.163850
1.633333	0.5	-0.161300
1.641667	0.5	-0.156150
1.650000	0.5	-0.152650
1.658333	0.5	-0.145350
1.666667	0.5	-0.127350
1.675000	0.5	-0.111450
1.683333	0.5	-0.073100
1.691667	0.5	0.042150
1.700000	0.5	0.276000
1.708333	0.5	0.608500
1.716667	0.5	1.019050
1.725000	0.5	1.504050
1.733333	0.5	2.071600
1.741667	0.5	2.704950
1.750000	0.5	3.362950
1.758333	0.5	4.030300
1.766667	0.5	4.657450
1.775000	0.5	5.194900
1.783333	0.5	5.592500
1.791667	0.5	5.853650
1.800000	0.5	5.985250
1.808333	0.5	6.032550
1.816667	0.5	5.998150
1.825000	0.5	5.893550
1.833333	0.5	5.719650
1.841667	0.5	5.461800
1.850000	0.5	5.127700
1.858333	0.5	4.736850
1.866667	0.5	4.347100
1.875000	0.5	3.980700
1.883333	0.5	3.627600
1.891667	0.5	3.326150
1.900000	0.5	3.084650
1.908333	0.5	2.902650
1.916667	0.5	2.764300
1.925000	0.5	2.660400
1.933333	0.5	2.577500
1.941667	0.5	2.523900
1.950000	0.5	2.532850
1.958333	0.5	2.625100
1.966667	0.5	2.856150
1.975000	0.5	3.258350
1.983333	0.5	3.844800
1.991667	0.5	4.612550
2.000000	0.5	5.543000
2.008333	0.5	6.543600
2.016667	0.5	7.459550
2.025000	0.5	8.150650
2.033333	0.5	8.549850
2.041667	0.5	8.667300
2.050000	0.5	8.550050
2.058333	0.5	8.233800
2.066667	0.5	7.776250
2.075000	0.5	7.227300
2.083333	0.5	6.625000
2.091667	0.5	5.999900
2.100000	0.5	5.373500
2.108333	0.5	4.765650
2.116667	0.5	4.205800
2.125000	0.5	3.713200
2.133333	0.5	3.305200
2.141667	0.5	2.986150
2.150000	0.5	2.746450
2.158333	0.5	2.578900
2.166667	0.5	2.479250
2.175000	0.5	2.439850
2.183333	0.5	2.439250
2.191667	0.5	2.462850
2.200000	0.5	2.490350
2.208333	0.5	2.513350
2.216667	0.5	2.525600
2.225000	0.5	2.522000
2.233333	0.5	2.505400
2.241667	0.5	2.481800
2.250000	0.5	2.446550
2.258333	0.5	2.404300
2.266667	0.5	2.358950
2.275000	0.5	2.312700
2.283333	0.5	2.260350
2.291667	0.5	2.205450
2.300000	0.5	2.140650
2.308333	0.5	2.074600
2.316667	0.5	2.002300
2.325000	0.5	1.927000
2.333333	0.5	1.860200
2.341667	0.5	1.800900
2.350000	0.5	1.754750
2.358333	0.5	1.730350
2.366667	0.5	1.731600
2.375000	0.5	1.749550
2.383333	0.5	1.788450
2.391667	0.5	1.833700
2.400000	0.5	1.881900
2.408333	0.5	1.926800
2.416667	0.5	1.965000
2.425000	0.5	1.994150
2.433333	0.5	2.013900
2.441667	0.5	2.019800
2.450000	0.5	2.017550
2.458333	0.5	2.005000
2.466667	0.5	1.988500
2.475000	0.5	1.960550
2.483333	0.5	1.921400
2.491667	0.5	1.875000
2.500000	0.5	1.822950
2.508333	0.5	1.769400
2.516667	0.5	1.717400
2.525000	0.5	1.673450
2.533333	0.5	1.632000
2.541667	0.5	1.594650
2.550000	0.5	1.569850
2.558333	0.5	1.555850
2.566667	0.5	1.552300
2.575000	0.5	1.553800
2.583333	0.5	1.561250
2.591667	0.5	1.569300
2.600000	0.5	1.578400
2.608333	0.5	1.586000
2.616667	0.5	1.591050
2.625000	0.5	1.600550
2.633333	0.5	1.608100
2.641667	0.5	1.629150
2.650000	0.5	1.659550
2.658333	0.5	1.700100
2.666667	0.5	1.747850
2.675000	0.5	1.797350
2.683333	0.5	1.840100
2.691667	0.5	1.882300
2.700000	0.5	1.915400
2.708333	0.5	1.935950
2.716667	0.5	1.950800
2.725000	0.5	1.955150
2.733333	0.5	1.949800
2.741667	0.5	1.944600
2.750000	0.5	1.941400
2.758333	0.5	1.942000
2.766667	0.5	1.943600
2.775000	0.5	1.941100
2.783333	0.5	1.930250
2.791667	0.5	1.915000
2.800000	0.5	1.894100
2.808333	0.5	1.869800
2.816667	0.5	1.856600
2.825000	0.5	1.850050
2.833333	0.5	1.866900
2.841667	0.5	1.908000
2.850000	0.5	1.969150
2.858333	0.5	2.041200
2.866667	0.5	2.113150
2.875000	0.5	2.173600
2.883333	0.5	2.214050
2.891667	0.5	2.232750
2.900000	0.5	2.229250
2.908333	0.5	2.211300
2.916667	0.5	2.180100
2.925000	0.5	2.139800
2.933333	0.5	2.102850
2.941667	0.5	2.078700
2.950000	0.5	2.067350
2.958333	0.5	2.076750
2.966667	0.5	2.107400
2.975000	0.5	2.158900
2.983333	0.5	2.221200
2.991667	0.5	2.287500
3.000000	0.5	2.354200
3.008333	0.5	2.415500
3.016667	0.5	2.465200
3.025000	0.5	2.508300
3.033333	0.5	2.547650
3.041667	0.5	2.580800
3.050000	0.5	2.601650
3.058333	0.5	2.621500
3.066667	0.5	2.636050
3.075000	0.5	2.642150
3.083333	0.5	2.642800
3.091667	0.5	2.637900
3.100000	0.5	2.632200
3.108333	0.5	2.619200
3.116667	0.5	2.603650
3.125000	0.5	2.588400
3.133333	0.5	2.580050
3.141667	0.5	2.573600
3.150000	0.5	2.567650
3.158333	0.5	2.566750
3.166667	0.5	2.569300
3.175000	0.5	2.573400
3.183333	0.5	2.574200
3.191667	0.5	2.579350
3.200000	0.5	2.582850
3.208333	0.5	2.576900
3.216667	0.5	2.568250
3.225000	0.5	2.559200
3.233333	0.5	2.546700
3.241667	0.5	2.532900
3.250000	0.5	2.512050
3.258333	0.5	2.486400
3.266667	0.5	2.455450
3.275000	0.5	2.416550
3.283333	0.5	2.371500
3.291667	0.5	2.327400
3.300000	0.5	2.277150
3.308333	0.5	2.226350
3.316667	0.5	2.183450
3.325000	0.5	2.152400
3.333333	0.5	2.128050
3.341667	0.5	2.111600
3.350000	0.5	2.104400
3.358333	0.5	2.103100
3.366667	0.5	2.105800
3.375000	0.5	2.105650
3.383333	0.5	2.110100
3.391667	0.5	2.111300
3.400000	0.5	2.107700
3.408333	0.5	2.100900
3.416667	0.5	2.098200
3.425000	0.5	2.094650
3.433333	0.5	2.093800
3.441667	0.5	2.093700
3.450000	0.5	2.093850
3.458333	0.5	2.098600
3.466667	0.5	2.103150
3.475000	0.5	2.106300
3.483333	0.5	2.113050
3.491667	0.5	2.114650
3.500000	0.5	2.112050
