URL	chrom://arspawyn4ahlab1/ChromeleonLocal/Instrument Data/ICS3000/2025_Feb 11.seq/166.smp/ED_1.channel/ED_1.chm
Channel	ED_1

Injection Information:
Data Vault	ChromeleonLocal
Sequence	2025_Feb 11
Name	12-B1 Alex
Number	16
Position	RB8
Comment	
Processing Method	Quantitative
Instrument Method	Neutral Oligosaccharides V ICS 3000
Type	Unknown
Status	Finished
Inject Time	2/12/2025 9:15:07 PM -05:00
Volume (µl)	25.0000
Dilution Factor	1.0000
Weight	1.0000

Chromatogram Data Information:
Time Min. (min)	0.000000
Time Max. (min)	120.000000
Data Points	14401
Detector	EDet1
Generating Data System	Chromeleon 7.3.0.60919
Exporting Data System	Chromeleon 7.3.0.0
Operator	Instrument Controller
Signal Quantity	
Signal Unit	nC
Signal Min.	-0.075500
Signal Max.	82.561351
Channel	ED_1
Driver Name	DC-3000
Channel Type	Evaluation
Min. Step (s)	0.5
Max. Step (s)	0.5
Average Step (s)	0.5

Signal Parameter Information:
Signal Info	

Chromatogram Data:
Time (min)	Step (s)	Value (nC)
0.000000	n.a.	0.016450
0.008333	0.5	0.024450
0.016667	0.5	0.022000
0.025000	0.5	0.012050
0.033333	0.5	0.002150
0.041667	0.5	-0.001400
0.050000	0.5	-0.005250
0.058333	0.5	-0.006950
0.066667	0.5	-0.007100
0.075000	0.5	-0.008600
0.083333	0.5	-0.006350
0.091667	0.5	-0.004750
0.100000	0.5	-0.004250
0.108333	0.5	0.002300
0.116667	0.5	-0.002450
0.125000	0.5	-0.011600
0.133333	0.5	-0.014550
0.141667	0.5	-0.017700
0.150000	0.5	-0.019300
0.158333	0.5	-0.020500
0.166667	0.5	-0.018450
0.175000	0.5	-0.015500
0.183333	0.5	-0.012800
0.191667	0.5	-0.012550
0.200000	0.5	-0.007350
0.208333	0.5	-0.006350
0.216667	0.5	-0.014250
0.225000	0.5	-0.019850
0.233333	0.5	-0.022900
0.241667	0.5	-0.023800
0.250000	0.5	-0.024350
0.258333	0.5	-0.023600
0.266667	0.5	-0.022050
0.275000	0.5	-0.020550
0.283333	0.5	-0.017000
0.291667	0.5	-0.016050
0.300000	0.5	-0.009150
0.308333	0.5	-0.012400
0.316667	0.5	-0.020300
0.325000	0.5	-0.025250
0.333333	0.5	-0.025350
0.341667	0.5	-0.025350
0.350000	0.5	-0.024950
0.358333	0.5	-0.022450
0.366667	0.5	-0.021400
0.375000	0.5	-0.018100
0.383333	0.5	-0.016100
0.391667	0.5	-0.011850
0.400000	0.5	-0.009150
0.408333	0.5	-0.017650
0.416667	0.5	-0.026300
0.425000	0.5	-0.028900
0.433333	0.5	-0.029550
0.441667	0.5	-0.029450
0.450000	0.5	-0.027900
0.458333	0.5	-0.026400
0.466667	0.5	-0.024550
0.475000	0.5	-0.021200
0.483333	0.5	-0.021450
0.491667	0.5	-0.016700
0.500000	0.5	-0.019150
0.508333	0.5	-0.026800
0.516667	0.5	-0.031000
0.525000	0.5	-0.031600
0.533333	0.5	-0.034000
0.541667	0.5	-0.032000
0.550000	0.5	-0.032050
0.558333	0.5	-0.030600
0.566667	0.5	-0.028950
0.575000	0.5	-0.028350
0.583333	0.5	-0.022750
0.591667	0.5	-0.020150
0.600000	0.5	-0.027550
0.608333	0.5	-0.034550
0.616667	0.5	-0.037100
0.625000	0.5	-0.039650
0.633333	0.5	-0.038150
0.641667	0.5	-0.037550
0.650000	0.5	-0.035150
0.658333	0.5	-0.033450
0.666667	0.5	-0.030800
0.675000	0.5	-0.028500
0.683333	0.5	-0.021200
0.691667	0.5	-0.026600
0.700000	0.5	-0.033000
0.708333	0.5	-0.036950
0.716667	0.5	-0.037750
0.725000	0.5	-0.038200
0.733333	0.5	-0.038200
0.741667	0.5	-0.036600
0.750000	0.5	-0.033250
0.758333	0.5	-0.033000
0.766667	0.5	-0.030400
0.775000	0.5	-0.025050
0.783333	0.5	-0.024050
0.791667	0.5	-0.030950
0.800000	0.5	-0.036500
0.808333	0.5	-0.038150
0.816667	0.5	-0.041200
0.825000	0.5	-0.041150
0.833333	0.5	-0.040600
0.841667	0.5	-0.039000
0.850000	0.5	-0.037750
0.858333	0.5	-0.034950
0.866667	0.5	-0.032550
0.875000	0.5	-0.028500
0.883333	0.5	-0.032200
0.891667	0.5	-0.040850
0.900000	0.5	-0.044700
0.908333	0.5	-0.046300
0.916667	0.5	-0.046100
0.925000	0.5	-0.046700
0.933333	0.5	-0.045450
0.941667	0.5	-0.042850
0.950000	0.5	-0.040650
0.958333	0.5	-0.039000
0.966667	0.5	-0.035300
0.975000	0.5	-0.032250
0.983333	0.5	-0.039100
0.991667	0.5	-0.044200
1.000000	0.5	-0.047550
1.008333	0.5	-0.048550
1.016667	0.5	-0.049950
1.025000	0.5	-0.050350
1.033333	0.5	-0.047750
1.041667	0.5	-0.045450
1.050000	0.5	-0.043350
1.058333	0.5	-0.041100
1.066667	0.5	-0.034800
1.075000	0.5	-0.039750
1.083333	0.5	-0.049050
1.091667	0.5	-0.053400
1.100000	0.5	-0.054350
1.108333	0.5	-0.053950
1.116667	0.5	-0.054500
1.125000	0.5	-0.052700
1.133333	0.5	-0.053300
1.141667	0.5	-0.049900
1.150000	0.5	-0.050350
1.158333	0.5	-0.043750
1.166667	0.5	-0.043000
1.175000	0.5	-0.050150
1.183333	0.5	-0.058100
1.191667	0.5	-0.059550
1.200000	0.5	-0.062800
1.208333	0.5	-0.063550
1.216667	0.5	-0.063000
1.225000	0.5	-0.060650
1.233333	0.5	-0.059350
1.241667	0.5	-0.057950
1.250000	0.5	-0.056400
1.258333	0.5	-0.050150
1.266667	0.5	-0.055050
1.275000	0.5	-0.062800
1.283333	0.5	-0.065900
1.291667	0.5	-0.067750
1.300000	0.5	-0.069250
1.308333	0.5	-0.068800
1.316667	0.5	-0.066250
1.325000	0.5	-0.065250
1.333333	0.5	-0.062050
1.341667	0.5	-0.062400
1.350000	0.5	-0.057950
1.358333	0.5	-0.056350
1.366667	0.5	-0.062950
1.375000	0.5	-0.069600
1.383333	0.5	-0.071000
1.391667	0.5	-0.072950
1.400000	0.5	-0.074250
1.408333	0.5	-0.072150
1.416667	0.5	-0.071100
1.425000	0.5	-0.070150
1.433333	0.5	-0.065500
1.441667	0.5	-0.063800
1.450000	0.5	-0.058500
1.458333	0.5	-0.062950
1.466667	0.5	-0.070050
1.475000	0.5	-0.074450
1.483333	0.5	-0.075500
1.491667	0.5	-0.074700
1.500000	0.5	-0.074750
1.508333	0.5	-0.073200
1.516667	0.5	-0.071700
1.525000	0.5	-0.068550
1.533333	0.5	-0.068650
1.541667	0.5	-0.062050
1.550000	0.5	-0.060750
1.558333	0.5	-0.066650
1.566667	0.5	-0.071400
1.575000	0.5	-0.074800
1.583333	0.5	-0.074800
1.591667	0.5	-0.073250
1.600000	0.5	-0.071050
1.608333	0.5	-0.070550
1.616667	0.5	-0.067350
1.625000	0.5	-0.064200
1.633333	0.5	-0.060850
1.641667	0.5	-0.054250
1.650000	0.5	-0.058350
