URL	chrom://arspawyn4ahlab1/ChromeleonLocal/Instrument Data/ICS3000/2025_Feb 11.seq/976.smp/ED_1.channel/ED_1.chm
Channel	ED_1

Injection Information:
Data Vault	ChromeleonLocal
Sequence	2025_Feb 11
Name	15-B1 Alex
Number	17
Position	RC1
Comment	
Processing Method	Quantitative
Instrument Method	Neutral Oligosaccharides V ICS 3000
Type	Unknown
Status	Finished
Inject Time	2/12/2025 11:42:37 PM -05:00
Volume (µl)	25.0000
Dilution Factor	1.0000
Weight	1.0000

Chromatogram Data Information:
Time Min. (min)	0.000333
Time Max. (min)	120.000333
Data Points	14401
Detector	EDet1
Generating Data System	Chromeleon 7.3.0.60919
Exporting Data System	Chromeleon 7.3.0.0
Operator	Instrument Controller
Signal Quantity	
Signal Unit	nC
Signal Min.	-0.071000
Signal Max.	82.701701
Channel	ED_1
Driver Name	DC-3000
Channel Type	Evaluation
Min. Step (s)	0.5
Max. Step (s)	0.5
Average Step (s)	0.5

Signal Parameter Information:
Signal Info	

Chromatogram Data:
Time (min)	Step (s)	Value (nC)
0.000333	n.a.	0.016800
0.008667	0.5	0.019500
0.017000	0.5	0.020300
0.025333	0.5	0.017200
0.033667	0.5	0.017550
0.042000	0.5	0.016800
0.050333	0.5	0.008600
0.058667	0.5	-0.000600
0.067000	0.5	-0.003500
0.075333	0.5	-0.006250
0.083667	0.5	-0.007250
0.092000	0.5	-0.007450
0.100333	0.5	-0.005900
0.108667	0.5	-0.002450
0.117000	0.5	0.000650
0.125333	0.5	0.000550
0.133667	0.5	0.005100
0.142000	0.5	0.000650
0.150333	0.5	-0.008350
0.158667	0.5	-0.015300
0.167000	0.5	-0.016550
0.175333	0.5	-0.017600
0.183667	0.5	-0.017750
0.192000	0.5	-0.016600
0.200333	0.5	-0.012250
0.208667	0.5	-0.009150
0.217000	0.5	-0.008500
0.225333	0.5	-0.006400
0.233667	0.5	-0.003850
0.242000	0.5	-0.010400
0.250333	0.5	-0.016450
0.258667	0.5	-0.018900
0.267000	0.5	-0.020100
0.275333	0.5	-0.021400
0.283667	0.5	-0.019850
0.292000	0.5	-0.019900
0.300333	0.5	-0.017500
0.308667	0.5	-0.015200
0.317000	0.5	-0.014300
0.325333	0.5	-0.007550
0.333667	0.5	-0.012400
0.342000	0.5	-0.020700
0.350333	0.5	-0.026400
0.358667	0.5	-0.026550
0.367000	0.5	-0.026750
0.375333	0.5	-0.027300
0.383667	0.5	-0.026850
0.392000	0.5	-0.022900
0.400333	0.5	-0.020400
0.408667	0.5	-0.019650
0.417000	0.5	-0.017700
0.425333	0.5	-0.014650
0.433667	0.5	-0.021350
0.442000	0.5	-0.028600
0.450333	0.5	-0.032200
0.458667	0.5	-0.033550
0.467000	0.5	-0.035000
0.475333	0.5	-0.034800
0.483667	0.5	-0.032750
0.492000	0.5	-0.027350
0.500333	0.5	-0.025600
0.508667	0.5	-0.024850
0.517000	0.5	-0.017600
0.525333	0.5	-0.023050
0.533667	0.5	-0.032650
0.542000	0.5	-0.035400
0.550333	0.5	-0.035500
0.558667	0.5	-0.037850
0.567000	0.5	-0.037950
0.575333	0.5	-0.037650
0.583667	0.5	-0.035150
0.592000	0.5	-0.030300
0.600333	0.5	-0.030800
0.608667	0.5	-0.025300
0.617000	0.5	-0.024350
0.625333	0.5	-0.030250
0.633667	0.5	-0.038250
0.642000	0.5	-0.039950
0.650333	0.5	-0.043000
0.658667	0.5	-0.043200
0.667000	0.5	-0.044900
0.675333	0.5	-0.043300
0.683667	0.5	-0.038300
0.692000	0.5	-0.033300
0.700333	0.5	-0.033900
0.708667	0.5	-0.029600
0.717000	0.5	-0.031550
0.725333	0.5	-0.041550
0.733667	0.5	-0.044700
0.742000	0.5	-0.049250
0.750333	0.5	-0.049400
0.758667	0.5	-0.049300
0.767000	0.5	-0.047900
0.775333	0.5	-0.045150
0.783667	0.5	-0.039900
0.792000	0.5	-0.040800
0.800333	0.5	-0.036700
0.808667	0.5	-0.033800
0.817000	0.5	-0.042200
0.825333	0.5	-0.047750
0.833667	0.5	-0.052650
0.842000	0.5	-0.054050
0.850333	0.5	-0.053550
0.858667	0.5	-0.053500
0.867000	0.5	-0.051800
0.875333	0.5	-0.046550
0.883667	0.5	-0.043000
0.892000	0.5	-0.043150
0.900333	0.5	-0.035200
0.908667	0.5	-0.040750
0.917000	0.5	-0.048900
0.925333	0.5	-0.054100
0.933667	0.5	-0.055150
0.942000	0.5	-0.055750
0.950333	0.5	-0.055700
0.958667	0.5	-0.054700
0.967000	0.5	-0.051200
0.975333	0.5	-0.047950
0.983667	0.5	-0.047950
0.992000	0.5	-0.042100
1.000333	0.5	-0.039600
1.008667	0.5	-0.048200
1.017000	0.5	-0.055200
