URL	chrom://arspawyn4ahlab1/ChromeleonLocal/Instrument Data/ICS3000/2025_Feb 11.seq/115.smp/ED_1.channel/ED_1.chm
Channel	ED_1

Injection Information:
Data Vault	ChromeleonLocal
Sequence	2025_Feb 11
Name	0-C Alex HO
Number	25
Position	RD1
Comment	
Processing Method	Quantitative
Instrument Method	Neutral Oligosaccharides V ICS 3000
Type	Unknown
Status	Finished
Inject Time	2/13/2025 3:46:51 PM -05:00
Volume (µl)	25.0000
Dilution Factor	1.0000
Weight	1.0000

Chromatogram Data Information:
Time Min. (min)	0.000000
Time Max. (min)	120.000000
Data Points	14401
Detector	EDet1
Generating Data System	Chromeleon 7.3.0.60919
Exporting Data System	Chromeleon 7.3.0.0
Operator	Instrument Controller
Signal Quantity	
Signal Unit	nC
Signal Min.	-0.024400
Signal Max.	51.579101
Channel	ED_1
Driver Name	DC-3000
Channel Type	Evaluation
Min. Step (s)	0.5
Max. Step (s)	0.5
Average Step (s)	0.5

Signal Parameter Information:
Signal Info	

Chromatogram Data:
Time (min)	Step (s)	Value (nC)
0.000000	n.a.	0.011600
0.008333	0.5	0.025450
0.016667	0.5	0.021350
0.025000	0.5	0.010350
0.033333	0.5	0.003200
0.041667	0.5	-0.002350
0.050000	0.5	-0.005550
0.058333	0.5	-0.005850
0.066667	0.5	-0.007600
0.075000	0.5	-0.006700
0.083333	0.5	-0.004200
0.091667	0.5	-0.002100
0.100000	0.5	0.000550
0.108333	0.5	0.003450
0.116667	0.5	-0.002250
0.125000	0.5	-0.010500
0.133333	0.5	-0.015100
0.141667	0.5	-0.016450
0.150000	0.5	-0.015850
0.158333	0.5	-0.017050
0.166667	0.5	-0.013850
0.175000	0.5	-0.008100
0.183333	0.5	-0.004100
0.191667	0.5	-0.004850
0.200000	0.5	0.002800
0.208333	0.5	0.000200
0.216667	0.5	-0.008150
0.225000	0.5	-0.014800
0.233333	0.5	-0.015350
0.241667	0.5	-0.016100
0.250000	0.5	-0.016350
0.258333	0.5	-0.015100
0.266667	0.5	-0.012050
0.275000	0.5	-0.009250
0.283333	0.5	-0.004950
0.291667	0.5	-0.002600
0.300000	0.5	0.003400
0.308333	0.5	-0.002250
0.316667	0.5	-0.011100
0.325000	0.5	-0.012300
0.333333	0.5	-0.013650
0.341667	0.5	-0.015000
0.350000	0.5	-0.012400
0.358333	0.5	-0.013050
0.366667	0.5	-0.009800
0.375000	0.5	-0.006450
0.383333	0.5	-0.005000
0.391667	0.5	0.001300
