URL	chrom://arspawyn4ahlab1/ChromeleonLocal/Instrument Data/ICS3000/2025_Feb 11.seq/327.smp/ED_1.channel/ED_1.chm
Channel	ED_1

Injection Information:
Data Vault	ChromeleonLocal
Sequence	2025_Feb 11
Name	12-C1 Alex
Number	28
Position	RD4
Comment	
Processing Method	Quantitative
Instrument Method	Neutral Oligosaccharides V ICS 3000
Type	Unknown
Status	Finished
Inject Time	2/13/2025 11:09:20 PM -05:00
Volume (µl)	25.0000
Dilution Factor	1.0000
Weight	1.0000

Chromatogram Data Information:
Time Min. (min)	0.000000
Time Max. (min)	120.000000
Data Points	14401
Detector	EDet1
Generating Data System	Chromeleon 7.3.0.60919
Exporting Data System	Chromeleon 7.3.0.0
Operator	Instrument Controller
Signal Quantity	
Signal Unit	nC
Signal Min.	-0.094700
Signal Max.	57.045301
Channel	ED_1
Driver Name	DC-3000
Channel Type	Evaluation
Min. Step (s)	0.5
Max. Step (s)	0.5
Average Step (s)	0.5

Signal Parameter Information:
Signal Info	

Chromatogram Data:
Time (min)	Step (s)	Value (nC)
0.000000	n.a.	0.017350
0.008333	0.5	0.010600
0.016667	0.5	0.002050
0.025000	0.5	-0.003000
0.033333	0.5	-0.006950
0.041667	0.5	-0.009050
0.050000	0.5	-0.009850
0.058333	0.5	-0.010000
0.066667	0.5	-0.007300
0.075000	0.5	-0.007250
0.083333	0.5	-0.006250
0.091667	0.5	-0.002850
0.100000	0.5	-0.008350
0.108333	0.5	-0.016700
0.116667	0.5	-0.021000
0.125000	0.5	-0.022500
0.133333	0.5	-0.023250
0.141667	0.5	-0.023800
0.150000	0.5	-0.022650
0.158333	0.5	-0.017300
0.166667	0.5	-0.013800
0.175000	0.5	-0.016650
0.183333	0.5	-0.010950
0.191667	0.5	-0.014200
0.200000	0.5	-0.021700
0.208333	0.5	-0.025850
0.216667	0.5	-0.029300
0.225000	0.5	-0.029900
0.233333	0.5	-0.030100
0.241667	0.5	-0.029400
0.250000	0.5	-0.027650
0.258333	0.5	-0.024900
0.266667	0.5	-0.025450
0.275000	0.5	-0.021450
0.283333	0.5	-0.018400
0.291667	0.5	-0.024000
0.300000	0.5	-0.032050
0.308333	0.5	-0.035350
0.316667	0.5	-0.037400
0.325000	0.5	-0.037950
0.333333	0.5	-0.038050
0.341667	0.5	-0.037350
0.350000	0.5	-0.034500
0.358333	0.5	-0.030800
0.366667	0.5	-0.031900
0.375000	0.5	-0.026750
0.383333	0.5	-0.028600
0.391667	0.5	-0.035550
0.400000	0.5	-0.043100
0.408333	0.5	-0.044800
0.416667	0.5	-0.047100
0.425000	0.5	-0.047000
0.433333	0.5	-0.047100
0.441667	0.5	-0.044250
0.450000	0.5	-0.039200
0.458333	0.5	-0.038600
0.466667	0.5	-0.035950
0.475000	0.5	-0.033850
0.483333	0.5	-0.039500
0.491667	0.5	-0.044500
0.500000	0.5	-0.049300
0.508333	0.5	-0.050750
0.516667	0.5	-0.050700
0.525000	0.5	-0.050700
0.533333	0.5	-0.048700
0.541667	0.5	-0.045000
0.550000	0.5	-0.042300
0.558333	0.5	-0.041100
0.566667	0.5	-0.036050
0.575000	0.5	-0.038150
0.583333	0.5	-0.044300
0.591667	0.5	-0.049200
0.600000	0.5	-0.050850
0.608333	0.5	-0.053000
0.616667	0.5	-0.051600
0.625000	0.5	-0.050100
0.633333	0.5	-0.047850
0.641667	0.5	-0.042700
0.650000	0.5	-0.041550
0.658333	0.5	-0.040500
0.666667	0.5	-0.037400
0.675000	0.5	-0.043950
0.683333	0.5	-0.050150
0.691667	0.5	-0.053900
0.700000	0.5	-0.054000
0.708333	0.5	-0.056550
0.716667	0.5	-0.056100
0.725000	0.5	-0.053850
0.733333	0.5	-0.051300
0.741667	0.5	-0.049050
0.750000	0.5	-0.048900
0.758333	0.5	-0.042950
0.766667	0.5	-0.046750
0.775000	0.5	-0.053850
0.783333	0.5	-0.059350
0.791667	0.5	-0.058550
0.800000	0.5	-0.062750
0.808333	0.5	-0.063850
0.816667	0.5	-0.062050
0.825000	0.5	-0.061450
0.833333	0.5	-0.056300
0.841667	0.5	-0.056000
0.850000	0.5	-0.054750
0.858333	0.5	-0.051700
0.866667	0.5	-0.058000
0.875000	0.5	-0.065250
0.883333	0.5	-0.069800
0.891667	0.5	-0.071900
0.900000	0.5	-0.071150
0.908333	0.5	-0.070300
0.916667	0.5	-0.069100
0.925000	0.5	-0.066250
0.933333	0.5	-0.063000
0.941667	0.5	-0.064500
0.950000	0.5	-0.059850
0.958333	0.5	-0.062650
0.966667	0.5	-0.069750
0.975000	0.5	-0.075600
0.983333	0.5	-0.075450
0.991667	0.5	-0.076250
1.000000	0.5	-0.076750
1.008333	0.5	-0.075300
1.016667	0.5	-0.074300
1.025000	0.5	-0.070600
1.033333	0.5	-0.070250
1.041667	0.5	-0.066800
1.050000	0.5	-0.064650
1.058333	0.5	-0.069700
1.066667	0.5	-0.075400
1.075000	0.5	-0.079500
1.083333	0.5	-0.080650
1.091667	0.5	-0.081800
1.100000	0.5	-0.080400
1.108333	0.5	-0.078700
1.116667	0.5	-0.076950
1.125000	0.5	-0.071750
1.133333	0.5	-0.071650
1.141667	0.5	-0.067800
1.150000	0.5	-0.070950
1.158333	0.5	-0.077850
1.166667	0.5	-0.083600
1.175000	0.5	-0.084750
1.183333	0.5	-0.086400
1.191667	0.5	-0.085950
1.200000	0.5	-0.085800
1.208333	0.5	-0.082650
1.216667	0.5	-0.079250
1.225000	0.5	-0.079350
1.233333	0.5	-0.076850
1.241667	0.5	-0.073550
1.250000	0.5	-0.078350
1.258333	0.5	-0.087450
1.266667	0.5	-0.089150
1.275000	0.5	-0.090900
1.283333	0.5	-0.092350
1.291667	0.5	-0.090900
1.300000	0.5	-0.088250
1.308333	0.5	-0.084700
1.316667	0.5	-0.082050
1.325000	0.5	-0.081850
1.333333	0.5	-0.075200
1.341667	0.5	-0.077100
1.350000	0.5	-0.085650
1.358333	0.5	-0.091400
1.366667	0.5	-0.093050
1.375000	0.5	-0.092200
1.383333	0.5	-0.092150
1.391667	0.5	-0.090050
1.400000	0.5	-0.087950
1.408333	0.5	-0.083100
1.416667	0.5	-0.080800
1.425000	0.5	-0.077800
1.433333	0.5	-0.074150
1.441667	0.5	-0.080850
1.450000	0.5	-0.088400
1.458333	0.5	-0.090150
1.466667	0.5	-0.091200
1.475000	0.5	-0.091750
1.483333	0.5	-0.091600
1.491667	0.5	-0.089800
1.500000	0.5	-0.085050
1.508333	0.5	-0.082250
1.516667	0.5	-0.081200
1.525000	0.5	-0.075400
1.533333	0.5	-0.078600
1.541667	0.5	-0.083150
1.550000	0.5	-0.091550
1.558333	0.5	-0.093350
1.566667	0.5	-0.092600
1.575000	0.5	-0.092550
1.583333	0.5	-0.091700
1.591667	0.5	-0.088400
1.600000	0.5	-0.084250
1.608333	0.5	-0.083900
1.616667	0.5	-0.080250
1.625000	0.5	-0.077700
1.633333	0.5	-0.085350
1.641667	0.5	-0.091450
1.650000	0.5	-0.093600
1.658333	0.5	-0.094700
1.666667	0.5	-0.093350
1.675000	0.5	-0.086750
1.683333	0.5	-0.054500
1.691667	0.5	0.057000
1.700000	0.5	0.296450
1.708333	0.5	0.651350
1.716667	0.5	1.082050
1.725000	0.5	1.573500
1.733333	0.5	2.131700
1.741667	0.5	2.736750
1.750000	0.5	3.373150
1.758333	0.5	4.022350
1.766667	0.5	4.684150
1.775000	0.5	5.318400
1.783333	0.5	5.881750
1.791667	0.5	6.262250
1.800000	0.5	6.434500
1.808333	0.5	6.468800
1.816667	0.5	6.444600
1.825000	0.5	6.374600
1.833333	0.5	6.289450
1.841667	0.5	6.188900
1.850000	0.5	6.039950
1.858333	0.5	5.780750
1.866667	0.5	5.406250
1.875000	0.5	4.986750
1.883333	0.5	4.561650
1.891667	0.5	4.120000
1.900000	0.5	3.738450
1.908333	0.5	3.442200
1.916667	0.5	3.214400
1.925000	0.5	3.044850
1.933333	0.5	2.940450
1.941667	0.5	2.912850
1.950000	0.5	3.010050
1.958333	0.5	3.296800
1.966667	0.5	3.798650
1.975000	0.5	4.459500
1.983333	0.5	5.230250
1.991667	0.5	6.099750
2.000000	0.5	7.055100
2.008333	0.5	8.022000
2.016667	0.5	8.861200
2.025000	0.5	9.459200
2.033333	0.5	9.769400
2.041667	0.5	9.795300
2.050000	0.5	9.586350
2.058333	0.5	9.200250
2.066667	0.5	8.701250
2.075000	0.5	8.137250
2.083333	0.5	7.538550
2.091667	0.5	6.925750
2.100000	0.5	6.318450
2.108333	0.5	5.714650
2.116667	0.5	5.136200
2.125000	0.5	4.603350
2.133333	0.5	4.132850
2.141667	0.5	3.737150
2.150000	0.5	3.418050
2.158333	0.5	3.177350
2.166667	0.5	3.013950
2.175000	0.5	2.908200
2.183333	0.5	2.837250
2.191667	0.5	2.782750
2.200000	0.5	2.728500
2.208333	0.5	2.654650
2.216667	0.5	2.564200
2.225000	0.5	2.461400
2.233333	0.5	2.350650
2.241667	0.5	2.241050
2.250000	0.5	2.140700
2.258333	0.5	2.052550
