URL	chrom://arspawyn4ahlab1/ChromeleonLocal/Instrument Data/ICS3000/2025_Feb 11.seq/701.smp/ED_1.channel/ED_1.chm
Channel	ED_1

Injection Information:
Data Vault	ChromeleonLocal
Sequence	2025_Feb 11
Name	15-C1 Alex
Number	29
Position	RD5
Comment	
Processing Method	Quantitative
Instrument Method	Neutral Oligosaccharides V ICS 3000
Type	Unknown
Status	Finished
Inject Time	2/14/2025 1:36:49 AM -05:00
Volume (µl)	25.0000
Dilution Factor	1.0000
Weight	1.0000

Chromatogram Data Information:
Time Min. (min)	0.000000
Time Max. (min)	120.000000
Data Points	14401
Detector	EDet1
Generating Data System	Chromeleon 7.3.0.60919
Exporting Data System	Chromeleon 7.3.0.0
Operator	Instrument Controller
Signal Quantity	
Signal Unit	nC
Signal Min.	-0.083000
Signal Max.	168.250953
Channel	ED_1
Driver Name	DC-3000
Channel Type	Evaluation
Min. Step (s)	0.5
Max. Step (s)	0.5
Average Step (s)	0.5

Signal Parameter Information:
Signal Info	

Chromatogram Data:
Time (min)	Step (s)	Value (nC)
0.000000	n.a.	0.019050
0.008333	0.5	0.018950
0.016667	0.5	0.020400
0.025000	0.5	0.016900
0.033333	0.5	0.008700
0.041667	0.5	-0.000850
0.050000	0.5	-0.005500
0.058333	0.5	-0.008550
0.066667	0.5	-0.009950
0.075000	0.5	-0.009350
0.083333	0.5	-0.009400
0.091667	0.5	-0.006300
0.100000	0.5	-0.006150
0.108333	0.5	-0.003200
0.116667	0.5	0.000450
0.125000	0.5	-0.006500
0.133333	0.5	-0.013050
0.141667	0.5	-0.017150
0.150000	0.5	-0.017850
0.158333	0.5	-0.019600
0.166667	0.5	-0.019000
0.175000	0.5	-0.017450
0.183333	0.5	-0.016400
0.191667	0.5	-0.014800
0.200000	0.5	-0.015400
0.208333	0.5	-0.009700
0.216667	0.5	-0.011150
0.225000	0.5	-0.017900
0.233333	0.5	-0.022450
0.241667	0.5	-0.024200
0.250000	0.5	-0.024200
0.258333	0.5	-0.024500
0.266667	0.5	-0.024750
0.275000	0.5	-0.024750
0.283333	0.5	-0.021300
0.291667	0.5	-0.021750
0.300000	0.5	-0.018850
0.308333	0.5	-0.015400
0.316667	0.5	-0.022150
0.325000	0.5	-0.031250
0.333333	0.5	-0.032150
0.341667	0.5	-0.033600
0.350000	0.5	-0.035450
0.358333	0.5	-0.033700
0.366667	0.5	-0.034650
0.375000	0.5	-0.034050
0.383333	0.5	-0.031800
0.391667	0.5	-0.031550
0.400000	0.5	-0.025450
0.408333	0.5	-0.029150
0.416667	0.5	-0.035600
0.425000	0.5	-0.041600
0.433333	0.5	-0.043050
0.441667	0.5	-0.044650
0.450000	0.5	-0.044850
0.458333	0.5	-0.044850
0.466667	0.5	-0.045150
0.475000	0.5	-0.042250
0.483333	0.5	-0.041150
0.491667	0.5	-0.038850
0.500000	0.5	-0.035650
0.508333	0.5	-0.040750
0.516667	0.5	-0.047300
0.525000	0.5	-0.051200
0.533333	0.5	-0.053650
0.541667	0.5	-0.053600
0.550000	0.5	-0.054300
0.558333	0.5	-0.053250
0.566667	0.5	-0.049050
0.575000	0.5	-0.046700
0.583333	0.5	-0.047250
0.591667	0.5	-0.041950
0.600000	0.5	-0.044900
0.608333	0.5	-0.052200
0.616667	0.5	-0.057800
0.625000	0.5	-0.059100
0.633333	0.5	-0.059250
0.641667	0.5	-0.060600
0.650000	0.5	-0.058000
0.658333	0.5	-0.057850
0.666667	0.5	-0.056200
0.675000	0.5	-0.055000
0.683333	0.5	-0.050250
0.691667	0.5	-0.046750
0.700000	0.5	-0.054150
0.708333	0.5	-0.059750
0.716667	0.5	-0.063600
0.725000	0.5	-0.064900
0.733333	0.5	-0.063600
0.741667	0.5	-0.063800
0.750000	0.5	-0.063350
0.758333	0.5	-0.062150
0.766667	0.5	-0.059650
0.775000	0.5	-0.057750
0.783333	0.5	-0.052200
0.791667	0.5	-0.054350
0.800000	0.5	-0.061850
0.808333	0.5	-0.065850
0.816667	0.5	-0.068700
0.825000	0.5	-0.068400
0.833333	0.5	-0.068400
0.841667	0.5	-0.066350
0.850000	0.5	-0.065650
0.858333	0.5	-0.062000
0.866667	0.5	-0.061100
0.875000	0.5	-0.057400
0.883333	0.5	-0.054100
0.891667	0.5	-0.060200
0.900000	0.5	-0.065650
0.908333	0.5	-0.068800
0.916667	0.5	-0.069000
0.925000	0.5	-0.069200
0.933333	0.5	-0.068350
0.941667	0.5	-0.067650
0.950000	0.5	-0.065900
0.958333	0.5	-0.063900
0.966667	0.5	-0.060550
0.975000	0.5	-0.056050
0.983333	0.5	-0.058600
0.991667	0.5	-0.064600
1.000000	0.5	-0.069850
1.008333	0.5	-0.070900
1.016667	0.5	-0.073350
1.025000	0.5	-0.071700
1.033333	0.5	-0.071300
1.041667	0.5	-0.070600
1.050000	0.5	-0.067800
1.058333	0.5	-0.066800
1.066667	0.5	-0.063900
1.075000	0.5	-0.060250
1.083333	0.5	-0.067100
1.091667	0.5	-0.074650
1.100000	0.5	-0.077000
1.108333	0.5	-0.077950
1.116667	0.5	-0.078800
1.125000	0.5	-0.079200
1.133333	0.5	-0.077750
1.141667	0.5	-0.074900
1.150000	0.5	-0.071650
1.158333	0.5	-0.070700
1.166667	0.5	-0.065350
