URL	chrom://arspawyn4ahlab1/ChromeleonLocal/Instrument Data/ICS3000/2025_Feb 11.seq/821.smp/ED_1.channel/ED_1.chm
Channel	ED_1

Injection Information:
Data Vault	ChromeleonLocal
Sequence	2025_Feb 11
Name	0-A Alex HO
Number	5
Position	RA5
Comment	
Processing Method	Quantitative
Instrument Method	Neutral Oligosaccharides V ICS 3000
Type	Unknown
Status	Finished
Inject Time	2/11/2025 6:51:36 PM -05:00
Volume (µl)	25.0000
Dilution Factor	1.0000
Weight	1.0000

Chromatogram Data Information:
Time Min. (min)	0.000000
Time Max. (min)	120.000000
Data Points	14401
Detector	EDet1
Generating Data System	Chromeleon 7.3.0.60919
Exporting Data System	Chromeleon 7.3.0.0
Operator	Instrument Controller
Signal Quantity	
Signal Unit	nC
Signal Min.	-0.308600
Signal Max.	58.989501
Channel	ED_1
Driver Name	DC-3000
Channel Type	Evaluation
Min. Step (s)	0.5
Max. Step (s)	0.5
Average Step (s)	0.5

Signal Parameter Information:
Signal Info	

Chromatogram Data:
Time (min)	Step (s)	Value (nC)
0.000000	n.a.	0.008800
0.008333	0.5	0.003700
0.016667	0.5	-0.002400
0.025000	0.5	-0.006800
0.033333	0.5	-0.006700
0.041667	0.5	-0.007750
0.050000	0.5	-0.007850
0.058333	0.5	-0.008500
0.066667	0.5	-0.005950
0.075000	0.5	-0.011950
0.083333	0.5	-0.021850
0.091667	0.5	-0.025400
0.100000	0.5	-0.028200
0.108333	0.5	-0.030550
0.116667	0.5	-0.030950
0.125000	0.5	-0.029350
0.133333	0.5	-0.027200
0.141667	0.5	-0.024250
0.150000	0.5	-0.027500
0.158333	0.5	-0.025950
0.166667	0.5	-0.026150
0.175000	0.5	-0.034050
0.183333	0.5	-0.039800
0.191667	0.5	-0.043800
0.200000	0.5	-0.044650
0.208333	0.5	-0.048700
0.216667	0.5	-0.047850
0.225000	0.5	-0.044750
0.233333	0.5	-0.044950
0.241667	0.5	-0.041550
0.250000	0.5	-0.044200
0.258333	0.5	-0.039650
0.266667	0.5	-0.046150
0.275000	0.5	-0.054350
0.283333	0.5	-0.059800
0.291667	0.5	-0.061900
0.300000	0.5	-0.063900
0.308333	0.5	-0.063700
0.316667	0.5	-0.063500
0.325000	0.5	-0.060400
0.333333	0.5	-0.057250
0.341667	0.5	-0.060700
0.350000	0.5	-0.057650
0.358333	0.5	-0.060250
0.366667	0.5	-0.068050
0.375000	0.5	-0.074900
0.383333	0.5	-0.076950
0.391667	0.5	-0.080900
0.400000	0.5	-0.082400
0.408333	0.5	-0.083950
0.416667	0.5	-0.080150
0.425000	0.5	-0.077200
0.433333	0.5	-0.075050
0.441667	0.5	-0.075600
0.450000	0.5	-0.076300
0.458333	0.5	-0.082050
0.466667	0.5	-0.091000
0.475000	0.5	-0.097200
0.483333	0.5	-0.101000
0.491667	0.5	-0.103050
0.500000	0.5	-0.101700
0.508333	0.5	-0.102700
0.516667	0.5	-0.099400
0.525000	0.5	-0.098550
0.533333	0.5	-0.100800
0.541667	0.5	-0.095850
0.550000	0.5	-0.098500
0.558333	0.5	-0.107250
0.566667	0.5	-0.112450
0.575000	0.5	-0.115650
0.583333	0.5	-0.117400
0.591667	0.5	-0.119200
0.600000	0.5	-0.118250
0.608333	0.5	-0.119000
0.616667	0.5	-0.116300
0.625000	0.5	-0.118550
0.633333	0.5	-0.116500
0.641667	0.5	-0.114050
0.650000	0.5	-0.120050
0.658333	0.5	-0.126750
0.666667	0.5	-0.132350
0.675000	0.5	-0.135450
0.683333	0.5	-0.136900
0.691667	0.5	-0.138050
0.700000	0.5	-0.136400
0.708333	0.5	-0.133250
0.716667	0.5	-0.127250
0.725000	0.5	-0.132300
0.733333	0.5	-0.129550
0.741667	0.5	-0.131850
0.750000	0.5	-0.141950
0.758333	0.5	-0.147150
0.766667	0.5	-0.149300
0.775000	0.5	-0.150300
0.783333	0.5	-0.152000
0.791667	0.5	-0.150450
0.800000	0.5	-0.149900
0.808333	0.5	-0.149150
0.816667	0.5	-0.148050
0.825000	0.5	-0.149100
0.833333	0.5	-0.144400
0.841667	0.5	-0.149950
0.850000	0.5	-0.158900
0.858333	0.5	-0.161750
0.866667	0.5	-0.165400
0.875000	0.5	-0.167650
0.883333	0.5	-0.168400
0.891667	0.5	-0.167250
0.900000	0.5	-0.164650
0.908333	0.5	-0.162750
0.916667	0.5	-0.164900
0.925000	0.5	-0.160200
0.933333	0.5	-0.163100
0.941667	0.5	-0.170250
0.950000	0.5	-0.177250
0.958333	0.5	-0.181950
0.966667	0.5	-0.182300
0.975000	0.5	-0.183400
0.983333	0.5	-0.185150
0.991667	0.5	-0.182950
1.000000	0.5	-0.178250
1.008333	0.5	-0.176400
1.016667	0.5	-0.179700
1.025000	0.5	-0.175850
1.033333	0.5	-0.184500
1.041667	0.5	-0.193600
1.050000	0.5	-0.197100
1.058333	0.5	-0.197700
1.066667	0.5	-0.200350
1.075000	0.5	-0.201950
1.083333	0.5	-0.200950
1.091667	0.5	-0.198800
1.100000	0.5	-0.196900
1.108333	0.5	-0.199450
1.116667	0.5	-0.197000
1.125000	0.5	-0.197850
1.133333	0.5	-0.205500
1.141667	0.5	-0.214900
1.150000	0.5	-0.217600
1.158333	0.5	-0.219850
1.166667	0.5	-0.219850
1.175000	0.5	-0.218950
1.183333	0.5	-0.218950
1.191667	0.5	-0.217300
1.200000	0.5	-0.216850
1.208333	0.5	-0.216600
1.216667	0.5	-0.213150
1.225000	0.5	-0.220300
1.233333	0.5	-0.228600
1.241667	0.5	-0.233500
1.250000	0.5	-0.236400
1.258333	0.5	-0.237900
1.266667	0.5	-0.238350
1.275000	0.5	-0.237450
1.283333	0.5	-0.238600
1.291667	0.5	-0.237200
1.300000	0.5	-0.238350
1.308333	0.5	-0.233850
1.316667	0.5	-0.236400
1.325000	0.5	-0.243150
1.333333	0.5	-0.250550
1.341667	0.5	-0.252100
1.350000	0.5	-0.254050
1.358333	0.5	-0.256400
1.366667	0.5	-0.256750
1.375000	0.5	-0.256000
1.383333	0.5	-0.253150
1.391667	0.5	-0.252050
1.400000	0.5	-0.252600
1.408333	0.5	-0.251100
1.416667	0.5	-0.257100
1.425000	0.5	-0.265000
1.433333	0.5	-0.269350
1.441667	0.5	-0.272100
1.450000	0.5	-0.273350
1.458333	0.5	-0.274950
1.466667	0.5	-0.273750
1.475000	0.5	-0.272650
1.483333	0.5	-0.270350
1.491667	0.5	-0.271700
1.500000	0.5	-0.268850
1.508333	0.5	-0.270500
1.516667	0.5	-0.280100
1.525000	0.5	-0.287350
1.533333	0.5	-0.290450
1.541667	0.5	-0.292200
1.550000	0.5	-0.293450
1.558333	0.5	-0.294400
1.566667	0.5	-0.292500
1.575000	0.5	-0.287100
1.583333	0.5	-0.287100
1.591667	0.5	-0.288500
1.600000	0.5	-0.285250
1.608333	0.5	-0.292350
1.616667	0.5	-0.302350
1.625000	0.5	-0.306150
1.633333	0.5	-0.307950
1.641667	0.5	-0.308600
1.650000	0.5	-0.308150
1.658333	0.5	-0.307700
1.666667	0.5	-0.302450
1.675000	0.5	-0.288350
1.683333	0.5	-0.243100
1.691667	0.5	-0.110100
1.700000	0.5	0.113250
1.708333	0.5	0.415600
1.716667	0.5	0.779150
1.725000	0.5	1.182100
1.733333	0.5	1.648450
1.741667	0.5	2.168800
1.750000	0.5	2.701350
1.758333	0.5	3.204400
1.766667	0.5	3.641450
1.775000	0.5	3.970900
1.783333	0.5	4.188550
1.791667	0.5	4.320350
1.800000	0.5	4.388850
1.808333	0.5	4.428200
1.816667	0.5	4.440450
1.825000	0.5	4.389500
1.833333	0.5	4.243400
1.841667	0.5	3.996900
1.850000	0.5	3.694450
1.858333	0.5	3.407200
1.866667	0.5	3.163950
1.875000	0.5	2.915900
1.883333	0.5	2.710150
1.891667	0.5	2.536700
1.900000	0.5	2.400900
1.908333	0.5	2.300250
1.916667	0.5	2.225550
1.925000	0.5	2.169100
1.933333	0.5	2.124200
1.941667	0.5	2.102400
1.950000	0.5	2.127400
1.958333	0.5	2.232700
1.966667	0.5	2.457150
1.975000	0.5	2.844050
1.983333	0.5	3.442650
1.991667	0.5	4.276100
2.000000	0.5	5.319200
2.008333	0.5	6.442150
2.016667	0.5	7.455650
2.025000	0.5	8.209800
2.033333	0.5	8.659150
2.041667	0.5	8.829250
2.050000	0.5	8.779050
2.058333	0.5	8.564600
2.066667	0.5	8.234000
2.075000	0.5	7.831350
2.083333	0.5	7.372550
2.091667	0.5	6.873900
2.100000	0.5	6.353250
2.108333	0.5	5.831650
2.116667	0.5	5.334750
2.125000	0.5	4.877800
2.133333	0.5	4.490750
2.141667	0.5	4.191500
2.150000	0.5	3.968250
2.158333	0.5	3.802750
2.166667	0.5	3.680400
2.175000	0.5	3.582800
2.183333	0.5	3.495300
2.191667	0.5	3.411700
2.200000	0.5	3.329550
2.208333	0.5	3.245600
2.216667	0.5	3.158700
2.225000	0.5	3.064950
2.233333	0.5	2.974650
2.241667	0.5	2.883100
2.250000	0.5	2.796250
2.258333	0.5	2.713450
2.266667	0.5	2.636800
2.275000	0.5	2.555700
2.283333	0.5	2.467200
2.291667	0.5	2.374050
2.300000	0.5	2.282900
2.308333	0.5	2.192750
2.316667	0.5	2.110200
2.325000	0.5	2.035250
2.333333	0.5	1.966900
2.341667	0.5	1.907400
2.350000	0.5	1.859600
2.358333	0.5	1.827950
2.366667	0.5	1.816600
2.375000	0.5	1.815000
2.383333	0.5	1.824800
2.391667	0.5	1.839350
2.400000	0.5	1.853200
2.408333	0.5	1.861450
2.416667	0.5	1.865900
2.425000	0.5	1.864000
2.433333	0.5	1.859800
2.441667	0.5	1.854800
2.450000	0.5	1.837050
2.458333	0.5	1.812900
2.466667	0.5	1.772300
2.475000	0.5	1.719250
2.483333	0.5	1.660350
2.491667	0.5	1.600950
2.500000	0.5	1.540050
2.508333	0.5	1.484150
2.516667	0.5	1.435250
2.525000	0.5	1.392350
2.533333	0.5	1.356400
2.541667	0.5	1.324650
2.550000	0.5	1.299800
2.558333	0.5	1.285450
2.566667	0.5	1.271750
2.575000	0.5	1.262850
2.583333	0.5	1.253700
2.591667	0.5	1.249450
2.600000	0.5	1.244200
2.608333	0.5	1.237900
2.616667	0.5	1.235000
2.625000	0.5	1.236700
2.633333	0.5	1.249800
2.641667	0.5	1.272950
2.650000	0.5	1.306150
2.658333	0.5	1.340850
2.666667	0.5	1.368650
2.675000	0.5	1.390650
2.683333	0.5	1.403800
2.691667	0.5	1.404050
2.700000	0.5	1.395650
2.708333	0.5	1.382000
2.716667	0.5	1.365600
2.725000	0.5	1.352350
2.733333	0.5	1.342300
2.741667	0.5	1.341250
2.750000	0.5	1.345000
2.758333	0.5	1.349750
2.766667	0.5	1.356950
2.775000	0.5	1.362450
2.783333	0.5	1.368000
2.791667	0.5	1.368450
2.800000	0.5	1.369500
2.808333	0.5	1.375500
2.816667	0.5	1.394550
2.825000	0.5	1.433300
2.833333	0.5	1.489650
2.841667	0.5	1.563350
2.850000	0.5	1.643600
2.858333	0.5	1.720300
2.866667	0.5	1.785800
2.875000	0.5	1.836700
2.883333	0.5	1.864150
2.891667	0.5	1.868950
2.900000	0.5	1.853600
2.908333	0.5	1.819800
2.916667	0.5	1.776500
2.925000	0.5	1.722300
2.933333	0.5	1.662100
2.941667	0.5	1.603650
2.950000	0.5	1.555900
2.958333	0.5	1.541900
2.966667	0.5	1.565800
2.975000	0.5	1.614350
2.983333	0.5	1.678400
2.991667	0.5	1.747800
3.000000	0.5	1.815700
3.008333	0.5	1.877550
3.016667	0.5	1.932200
3.025000	0.5	1.975150
3.033333	0.5	2.010950
3.041667	0.5	2.033700
3.050000	0.5	2.046350
3.058333	0.5	2.048800
3.066667	0.5	2.053100
3.075000	0.5	2.051150
3.083333	0.5	2.046300
3.091667	0.5	2.040400
3.100000	0.5	2.030900
3.108333	0.5	2.023300
3.116667	0.5	2.010650
3.125000	0.5	1.997950
3.133333	0.5	1.987750
3.141667	0.5	1.971000
3.150000	0.5	1.953050
