URL	chrom://arspawyn4ahlab1/ChromeleonLocal/Instrument Data/ICS3000/2025_Feb 11.seq/918.smp/ED_1.channel/ED_1.chm
Channel	ED_1

Injection Information:
Data Vault	ChromeleonLocal
Sequence	2025_Feb 11
Name	1-A1 Alex
Number	6
Position	RA6
Comment	
Processing Method	Quantitative
Instrument Method	Neutral Oligosaccharides V ICS 3000
Type	Unknown
Status	Finished
Inject Time	2/11/2025 9:19:06 PM -05:00
Volume (µl)	25.0000
Dilution Factor	1.0000
Weight	1.0000

Chromatogram Data Information:
Time Min. (min)	0.000000
Time Max. (min)	120.000000
Data Points	14401
Detector	EDet1
Generating Data System	Chromeleon 7.3.0.60919
Exporting Data System	Chromeleon 7.3.0.0
Operator	Instrument Controller
Signal Quantity	
Signal Unit	nC
Signal Min.	-0.771250
Signal Max.	80.790251
Channel	ED_1
Driver Name	DC-3000
Channel Type	Evaluation
Min. Step (s)	0.5
Max. Step (s)	0.5
Average Step (s)	0.5

Signal Parameter Information:
Signal Info	

Chromatogram Data:
Time (min)	Step (s)	Value (nC)
0.000000	n.a.	0.021000
0.008333	0.5	0.024500
0.016667	0.5	0.016050
0.025000	0.5	0.002150
0.033333	0.5	-0.009250
0.041667	0.5	-0.014900
0.050000	0.5	-0.019350
0.058333	0.5	-0.020250
0.066667	0.5	-0.021250
0.075000	0.5	-0.020250
0.083333	0.5	-0.019950
0.091667	0.5	-0.019950
0.100000	0.5	-0.018800
0.108333	0.5	-0.016250
0.116667	0.5	-0.025350
0.125000	0.5	-0.034600
0.133333	0.5	-0.037200
0.141667	0.5	-0.039700
0.150000	0.5	-0.041800
0.158333	0.5	-0.043800
0.166667	0.5	-0.043500
0.175000	0.5	-0.045100
0.183333	0.5	-0.044200
0.191667	0.5	-0.046050
0.200000	0.5	-0.039300
0.208333	0.5	-0.042050
0.216667	0.5	-0.051000
0.225000	0.5	-0.059250
0.233333	0.5	-0.063350
0.241667	0.5	-0.065250
0.250000	0.5	-0.063550
0.258333	0.5	-0.064900
0.266667	0.5	-0.064000
0.275000	0.5	-0.062500
0.283333	0.5	-0.063900
0.291667	0.5	-0.062750
0.300000	0.5	-0.059650
0.308333	0.5	-0.066800
0.316667	0.5	-0.077200
0.325000	0.5	-0.078950
0.333333	0.5	-0.083000
0.341667	0.5	-0.083900
0.350000	0.5	-0.084150
0.358333	0.5	-0.083900
0.366667	0.5	-0.082650
0.375000	0.5	-0.081050
0.383333	0.5	-0.084300
0.391667	0.5	-0.078500
0.400000	0.5	-0.082150
0.408333	0.5	-0.092000
0.416667	0.5	-0.099950
0.425000	0.5	-0.103000
0.433333	0.5	-0.103950
0.441667	0.5	-0.104100
0.450000	0.5	-0.104600
0.458333	0.5	-0.102850
0.466667	0.5	-0.101350
0.475000	0.5	-0.099600
0.483333	0.5	-0.099300
0.491667	0.5	-0.096250
0.500000	0.5	-0.102850
0.508333	0.5	-0.113850
0.516667	0.5	-0.118500
0.525000	0.5	-0.117650
0.533333	0.5	-0.122000
0.541667	0.5	-0.123400
0.550000	0.5	-0.121300
0.558333	0.5	-0.120750
0.566667	0.5	-0.115250
0.575000	0.5	-0.118150
0.583333	0.5	-0.115200
0.591667	0.5	-0.117350
0.600000	0.5	-0.125950
0.608333	0.5	-0.133150
0.616667	0.5	-0.134200
0.625000	0.5	-0.136350
0.633333	0.5	-0.139000
0.641667	0.5	-0.138700
0.650000	0.5	-0.139400
0.658333	0.5	-0.138450
0.666667	0.5	-0.136550
0.675000	0.5	-0.136750
0.683333	0.5	-0.133600
0.691667	0.5	-0.142150
0.700000	0.5	-0.151100
0.708333	0.5	-0.156950
0.716667	0.5	-0.160650
0.725000	0.5	-0.159700
0.733333	0.5	-0.160500
0.741667	0.5	-0.160250
0.750000	0.5	-0.159450
0.758333	0.5	-0.155500
0.766667	0.5	-0.156700
0.775000	0.5	-0.153600
0.783333	0.5	-0.157150
0.791667	0.5	-0.166950
0.800000	0.5	-0.173950
0.808333	0.5	-0.175450
0.816667	0.5	-0.178300
0.825000	0.5	-0.180950
0.833333	0.5	-0.178700
0.841667	0.5	-0.179500
0.850000	0.5	-0.178650
0.858333	0.5	-0.178400
0.866667	0.5	-0.175300
0.875000	0.5	-0.173300
0.883333	0.5	-0.181350
0.891667	0.5	-0.191050
0.900000	0.5	-0.194450
0.908333	0.5	-0.195550
0.916667	0.5	-0.199250
0.925000	0.5	-0.199600
0.933333	0.5	-0.197100
0.941667	0.5	-0.195950
0.950000	0.5	-0.195050
0.958333	0.5	-0.196950
0.966667	0.5	-0.193800
0.975000	0.5	-0.196300
0.983333	0.5	-0.204650
0.991667	0.5	-0.213800
1.000000	0.5	-0.215900
1.008333	0.5	-0.217950
1.016667	0.5	-0.218200
1.025000	0.5	-0.218750
1.033333	0.5	-0.217050
1.041667	0.5	-0.214050
1.050000	0.5	-0.214100
1.058333	0.5	-0.215250
1.066667	0.5	-0.212200
1.075000	0.5	-0.220650
1.083333	0.5	-0.232850
1.091667	0.5	-0.236050
1.100000	0.5	-0.238900
1.108333	0.5	-0.240850
1.116667	0.5	-0.243300
1.125000	0.5	-0.242300
1.133333	0.5	-0.241900
1.141667	0.5	-0.239300
1.150000	0.5	-0.240400
1.158333	0.5	-0.237000
1.166667	0.5	-0.241000
1.175000	0.5	-0.251150
1.183333	0.5	-0.258100
1.191667	0.5	-0.263000
1.200000	0.5	-0.262450
1.208333	0.5	-0.264600
1.216667	0.5	-0.264400
1.225000	0.5	-0.261450
1.233333	0.5	-0.258900
1.241667	0.5	-0.259650
1.250000	0.5	-0.258500
1.258333	0.5	-0.256000
1.266667	0.5	-0.265050
1.275000	0.5	-0.274450
1.283333	0.5	-0.279250
1.291667	0.5	-0.283850
1.300000	0.5	-0.283850
1.308333	0.5	-0.285600
1.316667	0.5	-0.283350
1.325000	0.5	-0.282250
1.333333	0.5	-0.279700
1.341667	0.5	-0.281700
1.350000	0.5	-0.277750
1.358333	0.5	-0.284700
1.366667	0.5	-0.291800
1.375000	0.5	-0.299600
1.383333	0.5	-0.303150
1.391667	0.5	-0.305050
1.400000	0.5	-0.303350
1.408333	0.5	-0.305850
1.416667	0.5	-0.306850
1.425000	0.5	-0.305300
1.433333	0.5	-0.305050
1.441667	0.5	-0.304750
1.450000	0.5	-0.301400
1.458333	0.5	-0.309750
1.466667	0.5	-0.318950
1.475000	0.5	-0.323300
1.483333	0.5	-0.326600
1.491667	0.5	-0.329850
1.500000	0.5	-0.328850
1.508333	0.5	-0.328150
1.516667	0.5	-0.328050
1.525000	0.5	-0.323150
1.533333	0.5	-0.327400
1.541667	0.5	-0.324000
1.550000	0.5	-0.327500
1.558333	0.5	-0.338950
1.566667	0.5	-0.345900
1.575000	0.5	-0.346600
1.583333	0.5	-0.349400
1.591667	0.5	-0.350000
1.600000	0.5	-0.350550
1.608333	0.5	-0.351600
1.616667	0.5	-0.348900
1.625000	0.5	-0.349750
1.633333	0.5	-0.347100
1.641667	0.5	-0.345550
1.650000	0.5	-0.351700
1.658333	0.5	-0.359100
1.666667	0.5	-0.353200
1.675000	0.5	-0.330600
1.683333	0.5	-0.248350
1.691667	0.5	-0.069450
1.700000	0.5	0.196800
1.708333	0.5	0.503950
1.716667	0.5	0.836800
1.725000	0.5	1.220100
1.733333	0.5	1.685550
1.741667	0.5	2.196350
1.750000	0.5	2.717100
1.758333	0.5	3.222500
1.766667	0.5	3.678100
1.775000	0.5	4.060450
1.783333	0.5	4.370200
1.791667	0.5	4.597650
1.800000	0.5	4.738950
1.808333	0.5	4.815200
1.816667	0.5	4.823250
1.825000	0.5	4.801250
1.833333	0.5	4.710000
1.841667	0.5	4.505300
1.850000	0.5	4.205450
1.858333	0.5	3.847250
1.866667	0.5	3.531300
1.875000	0.5	3.233400
1.883333	0.5	2.966200
1.891667	0.5	2.753600
1.900000	0.5	2.601950
1.908333	0.5	2.501200
1.916667	0.5	2.422100
1.925000	0.5	2.367650
1.933333	0.5	2.321850
1.941667	0.5	2.303550
1.950000	0.5	2.338700
1.958333	0.5	2.478200
1.966667	0.5	2.752800
1.975000	0.5	3.181250
1.983333	0.5	3.794450
1.991667	0.5	4.621450
2.000000	0.5	5.638300
2.008333	0.5	6.720350
2.016667	0.5	7.690550
2.025000	0.5	8.404650
2.033333	0.5	8.792550
2.041667	0.5	8.885850
2.050000	0.5	8.738650
2.058333	0.5	8.411600
2.066667	0.5	7.963750
2.075000	0.5	7.441850
2.083333	0.5	6.878100
2.091667	0.5	6.298000
2.100000	0.5	5.703300
2.108333	0.5	5.116550
2.116667	0.5	4.581950
2.125000	0.5	4.123150
2.133333	0.5	3.757600
2.141667	0.5	3.486050
2.150000	0.5	3.292450
2.158333	0.5	3.151600
2.166667	0.5	3.046500
2.175000	0.5	2.961150
2.183333	0.5	2.893800
2.191667	0.5	2.831800
2.200000	0.5	2.768500
2.208333	0.5	2.704750
2.216667	0.5	2.642200
2.225000	0.5	2.564000
2.233333	0.5	2.482550
2.241667	0.5	2.396950
2.250000	0.5	2.304100
2.258333	0.5	2.206550
2.266667	0.5	2.107900
2.275000	0.5	2.000550
2.283333	0.5	1.892400
2.291667	0.5	1.784950
2.300000	0.5	1.676300
2.308333	0.5	1.573000
2.316667	0.5	1.468050
2.325000	0.5	1.361900
2.333333	0.5	1.263350
2.341667	0.5	1.176400
2.350000	0.5	1.107300
2.358333	0.5	1.062150
2.366667	0.5	1.041650
2.375000	0.5	1.036550
2.383333	0.5	1.042700
2.391667	0.5	1.049300
2.400000	0.5	1.048950
2.408333	0.5	1.042700
2.416667	0.5	1.023100
2.425000	0.5	0.997950
2.433333	0.5	0.977050
2.441667	0.5	0.963400
2.450000	0.5	0.948050
2.458333	0.5	0.939150
2.466667	0.5	0.929450
2.475000	0.5	0.915050
2.483333	0.5	0.896800
2.491667	0.5	0.869650
2.500000	0.5	0.841250
2.508333	0.5	0.806500
2.516667	0.5	0.773000
2.525000	0.5	0.747300
2.533333	0.5	0.732850
2.541667	0.5	0.723950
2.550000	0.5	0.709200
2.558333	0.5	0.694100
2.566667	0.5	0.675450
2.575000	0.5	0.651750
2.583333	0.5	0.626550
2.591667	0.5	0.598850
2.600000	0.5	0.573850
2.608333	0.5	0.539500
2.616667	0.5	0.504650
2.625000	0.5	0.474850
2.633333	0.5	0.450100
2.641667	0.5	0.437150
2.650000	0.5	0.432200
2.658333	0.5	0.438200
2.666667	0.5	0.443400
2.675000	0.5	0.445600
2.683333	0.5	0.440400
2.691667	0.5	0.433800
2.700000	0.5	0.420200
2.708333	0.5	0.406250
2.716667	0.5	0.400800
2.725000	0.5	0.405400
2.733333	0.5	0.425650
