URL	chrom://arspawyn4ahlab1/ChromeleonLocal/Instrument Data/ICS3000/2025_Feb 11.seq/626.smp/ED_1.channel/ED_1.chm
Channel	ED_1

Injection Information:
Data Vault	ChromeleonLocal
Sequence	2025_Feb 11
Name	12-A1 Alex
Number	8
Position	RA8
Comment	
Processing Method	Quantitative
Instrument Method	Neutral Oligosaccharides V ICS 3000
Type	Unknown
Status	Finished
Inject Time	2/12/2025 2:14:05 AM -05:00
Volume (µl)	25.0000
Dilution Factor	1.0000
Weight	1.0000

Chromatogram Data Information:
Time Min. (min)	0.000000
Time Max. (min)	120.000000
Data Points	14401
Detector	EDet1
Generating Data System	Chromeleon 7.3.0.60919
Exporting Data System	Chromeleon 7.3.0.0
Operator	Instrument Controller
Signal Quantity	
Signal Unit	nC
Signal Min.	-0.256550
Signal Max.	75.959701
Channel	ED_1
Driver Name	DC-3000
Channel Type	Evaluation
Min. Step (s)	0.5
Max. Step (s)	0.5
Average Step (s)	0.5

Signal Parameter Information:
Signal Info	

Chromatogram Data:
Time (min)	Step (s)	Value (nC)
0.000000	n.a.	0.021600
0.008333	0.5	0.020800
0.016667	0.5	0.008700
0.025000	0.5	-0.002250
0.033333	0.5	-0.008450
0.041667	0.5	-0.013000
0.050000	0.5	-0.015300
0.058333	0.5	-0.017000
0.066667	0.5	-0.018050
0.075000	0.5	-0.016200
0.083333	0.5	-0.016800
0.091667	0.5	-0.017450
0.100000	0.5	-0.012250
0.108333	0.5	-0.018650
0.116667	0.5	-0.026600
0.125000	0.5	-0.033050
0.133333	0.5	-0.035800
0.141667	0.5	-0.038800
0.150000	0.5	-0.038900
0.158333	0.5	-0.039000
0.166667	0.5	-0.036750
0.175000	0.5	-0.033750
0.183333	0.5	-0.034250
0.191667	0.5	-0.033050
0.200000	0.5	-0.030150
0.208333	0.5	-0.038550
0.216667	0.5	-0.047050
0.225000	0.5	-0.048850
0.233333	0.5	-0.050400
0.241667	0.5	-0.050450
0.250000	0.5	-0.053150
0.258333	0.5	-0.051000
0.266667	0.5	-0.051000
0.275000	0.5	-0.049100
0.283333	0.5	-0.052000
0.291667	0.5	-0.045900
0.300000	0.5	-0.048900
0.308333	0.5	-0.057600
0.316667	0.5	-0.065250
0.325000	0.5	-0.068600
0.333333	0.5	-0.066150
0.341667	0.5	-0.067550
0.350000	0.5	-0.067400
0.358333	0.5	-0.066800
0.366667	0.5	-0.064300
0.375000	0.5	-0.065750
0.383333	0.5	-0.063150
0.391667	0.5	-0.063250
0.400000	0.5	-0.071500
0.408333	0.5	-0.079150
0.416667	0.5	-0.082050
0.425000	0.5	-0.084450
0.433333	0.5	-0.084900
0.441667	0.5	-0.084450
0.450000	0.5	-0.085600
0.458333	0.5	-0.084500
0.466667	0.5	-0.083650
0.475000	0.5	-0.084500
0.483333	0.5	-0.078550
0.491667	0.5	-0.082250
0.500000	0.5	-0.091900
0.508333	0.5	-0.097600
0.516667	0.5	-0.098900
0.525000	0.5	-0.100850
0.533333	0.5	-0.099800
0.541667	0.5	-0.099350
0.550000	0.5	-0.100000
0.558333	0.5	-0.096750
0.566667	0.5	-0.096800
0.575000	0.5	-0.095100
0.583333	0.5	-0.093500
0.591667	0.5	-0.102150
0.600000	0.5	-0.109150
0.608333	0.5	-0.113650
0.616667	0.5	-0.115600
0.625000	0.5	-0.115100
0.633333	0.5	-0.115750
0.641667	0.5	-0.117800
0.650000	0.5	-0.115800
0.658333	0.5	-0.111650
0.666667	0.5	-0.112950
0.675000	0.5	-0.108500
0.683333	0.5	-0.113100
0.691667	0.5	-0.122900
0.700000	0.5	-0.125550
0.708333	0.5	-0.127650
0.716667	0.5	-0.130450
0.725000	0.5	-0.132150
0.733333	0.5	-0.131200
0.741667	0.5	-0.128000
0.750000	0.5	-0.127500
0.758333	0.5	-0.129000
0.766667	0.5	-0.124500
0.775000	0.5	-0.123600
0.783333	0.5	-0.132200
0.791667	0.5	-0.139500
0.800000	0.5	-0.143050
0.808333	0.5	-0.144300
0.816667	0.5	-0.144300
0.825000	0.5	-0.145500
0.833333	0.5	-0.143500
0.841667	0.5	-0.143150
0.850000	0.5	-0.142500
0.858333	0.5	-0.144000
0.866667	0.5	-0.139150
0.875000	0.5	-0.143200
0.883333	0.5	-0.153550
0.891667	0.5	-0.158150
0.900000	0.5	-0.159800
0.908333	0.5	-0.161950
0.916667	0.5	-0.161950
0.925000	0.5	-0.163050
0.933333	0.5	-0.161250
0.941667	0.5	-0.157550
0.950000	0.5	-0.158750
0.958333	0.5	-0.155500
0.966667	0.5	-0.154100
0.975000	0.5	-0.161500
0.983333	0.5	-0.169550
0.991667	0.5	-0.173250
1.000000	0.5	-0.175100
1.008333	0.5	-0.173750
1.016667	0.5	-0.174200
1.025000	0.5	-0.174150
1.033333	0.5	-0.173150
