URL	chrom://arspawyn4ahlab1/ChromeleonLocal/Instrument Data/ICS3000/2025_Feb 11.seq/319.smp/ED_1.channel/ED_1.chm
Channel	ED_1

Injection Information:
Data Vault	ChromeleonLocal
Sequence	2025_Feb 11
Name	15-A1 Alex
Number	9
Position	RB1
Comment	
Processing Method	Quantitative
Instrument Method	Neutral Oligosaccharides V ICS 3000
Type	Unknown
Status	Finished
Inject Time	2/12/2025 4:41:36 AM -05:00
Volume (µl)	25.0000
Dilution Factor	1.0000
Weight	1.0000

Chromatogram Data Information:
Time Min. (min)	0.000000
Time Max. (min)	120.000000
Data Points	14401
Detector	EDet1
Generating Data System	Chromeleon 7.3.0.60919
Exporting Data System	Chromeleon 7.3.0.0
Operator	Instrument Controller
Signal Quantity	
Signal Unit	nC
Signal Min.	-0.240050
Signal Max.	76.317751
Channel	ED_1
Driver Name	DC-3000
Channel Type	Evaluation
Min. Step (s)	0.5
Max. Step (s)	0.5
Average Step (s)	0.5

Signal Parameter Information:
Signal Info	

Chromatogram Data:
Time (min)	Step (s)	Value (nC)
0.000000	n.a.	0.025300
0.008333	0.5	0.021500
0.016667	0.5	0.021750
0.025000	0.5	0.015000
0.033333	0.5	0.003200
0.041667	0.5	-0.005950
0.050000	0.5	-0.009950
0.058333	0.5	-0.013600
0.066667	0.5	-0.014850
0.075000	0.5	-0.014850
0.083333	0.5	-0.012100
0.091667	0.5	-0.008950
0.100000	0.5	-0.010450
0.108333	0.5	-0.009650
0.116667	0.5	-0.007250
0.125000	0.5	-0.016950
0.133333	0.5	-0.025050
0.141667	0.5	-0.028950
0.150000	0.5	-0.030650
0.158333	0.5	-0.032300
0.166667	0.5	-0.032350
0.175000	0.5	-0.031350
0.183333	0.5	-0.027950
0.191667	0.5	-0.027300
0.200000	0.5	-0.026650
0.208333	0.5	-0.022350
0.216667	0.5	-0.025850
0.225000	0.5	-0.034100
0.233333	0.5	-0.040900
0.241667	0.5	-0.044800
0.250000	0.5	-0.045500
0.258333	0.5	-0.045450
0.266667	0.5	-0.043450
0.275000	0.5	-0.043400
0.283333	0.5	-0.039500
0.291667	0.5	-0.040150
0.300000	0.5	-0.037350
0.308333	0.5	-0.036450
0.316667	0.5	-0.044300
0.325000	0.5	-0.052200
0.333333	0.5	-0.055550
0.341667	0.5	-0.059250
0.350000	0.5	-0.060450
0.358333	0.5	-0.060050
0.366667	0.5	-0.060200
0.375000	0.5	-0.058450
0.383333	0.5	-0.054800
0.391667	0.5	-0.056900
0.400000	0.5	-0.050950
0.408333	0.5	-0.056500
0.416667	0.5	-0.065600
0.425000	0.5	-0.072750
0.433333	0.5	-0.073700
0.441667	0.5	-0.075100
0.450000	0.5	-0.075950
0.458333	0.5	-0.076550
0.466667	0.5	-0.074150
0.475000	0.5	-0.072600
0.483333	0.5	-0.071300
0.491667	0.5	-0.069950
0.500000	0.5	-0.067750
0.508333	0.5	-0.076150
0.516667	0.5	-0.083150
0.525000	0.5	-0.088750
0.533333	0.5	-0.090500
0.541667	0.5	-0.089950
0.550000	0.5	-0.090700
0.558333	0.5	-0.088100
0.566667	0.5	-0.088100
0.575000	0.5	-0.085900
0.583333	0.5	-0.085650
0.591667	0.5	-0.078900
0.600000	0.5	-0.084350
0.608333	0.5	-0.092600
0.616667	0.5	-0.098550
0.625000	0.5	-0.101700
0.633333	0.5	-0.102400
0.641667	0.5	-0.102850
0.650000	0.5	-0.102050
0.658333	0.5	-0.100650
0.666667	0.5	-0.098700
0.675000	0.5	-0.098350
0.683333	0.5	-0.094650
0.691667	0.5	-0.094350
0.700000	0.5	-0.100550
0.708333	0.5	-0.109400
0.716667	0.5	-0.112500
0.725000	0.5	-0.114000
0.733333	0.5	-0.115600
0.741667	0.5	-0.113750
0.750000	0.5	-0.114900
0.758333	0.5	-0.112200
0.766667	0.5	-0.110400
0.775000	0.5	-0.110600
0.783333	0.5	-0.106200
0.791667	0.5	-0.110550
0.800000	0.5	-0.119050
0.808333	0.5	-0.125450
0.816667	0.5	-0.128050
0.825000	0.5	-0.128350
0.833333	0.5	-0.128750
0.841667	0.5	-0.129000
0.850000	0.5	-0.126400
0.858333	0.5	-0.123200
0.866667	0.5	-0.123250
0.875000	0.5	-0.121750
0.883333	0.5	-0.119100
0.891667	0.5	-0.127000
0.900000	0.5	-0.136450
0.908333	0.5	-0.140500
0.916667	0.5	-0.142850
0.925000	0.5	-0.142950
0.933333	0.5	-0.141050
0.941667	0.5	-0.142050
0.950000	0.5	-0.138550
0.958333	0.5	-0.137550
0.966667	0.5	-0.139200
0.975000	0.5	-0.134850
0.983333	0.5	-0.137950
0.991667	0.5	-0.148650
1.000000	0.5	-0.154150
1.008333	0.5	-0.156500
1.016667	0.5	-0.158400
1.025000	0.5	-0.158450
1.033333	0.5	-0.157850
1.041667	0.5	-0.156700
1.050000	0.5	-0.153200
1.058333	0.5	-0.153050
1.066667	0.5	-0.152050
1.075000	0.5	-0.150650
1.083333	0.5	-0.158300
1.091667	0.5	-0.167550
1.100000	0.5	-0.170500
1.108333	0.5	-0.171600
1.116667	0.5	-0.172050
1.125000	0.5	-0.174350
1.133333	0.5	-0.172250
1.141667	0.5	-0.170250
1.150000	0.5	-0.168450
1.158333	0.5	-0.168550
1.166667	0.5	-0.164900
1.175000	0.5	-0.169550
1.183333	0.5	-0.177700
1.191667	0.5	-0.184050
1.200000	0.5	-0.184400
1.208333	0.5	-0.184950
1.216667	0.5	-0.186500
1.225000	0.5	-0.184800
1.233333	0.5	-0.184800
1.241667	0.5	-0.182200
1.250000	0.5	-0.182800
1.258333	0.5	-0.179100
1.266667	0.5	-0.177150
1.275000	0.5	-0.183500
1.283333	0.5	-0.190900
1.291667	0.5	-0.194450
1.300000	0.5	-0.196550
1.308333	0.5	-0.198400
1.316667	0.5	-0.198700
1.325000	0.5	-0.197100
1.333333	0.5	-0.193500
1.341667	0.5	-0.191200
1.350000	0.5	-0.192950
1.358333	0.5	-0.187050
1.366667	0.5	-0.193700
1.375000	0.5	-0.203650
1.383333	0.5	-0.208450
1.391667	0.5	-0.211950
