URL	chrom://arspawyn4ahlab1/ChromeleonLocal/Instrument Data/ICS3000/2024_Feb7.seq/374.smp/ED_1.channel/ED_1.chm
Channel	ED_1

Injection Information:
Data Vault	ChromeleonLocal
Sequence	2024_Feb7
Name	0.1 mg/mL Fructose
Number	49
Position	RA6
Comment	
Processing Method	Quantitative
Instrument Method	Neutral Oligosaccharides IV ICS 3000
Type	Unknown
Status	Finished
Inject Time	2/10/2024 9:59:56 AM -05:00
Volume (µl)	25.0000
Dilution Factor	1.0000
Weight	1.0000

Chromatogram Data Information:
Time Min. (min)	0.000000
Time Max. (min)	60.000000
Data Points	7201
Detector	EDet1
Generating Data System	Chromeleon 7.3.0.60919
Exporting Data System	Chromeleon 7.3.0.0
Operator	Instrument Controller
Signal Quantity	
Signal Unit	nC
Signal Min.	-1.083300
Signal Max.	17.590350
Channel	ED_1
Driver Name	DC-3000
Channel Type	Evaluation
Min. Step (s)	0.5
Max. Step (s)	0.5
Average Step (s)	0.5

Signal Parameter Information:
Signal Info	

Chromatogram Data:
Time (min)	Step (s)	Value (nC)
0.000000	n.a.	0.000850
0.008333	0.5	-0.001600
0.016667	0.5	-0.002050
0.025000	0.5	-0.002150
0.033333	0.5	-0.002700
0.041667	0.5	-0.001700
0.050000	0.5	-0.003650
0.058333	0.5	-0.004650
0.066667	0.5	-0.003550
0.075000	0.5	-0.004700
0.083333	0.5	-0.005000
0.091667	0.5	-0.003250
0.100000	0.5	-0.007250
0.108333	0.5	-0.007200
0.116667	0.5	-0.008100
0.125000	0.5	-0.007800
0.133333	0.5	-0.008400
0.141667	0.5	-0.005300
0.150000	0.5	-0.009550
0.158333	0.5	-0.009000
0.166667	0.5	-0.009000
0.175000	0.5	-0.008900
0.183333	0.5	-0.007250
0.191667	0.5	-0.011350
0.200000	0.5	-0.011050
0.208333	0.5	-0.011650
0.216667	0.5	-0.011200
0.225000	0.5	-0.010900
0.233333	0.5	-0.012350
0.241667	0.5	-0.010450
0.250000	0.5	-0.011600
0.258333	0.5	-0.010700
0.266667	0.5	-0.011150
0.275000	0.5	-0.012050
0.283333	0.5	-0.012800
0.291667	0.5	-0.012800
0.300000	0.5	-0.011950
0.308333	0.5	-0.011500
0.316667	0.5	-0.013400
0.325000	0.5	-0.013500
0.333333	0.5	-0.013650
0.341667	0.5	-0.016800
0.350000	0.5	-0.013500
0.358333	0.5	-0.014000
0.366667	0.5	-0.014350
0.375000	0.5	-0.014800
0.383333	0.5	-0.015000
0.391667	0.5	-0.015350
0.400000	0.5	-0.015300
0.408333	0.5	-0.015100
0.416667	0.5	-0.015450
0.425000	0.5	-0.016250
0.433333	0.5	-0.015850
0.441667	0.5	-0.014500
0.450000	0.5	-0.014650
0.458333	0.5	-0.015100
0.466667	0.5	-0.015350
0.475000	0.5	-0.015350
0.483333	0.5	-0.016750
0.491667	0.5	-0.016850
0.500000	0.5	-0.017000
0.508333	0.5	-0.016550
0.516667	0.5	-0.017000
0.525000	0.5	-0.015150
0.533333	0.5	-0.014000
0.541667	0.5	-0.015050
0.550000	0.5	-0.014950
0.558333	0.5	-0.014400
0.566667	0.5	-0.014550
0.575000	0.5	-0.014450
0.583333	0.5	-0.015250
0.591667	0.5	-0.014900
0.600000	0.5	-0.015200
0.608333	0.5	-0.015400
0.616667	0.5	-0.014500
0.625000	0.5	-0.013550
0.633333	0.5	-0.014100
0.641667	0.5	-0.013800
0.650000	0.5	-0.013000
0.658333	0.5	-0.011400
0.666667	0.5	-0.013100
0.675000	0.5	-0.013850
0.683333	0.5	-0.013200
0.691667	0.5	-0.012900
0.700000	0.5	-0.011950
0.708333	0.5	-0.011950
0.716667	0.5	-0.011850
0.725000	0.5	-0.011450
0.733333	0.5	-0.010350
0.741667	0.5	-0.010400
0.750000	0.5	-0.011100
0.758333	0.5	-0.010400
0.766667	0.5	-0.009800
0.775000	0.5	-0.010000
0.783333	0.5	-0.010250
0.791667	0.5	-0.008750
0.800000	0.5	-0.008800
0.808333	0.5	-0.009150
0.816667	0.5	-0.007600
0.825000	0.5	-0.006800
0.833333	0.5	-0.006200
0.841667	0.5	-0.006200
0.850000	0.5	-0.005600
0.858333	0.5	-0.005850
0.866667	0.5	-0.007650
0.875000	0.5	-0.006250
0.883333	0.5	-0.005500
0.891667	0.5	-0.005050
0.900000	0.5	-0.004000
0.908333	0.5	-0.004650
0.916667	0.5	-0.003500
0.925000	0.5	-0.002650
0.933333	0.5	-0.001900
0.941667	0.5	-0.002150
0.950000	0.5	-0.001850
0.958333	0.5	-0.002650
0.966667	0.5	-0.002600
