URL	chrom://arspawyn4ahlab1/ChromeleonLocal/Instrument Data/ICS3000/2025_Feb 11.seq/270.smp/ED_1.channel/ED_1.chm
Channel	ED_1

Injection Information:
Data Vault	ChromeleonLocal
Sequence	2025_Feb 11
Name	1,1,1-Kestose pentaose 40 ug/mL
Number	24
Position	RC8
Comment	
Processing Method	Quantitative
Instrument Method	Neutral Oligosaccharides V ICS 3000
Type	Unknown
Status	Finished
Inject Time	2/13/2025 2:17:06 PM -05:00
Volume (µl)	25.0000
Dilution Factor	1.0000
Weight	1.0000

Chromatogram Data Information:
Time Min. (min)	0.000000
Time Max. (min)	61.308333
Data Points	7358
Detector	EDet1
Generating Data System	Chromeleon 7.3.0.60919
Exporting Data System	Chromeleon 7.3.0.0
Operator	Instrument Controller
Signal Quantity	
Signal Unit	nC
Signal Min.	-0.675200
Signal Max.	14.446050
Channel	ED_1
Driver Name	DC-3000
Channel Type	Evaluation
Min. Step (s)	0.5
Max. Step (s)	0.5
Average Step (s)	0.5

Signal Parameter Information:
Signal Info	

Chromatogram Data:
Time (min)	Step (s)	Value (nC)
0.000000	n.a.	0.012400
0.008333	0.5	0.017600
0.016667	0.5	0.016650
0.025000	0.5	0.014600
0.033333	0.5	0.013650
0.041667	0.5	0.015550
0.050000	0.5	0.018900
0.058333	0.5	0.009250
0.066667	0.5	0.001350
0.075000	0.5	-0.002350
0.083333	0.5	-0.004800
0.091667	0.5	-0.005750
0.100000	0.5	-0.005950
0.108333	0.5	-0.004800
0.116667	0.5	-0.000500
0.125000	0.5	0.003850
0.133333	0.5	0.002300
0.141667	0.5	0.007450
0.150000	0.5	0.003050
0.158333	0.5	-0.003750
0.166667	0.5	-0.008700
0.175000	0.5	-0.011450
0.183333	0.5	-0.013250
0.191667	0.5	-0.011400
0.200000	0.5	-0.010750
0.208333	0.5	-0.007750
0.216667	0.5	-0.005050
0.225000	0.5	-0.003850
0.233333	0.5	-0.000050
0.241667	0.5	0.003450
0.250000	0.5	-0.003400
0.258333	0.5	-0.009150
0.266667	0.5	-0.011600
0.275000	0.5	-0.012450
0.283333	0.5	-0.012400
0.291667	0.5	-0.011050
0.300000	0.5	-0.007250
0.308333	0.5	-0.006300
0.316667	0.5	-0.004550
0.325000	0.5	-0.002450
0.333333	0.5	0.002650
0.341667	0.5	-0.001000
0.350000	0.5	-0.007350
0.358333	0.5	-0.012950
0.366667	0.5	-0.014450
0.375000	0.5	-0.014750
0.383333	0.5	-0.012900
0.391667	0.5	-0.011350
0.400000	0.5	-0.007300
0.408333	0.5	-0.004700
0.416667	0.5	-0.003750
0.425000	0.5	0.001100
0.433333	0.5	0.001600
0.441667	0.5	-0.004600
0.450000	0.5	-0.012450
0.458333	0.5	-0.013400
0.466667	0.5	-0.016150
0.475000	0.5	-0.015600
0.483333	0.5	-0.015150
0.491667	0.5	-0.013150
0.500000	0.5	-0.010200
0.508333	0.5	-0.008100
0.516667	0.5	-0.004950
0.525000	0.5	0.000350
0.533333	0.5	-0.003200
0.541667	0.5	-0.010500
0.550000	0.5	-0.014950
0.558333	0.5	-0.016100
0.566667	0.5	-0.015850
0.575000	0.5	-0.014200
0.583333	0.5	-0.013000
0.591667	0.5	-0.010700
0.600000	0.5	-0.007750
0.608333	0.5	-0.006800
0.616667	0.5	-0.002000
0.625000	0.5	0.000850
0.633333	0.5	-0.005800
0.641667	0.5	-0.011450
0.650000	0.5	-0.014200
0.658333	0.5	-0.014900
0.666667	0.5	-0.014650
0.675000	0.5	-0.013550
0.683333	0.5	-0.013550
0.691667	0.5	-0.009650
0.700000	0.5	-0.006750
0.708333	0.5	-0.004150
0.716667	0.5	0.003500
0.725000	0.5	-0.002050
0.733333	0.5	-0.008300
0.741667	0.5	-0.012350
0.750000	0.5	-0.012500
0.758333	0.5	-0.013650
0.766667	0.5	-0.011650
0.775000	0.5	-0.009650
0.783333	0.5	-0.009350
0.791667	0.5	-0.005750
0.800000	0.5	-0.002750
0.808333	0.5	0.001350
0.816667	0.5	0.003400
0.825000	0.5	-0.002050
0.833333	0.5	-0.007100
0.841667	0.5	-0.010400
0.850000	0.5	-0.011350
0.858333	0.5	-0.010100
0.866667	0.5	-0.006600
0.875000	0.5	-0.007700
0.883333	0.5	-0.004600
0.891667	0.5	-0.001100
0.900000	0.5	0.002850
0.908333	0.5	0.006750
0.916667	0.5	0.002500
0.925000	0.5	-0.004400
0.933333	0.5	-0.008650
0.941667	0.5	-0.008650
0.950000	0.5	-0.009200
0.958333	0.5	-0.009350
0.966667	0.5	-0.008800
0.975000	0.5	-0.004150
0.983333	0.5	-0.000350
0.991667	0.5	0.000550
1.000000	0.5	0.005200
1.008333	0.5	0.005350
1.016667	0.5	-0.000600
