URL	chrom://arspawyn4ahlab1/ChromeleonLocal/Instrument Data/ICS3000/2025_Feb 11.seq/881.smp/ED_1.channel/ED_1.chm
Channel	ED_1

Injection Information:
Data Vault	ChromeleonLocal
Sequence	2025_Feb 11
Name	1,1-Kestose tetraose 40 ug/mL
Number	23
Position	RC7
Comment	
Processing Method	Quantitative
Instrument Method	Neutral Oligosaccharides V ICS 3000
Type	Unknown
Status	Finished
Inject Time	2/13/2025 1:08:40 PM -05:00
Volume (µl)	25.0000
Dilution Factor	1.0000
Weight	1.0000

Chromatogram Data Information:
Time Min. (min)	0.000000
Time Max. (min)	40.016667
Data Points	4803
Detector	EDet1
Generating Data System	Chromeleon 7.3.0.60919
Exporting Data System	Chromeleon 7.3.0.0
Operator	Instrument Controller
Signal Quantity	
Signal Unit	nC
Signal Min.	-0.679950
Signal Max.	13.633050
Channel	ED_1
Driver Name	DC-3000
Channel Type	Evaluation
Min. Step (s)	0.5
Max. Step (s)	0.5
Average Step (s)	0.5

Signal Parameter Information:
Signal Info	

Chromatogram Data:
Time (min)	Step (s)	Value (nC)
0.000000	n.a.	0.014400
0.008333	0.5	0.024700
0.016667	0.5	0.024750
0.025000	0.5	0.020150
0.033333	0.5	0.023150
0.041667	0.5	0.018400
0.050000	0.5	0.008700
0.058333	0.5	0.001800
0.066667	0.5	-0.000550
0.075000	0.5	-0.003150
0.083333	0.5	-0.003600
0.091667	0.5	-0.003300
0.100000	0.5	-0.002350
0.108333	0.5	-0.000150
0.116667	0.5	0.001700
0.125000	0.5	0.005150
0.133333	0.5	0.007800
0.141667	0.5	0.001550
0.150000	0.5	-0.006000
0.158333	0.5	-0.008900
0.166667	0.5	-0.010450
0.175000	0.5	-0.011250
0.183333	0.5	-0.010100
0.191667	0.5	-0.008300
0.200000	0.5	-0.006900
0.208333	0.5	-0.004350
0.216667	0.5	-0.003950
0.225000	0.5	0.000450
0.233333	0.5	0.000250
0.241667	0.5	-0.007850
0.250000	0.5	-0.012300
0.258333	0.5	-0.014750
0.266667	0.5	-0.012450
0.275000	0.5	-0.013750
0.283333	0.5	-0.011550
0.291667	0.5	-0.011200
0.300000	0.5	-0.005800
0.308333	0.5	-0.006750
0.316667	0.5	-0.002200
0.325000	0.5	0.002700
0.333333	0.5	-0.004850
0.341667	0.5	-0.011100
0.350000	0.5	-0.013550
0.358333	0.5	-0.014050
0.366667	0.5	-0.014900
0.375000	0.5	-0.015150
0.383333	0.5	-0.011750
0.391667	0.5	-0.007150
0.400000	0.5	-0.004250
0.408333	0.5	-0.003400
0.416667	0.5	0.003350
0.425000	0.5	0.000250
0.433333	0.5	-0.007600
0.441667	0.5	-0.012600
0.450000	0.5	-0.015850
0.458333	0.5	-0.016800
0.466667	0.5	-0.016100
0.475000	0.5	-0.014000
0.483333	0.5	-0.011300
0.491667	0.5	-0.008400
0.500000	0.5	-0.009100
0.508333	0.5	-0.005000
0.516667	0.5	-0.002100
0.525000	0.5	-0.008400
0.533333	0.5	-0.014600
0.541667	0.5	-0.016200
0.550000	0.5	-0.018750
0.558333	0.5	-0.019850
0.566667	0.5	-0.018900
0.575000	0.5	-0.016300
0.583333	0.5	-0.012500
0.591667	0.5	-0.009500
0.600000	0.5	-0.008850
0.608333	0.5	-0.004150
0.616667	0.5	-0.009100
0.625000	0.5	-0.016500
0.633333	0.5	-0.020650
0.641667	0.5	-0.022400
0.650000	0.5	-0.022600
0.658333	0.5	-0.023850
0.666667	0.5	-0.022350
0.675000	0.5	-0.020250
0.683333	0.5	-0.018000
0.691667	0.5	-0.015500
0.700000	0.5	-0.011400
0.708333	0.5	-0.009150
0.716667	0.5	-0.015550
0.725000	0.5	-0.023300
0.733333	0.5	-0.024800
0.741667	0.5	-0.026200
0.750000	0.5	-0.026050
0.758333	0.5	-0.025300
0.766667	0.5	-0.024650
0.775000	0.5	-0.023550
0.783333	0.5	-0.019150
0.791667	0.5	-0.018550
0.800000	0.5	-0.012200
0.808333	0.5	-0.014000
0.816667	0.5	-0.020350
0.825000	0.5	-0.026350
0.833333	0.5	-0.027600
0.841667	0.5	-0.027350
0.850000	0.5	-0.028100
0.858333	0.5	-0.023650
0.866667	0.5	-0.021700
0.875000	0.5	-0.016250
0.883333	0.5	-0.016400
0.891667	0.5	-0.011900
0.900000	0.5	-0.009700
0.908333	0.5	-0.015850
0.916667	0.5	-0.022200
0.925000	0.5	-0.023950
0.933333	0.5	-0.026100
0.941667	0.5	-0.025850
0.950000	0.5	-0.024850
0.958333	0.5	-0.022000
0.966667	0.5	-0.020300
0.975000	0.5	-0.018650
0.983333	0.5	-0.016550
0.991667	0.5	-0.009050
1.000000	0.5	-0.013050
1.008333	0.5	-0.020100
1.016667	0.5	-0.025600
1.025000	0.5	-0.027350
1.033333	0.5	-0.028000
1.041667	0.5	-0.026650
1.050000	0.5	-0.026250
1.058333	0.5	-0.023900
1.066667	0.5	-0.017050
1.075000	0.5	-0.015200
1.083333	0.5	-0.013350
1.091667	0.5	-0.010750
1.100000	0.5	-0.016500
1.108333	0.5	-0.022050
1.116667	0.5	-0.022450
1.125000	0.5	-0.024600
1.133333	0.5	-0.024800
1.141667	0.5	-0.023400
1.150000	0.5	-0.021450
1.158333	0.5	-0.016250
1.166667	0.5	-0.013350
1.175000	0.5	-0.011900
1.183333	0.5	-0.005800
1.191667	0.5	-0.009250
1.200000	0.5	-0.016600
1.208333	0.5	-0.019300
1.216667	0.5	-0.021250
1.225000	0.5	-0.020550
1.233333	0.5	-0.019900
1.241667	0.5	-0.018600
1.250000	0.5	-0.016000
1.258333	0.5	-0.011900
1.266667	0.5	-0.009200
1.275000	0.5	-0.004050
1.283333	0.5	-0.001000
1.291667	0.5	-0.006050
1.300000	0.5	-0.013200
1.308333	0.5	-0.015700
1.316667	0.5	-0.016450
1.325000	0.5	-0.017200
1.333333	0.5	-0.014550
1.341667	0.5	-0.009550
1.350000	0.5	-0.006150
1.358333	0.5	-0.002450
1.366667	0.5	0.002200
1.375000	0.5	0.006200
1.383333	0.5	0.003900
1.391667	0.5	-0.002500
1.400000	0.5	-0.004850
1.408333	0.5	-0.005650
1.416667	0.5	-0.007100
1.425000	0.5	-0.005000
1.433333	0.5	-0.003950
1.441667	0.5	-0.000700
1.450000	0.5	0.007100
1.458333	0.5	0.007500
1.466667	0.5	0.013350
1.475000	0.5	0.016850
1.483333	0.5	0.012000
1.491667	0.5	0.006400
1.500000	0.5	0.004650
1.508333	0.5	0.004950
1.516667	0.5	0.005950
1.525000	0.5	0.008100
1.533333	0.5	0.010300
1.541667	0.5	0.015550
1.550000	0.5	0.019350
1.558333	0.5	0.022050
1.566667	0.5	0.030500
1.575000	0.5	0.029250
1.583333	0.5	0.024450
1.591667	0.5	0.020450
1.600000	0.5	0.020000
1.608333	0.5	0.021550
1.616667	0.5	0.024900
1.625000	0.5	0.026300
1.633333	0.5	0.030700
1.641667	0.5	0.036850
1.650000	0.5	0.040600
1.658333	0.5	0.047100
1.666667	0.5	0.052000
1.675000	0.5	0.048650
1.683333	0.5	0.045850
1.691667	0.5	0.039950
1.700000	0.5	0.026850
1.708333	0.5	-0.007900
1.716667	0.5	-0.083850
1.725000	0.5	-0.207750
1.733333	0.5	-0.361900
1.741667	0.5	-0.523650
1.750000	0.5	-0.640700
1.758333	0.5	-0.679950
1.766667	0.5	-0.661100
1.775000	0.5	-0.613000
1.783333	0.5	-0.557800
1.791667	0.5	-0.502400
1.800000	0.5	-0.441150
1.808333	0.5	-0.380700
1.816667	0.5	-0.317600
1.825000	0.5	-0.261000
1.833333	0.5	-0.208050
1.841667	0.5	-0.169350
1.850000	0.5	-0.133450
1.858333	0.5	-0.103250
1.866667	0.5	-0.083450
1.875000	0.5	-0.068250
1.883333	0.5	-0.050250
1.891667	0.5	-0.032050
1.900000	0.5	-0.014700
1.908333	0.5	0.003150
1.916667	0.5	0.020600
1.925000	0.5	0.037150
1.933333	0.5	0.052000
1.941667	0.5	0.065950
1.950000	0.5	0.083500
1.958333	0.5	0.093000
1.966667	0.5	0.096300
1.975000	0.5	0.101700
1.983333	0.5	0.111250
1.991667	0.5	0.122050
2.000000	0.5	0.133850
2.008333	0.5	0.145200
2.016667	0.5	0.158050
2.025000	0.5	0.171300
2.033333	0.5	0.180300
2.041667	0.5	0.195150
2.050000	0.5	0.207000
2.058333	0.5	0.207300
2.066667	0.5	0.207500
2.075000	0.5	0.214100
2.083333	0.5	0.220050
2.091667	0.5	0.226100
2.100000	0.5	0.234550
2.108333	0.5	0.242950
2.116667	0.5	0.255050
2.125000	0.5	0.264950
2.133333	0.5	0.272850
2.141667	0.5	0.286750
2.150000	0.5	0.289900
2.158333	0.5	0.291100
2.166667	0.5	0.293300
