URL	chrom://arspawyn4ahlab1/ChromeleonLocal/Instrument Data/ICS3000/2025_Feb 11.seq/499.smp/ED_1.channel/ED_1.chm
Channel	ED_1

Injection Information:
Data Vault	ChromeleonLocal
Sequence	2025_Feb 11
Name	1-Kestose 40 ug/mL
Number	22
Position	RC6
Comment	
Processing Method	Quantitative
Instrument Method	Neutral Oligosaccharides V ICS 3000
Type	Unknown
Status	Finished
Inject Time	2/13/2025 12:00:08 PM -05:00
Volume (µl)	25.0000
Dilution Factor	1.0000
Weight	1.0000

Chromatogram Data Information:
Time Min. (min)	0.000000
Time Max. (min)	40.100000
Data Points	4813
Detector	EDet1
Generating Data System	Chromeleon 7.3.0.60919
Exporting Data System	Chromeleon 7.3.0.0
Operator	Instrument Controller
Signal Quantity	
Signal Unit	nC
Signal Min.	-0.892750
Signal Max.	10.815400
Channel	ED_1
Driver Name	DC-3000
Channel Type	Evaluation
Min. Step (s)	0.5
Max. Step (s)	0.5
Average Step (s)	0.5

Signal Parameter Information:
Signal Info	

Chromatogram Data:
Time (min)	Step (s)	Value (nC)
0.000000	n.a.	0.017700
0.008333	0.5	0.019700
0.016667	0.5	0.018550
0.025000	0.5	0.014850
0.033333	0.5	0.006300
0.041667	0.5	-0.004450
0.050000	0.5	-0.007550
0.058333	0.5	-0.011900
0.066667	0.5	-0.014250
0.075000	0.5	-0.014700
0.083333	0.5	-0.015100
0.091667	0.5	-0.012750
0.100000	0.5	-0.011350
0.108333	0.5	-0.010100
0.116667	0.5	-0.004300
0.125000	0.5	-0.007350
0.133333	0.5	-0.016800
0.141667	0.5	-0.024000
0.150000	0.5	-0.027350
0.158333	0.5	-0.027650
0.166667	0.5	-0.029450
0.175000	0.5	-0.029350
0.183333	0.5	-0.026200
0.191667	0.5	-0.022000
0.200000	0.5	-0.022300
0.208333	0.5	-0.020350
0.216667	0.5	-0.018400
0.225000	0.5	-0.025800
0.233333	0.5	-0.032750
0.241667	0.5	-0.036300
0.250000	0.5	-0.039350
0.258333	0.5	-0.038850
0.266667	0.5	-0.038850
0.275000	0.5	-0.039150
0.283333	0.5	-0.032450
0.291667	0.5	-0.033400
0.300000	0.5	-0.030200
0.308333	0.5	-0.025550
0.316667	0.5	-0.029900
0.325000	0.5	-0.037050
0.333333	0.5	-0.043450
0.341667	0.5	-0.043650
0.350000	0.5	-0.045000
0.358333	0.5	-0.045800
0.366667	0.5	-0.045750
0.375000	0.5	-0.042200
0.383333	0.5	-0.036950
0.391667	0.5	-0.035400
