URL	chrom://arspawyn4ahlab1/ChromeleonLocal/Instrument Data/ICS3000/2025_Feb 11.seq/544.smp/ED_1.channel/ED_1.chm
Channel	ED_1

Injection Information:
Data Vault	ChromeleonLocal
Sequence	2025_Feb 11
Name	Inulin Piping Rock 20 mg/mL
Number	4
Position	RA4
Comment	
Processing Method	Quantitative
Instrument Method	Neutral Oligosaccharides V ICS 3000
Type	Unknown
Status	Finished
Inject Time	2/11/2025 4:24:05 PM -05:00
Volume (µl)	25.0000
Dilution Factor	1.0000
Weight	1.0000

Chromatogram Data Information:
Time Min. (min)	0.000000
Time Max. (min)	120.000000
Data Points	14401
Detector	EDet1
Generating Data System	Chromeleon 7.3.0.60919
Exporting Data System	Chromeleon 7.3.0.0
Operator	Instrument Controller
Signal Quantity	
Signal Unit	nC
Signal Min.	-0.714700
Signal Max.	177.780353
Channel	ED_1
Driver Name	DC-3000
Channel Type	Evaluation
Min. Step (s)	0.5
Max. Step (s)	0.5
Average Step (s)	0.5

Signal Parameter Information:
Signal Info	

Chromatogram Data:
Time (min)	Step (s)	Value (nC)
0.000000	n.a.	0.019600
0.008333	0.5	0.027800
0.016667	0.5	0.030400
0.025000	0.5	0.021400
0.033333	0.5	0.007900
0.041667	0.5	-0.001750
0.050000	0.5	-0.007450
0.058333	0.5	-0.011150
0.066667	0.5	-0.013450
0.075000	0.5	-0.013900
0.083333	0.5	-0.013550
0.091667	0.5	-0.013150
0.100000	0.5	-0.012950
0.108333	0.5	-0.010500
0.116667	0.5	-0.005450
0.125000	0.5	-0.014650
0.133333	0.5	-0.025500
0.141667	0.5	-0.028150
0.150000	0.5	-0.030550
0.158333	0.5	-0.031600
0.166667	0.5	-0.032300
0.175000	0.5	-0.032400
0.183333	0.5	-0.028400
0.191667	0.5	-0.026600
0.200000	0.5	-0.029400
0.208333	0.5	-0.022000
0.216667	0.5	-0.026350
0.225000	0.5	-0.038350
0.233333	0.5	-0.046100
0.241667	0.5	-0.050300
0.250000	0.5	-0.052300
0.258333	0.5	-0.052150
0.266667	0.5	-0.052200
0.275000	0.5	-0.049200
0.283333	0.5	-0.046450
0.291667	0.5	-0.045950
0.300000	0.5	-0.043850
0.308333	0.5	-0.040950
0.316667	0.5	-0.049850
0.325000	0.5	-0.059900
0.333333	0.5	-0.064300
0.341667	0.5	-0.066800
0.350000	0.5	-0.066850
0.358333	0.5	-0.067150
0.366667	0.5	-0.066150
0.375000	0.5	-0.064250
0.383333	0.5	-0.061750
0.391667	0.5	-0.062450
