URL	chrom://arspawyn4ahlab1/ChromeleonLocal/Instrument Data/ICS3000/2024_Feb21.seq/429.smp/ED_1.channel/ED_1.chm
Channel	ED_1

Injection Information:
Data Vault	ChromeleonLocal
Sequence	2024_Feb21
Name	Isomalto-oligosaccharides DP2,3,4 10 ug/mL
Number	6
Position	RA5
Comment	
Processing Method	Quantitative
Instrument Method	Neutral Oligosaccharides IV ICS 3000
Type	Unknown
Status	Finished
Inject Time	2/21/2024 4:07:22 PM -05:00
Volume (µl)	25.0000
Dilution Factor	1.0000
Weight	1.0000

Chromatogram Data Information:
Time Min. (min)	0.000000
Time Max. (min)	60.000000
Data Points	7201
Detector	EDet1
Generating Data System	Chromeleon 7.3.0.60919
Exporting Data System	Chromeleon 7.3.0.0
Operator	Instrument Controller
Signal Quantity	
Signal Unit	nC
Signal Min.	-1.151000
Signal Max.	41.993251
Channel	ED_1
Driver Name	DC-3000
Channel Type	Evaluation
Min. Step (s)	0.5
Max. Step (s)	0.5
Average Step (s)	0.5

Signal Parameter Information:
Signal Info	

Chromatogram Data:
Time (min)	Step (s)	Value (nC)
0.000000	n.a.	0.000600
0.008333	0.5	0.000150
0.016667	0.5	-0.000400
0.025000	0.5	-0.000550
0.033333	0.5	0.000250
0.041667	0.5	-0.000500
0.050000	0.5	-0.000250
0.058333	0.5	-0.001900
0.066667	0.5	-0.003450
0.075000	0.5	-0.005950
0.083333	0.5	-0.006900
0.091667	0.5	-0.008250
0.100000	0.5	-0.008850
0.108333	0.5	-0.009500
0.116667	0.5	-0.008850
0.125000	0.5	-0.007850
0.133333	0.5	-0.007550
0.141667	0.5	-0.006300
0.150000	0.5	-0.005700
0.158333	0.5	-0.006550
0.166667	0.5	-0.008900
0.175000	0.5	-0.010500
0.183333	0.5	-0.012050
0.191667	0.5	-0.012650
0.200000	0.5	-0.013350
0.208333	0.5	-0.012400
0.216667	0.5	-0.011700
0.225000	0.5	-0.011300
0.233333	0.5	-0.010350
0.241667	0.5	-0.009100
0.250000	0.5	-0.010250
0.258333	0.5	-0.011800
0.266667	0.5	-0.014050
0.275000	0.5	-0.015450
0.283333	0.5	-0.016100
0.291667	0.5	-0.017550
0.300000	0.5	-0.017250
0.308333	0.5	-0.017250
0.316667	0.5	-0.016750
0.325000	0.5	-0.015500
0.333333	0.5	-0.014350
0.341667	0.5	-0.013950
0.350000	0.5	-0.015250
0.358333	0.5	-0.017600
0.366667	0.5	-0.019400
0.375000	0.5	-0.020900
0.383333	0.5	-0.021450
0.391667	0.5	-0.022000
0.400000	0.5	-0.021550
0.408333	0.5	-0.021300
0.416667	0.5	-0.020500
0.425000	0.5	-0.019800
0.433333	0.5	-0.018750
0.441667	0.5	-0.020100
0.450000	0.5	-0.021400
0.458333	0.5	-0.022950
0.466667	0.5	-0.023950
0.475000	0.5	-0.025250
0.483333	0.5	-0.025600
0.491667	0.5	-0.026400
0.500000	0.5	-0.025900
0.508333	0.5	-0.024950
0.516667	0.5	-0.024500
0.525000	0.5	-0.022250
0.533333	0.5	-0.022100
0.541667	0.5	-0.022550
0.550000	0.5	-0.024000
0.558333	0.5	-0.025550
0.566667	0.5	-0.027150
0.575000	0.5	-0.027500
0.583333	0.5	-0.028400
0.591667	0.5	-0.027400
0.600000	0.5	-0.027200
0.608333	0.5	-0.025450
0.616667	0.5	-0.024300
0.625000	0.5	-0.023350
0.633333	0.5	-0.024350
0.641667	0.5	-0.025000
0.650000	0.5	-0.026650
0.658333	0.5	-0.028150
0.666667	0.5	-0.029350
0.675000	0.5	-0.029550
0.683333	0.5	-0.028100
0.691667	0.5	-0.028400
0.700000	0.5	-0.027850
0.708333	0.5	-0.026550
0.716667	0.5	-0.024900
0.725000	0.5	-0.024750
0.733333	0.5	-0.025450
0.741667	0.5	-0.027550
0.750000	0.5	-0.028900
0.758333	0.5	-0.030800
0.766667	0.5	-0.031250
0.775000	0.5	-0.031500
0.783333	0.5	-0.031250
0.791667	0.5	-0.030000
0.800000	0.5	-0.029950
0.808333	0.5	-0.029750
0.816667	0.5	-0.028400
0.825000	0.5	-0.029250
0.833333	0.5	-0.030850
0.841667	0.5	-0.032400
0.850000	0.5	-0.033950
0.858333	0.5	-0.034400
0.866667	0.5	-0.036250
0.875000	0.5	-0.035600
0.883333	0.5	-0.035650
0.891667	0.5	-0.034150
0.900000	0.5	-0.034250
0.908333	0.5	-0.032150
0.916667	0.5	-0.032850
0.925000	0.5	-0.033450
0.933333	0.5	-0.035300
0.941667	0.5	-0.035900
0.950000	0.5	-0.037350
0.958333	0.5	-0.038200
0.966667	0.5	-0.038300
0.975000	0.5	-0.037450
0.983333	0.5	-0.037250
0.991667	0.5	-0.035100
1.000000	0.5	-0.033850
1.008333	0.5	-0.033150
1.016667	0.5	-0.033800
1.025000	0.5	-0.032950
1.033333	0.5	-0.034350
1.041667	0.5	-0.035350
1.050000	0.5	-0.036100
1.058333	0.5	-0.036500
1.066667	0.5	-0.035650
1.075000	0.5	-0.035250
1.083333	0.5	-0.033600
1.091667	0.5	-0.031800
1.100000	0.5	-0.030550
1.108333	0.5	-0.029550
1.116667	0.5	-0.030000
1.125000	0.5	-0.031900
1.133333	0.5	-0.033800
1.141667	0.5	-0.034450
1.150000	0.5	-0.035150
1.158333	0.5	-0.035300
1.166667	0.5	-0.034600
1.175000	0.5	-0.033450
1.183333	0.5	-0.031950
1.191667	0.5	-0.030400
1.200000	0.5	-0.029650
1.208333	0.5	-0.031100
1.216667	0.5	-0.030950
1.225000	0.5	-0.032400
1.233333	0.5	-0.033850
1.241667	0.5	-0.034850
1.250000	0.5	-0.035300
1.258333	0.5	-0.034150
1.266667	0.5	-0.034250
1.275000	0.5	-0.033050
1.283333	0.5	-0.032300
1.291667	0.5	-0.030350
1.300000	0.5	-0.030250
1.308333	0.5	-0.030100
1.316667	0.5	-0.032150
1.325000	0.5	-0.033950
1.333333	0.5	-0.033600
1.341667	0.5	-0.035400
