URL	chrom://arspawyn4ahlab1/ChromeleonLocal/Instrument Data/ICS3000/2025_Feb 11.seq/367.smp/ED_1.channel/ED_1.chm
Channel	ED_1

Injection Information:
Data Vault	ChromeleonLocal
Sequence	2025_Feb 11
Name	Malto-oligosaccharide DP4 0.1 mg/mL
Number	3
Position	RA3
Comment	
Processing Method	Quantitative
Instrument Method	Neutral Oligosaccharides V ICS 3000
Type	Unknown
Status	Finished
Inject Time	2/11/2025 2:54:51 PM -05:00
Volume (µl)	25.0000
Dilution Factor	1.0000
Weight	1.0000

Chromatogram Data Information:
Time Min. (min)	0.000000
Time Max. (min)	60.833333
Data Points	7301
Detector	EDet1
Generating Data System	Chromeleon 7.3.0.60919
Exporting Data System	Chromeleon 7.3.0.0
Operator	Instrument Controller
Signal Quantity	
Signal Unit	nC
Signal Min.	-2.723100
Signal Max.	23.153600
Channel	ED_1
Driver Name	DC-3000
Channel Type	Evaluation
Min. Step (s)	0.5
Max. Step (s)	0.5
Average Step (s)	0.5

Signal Parameter Information:
Signal Info	

Chromatogram Data:
Time (min)	Step (s)	Value (nC)
0.000000	n.a.	0.599000
0.008333	0.5	1.346050
0.016667	0.5	1.402700
0.025000	0.5	1.170050
0.033333	0.5	0.921250
0.041667	0.5	0.719800
0.050000	0.5	0.565100
0.058333	0.5	0.442850
0.066667	0.5	0.347350
0.075000	0.5	0.275350
0.083333	0.5	0.142350
0.091667	0.5	-0.061400
0.100000	0.5	-0.156050
0.108333	0.5	-0.157050
0.116667	0.5	-0.138100
0.125000	0.5	-0.114000
0.133333	0.5	-0.083650
0.141667	0.5	-0.056950
0.150000	0.5	-0.033350
0.158333	0.5	-0.016050
0.166667	0.5	-0.006300
0.175000	0.5	-0.082400
0.183333	0.5	-0.267500
0.191667	0.5	-0.306700
0.200000	0.5	-0.241500
0.208333	0.5	-0.172800
0.216667	0.5	-0.116400
0.225000	0.5	-0.083150
0.233333	0.5	-0.071100
0.241667	0.5	-0.062300
0.250000	0.5	-0.056750
0.258333	0.5	-0.054200
0.266667	0.5	-0.051700
0.275000	0.5	-0.049000
0.283333	0.5	-0.045050
0.291667	0.5	-0.038150
0.300000	0.5	-0.044800
0.308333	0.5	-0.055750
0.316667	0.5	-0.060150
0.325000	0.5	-0.063700
0.333333	0.5	-0.065400
0.341667	0.5	-0.066250
0.350000	0.5	-0.064550
0.358333	0.5	-0.063150
0.366667	0.5	-0.058500
0.375000	0.5	-0.060150
0.383333	0.5	-0.054650
0.391667	0.5	-0.055150
0.400000	0.5	-0.065800
0.408333	0.5	-0.075900
0.416667	0.5	-0.078150
0.425000	0.5	-0.080700
0.433333	0.5	-0.080200
0.441667	0.5	-0.080300
0.450000	0.5	-0.077800
0.458333	0.5	-0.074100
0.466667	0.5	-0.073050
0.475000	0.5	-0.073400
0.483333	0.5	-0.067650
0.491667	0.5	-0.075750
0.500000	0.5	-0.084950
0.508333	0.5	-0.090550
0.516667	0.5	-0.092550
0.525000	0.5	-0.094150
0.533333	0.5	-0.095000
0.541667	0.5	-0.094050
0.550000	0.5	-0.089050
0.558333	0.5	-0.084650
0.566667	0.5	-0.086600
0.575000	0.5	-0.080750
0.583333	0.5	-0.081950
0.591667	0.5	-0.093700
0.600000	0.5	-0.100750
0.608333	0.5	-0.105350
0.616667	0.5	-0.107950
0.625000	0.5	-0.108400
0.633333	0.5	-0.107550
0.641667	0.5	-0.103400
0.650000	0.5	-0.098200
0.658333	0.5	-0.096050
0.666667	0.5	-0.097700
0.675000	0.5	-0.092650
0.683333	0.5	-0.099250
0.691667	0.5	-0.111900
0.700000	0.5	-0.117000
