URL	chrom://arspawyn4ahlab1/ChromeleonLocal/Instrument Data/ICS3000/2025_Feb 11.seq/440.smp/ED_1.channel/ED_1.chm
Channel	ED_1

Injection Information:
Data Vault	ChromeleonLocal
Sequence	2025_Feb 11
Name	a-D-Glucose 10 ug/mL
Number	1
Position	RA1
Comment	
Processing Method	Quantitative
Instrument Method	Neutral Oligosaccharides V ICS 3000
Type	Unknown
Status	Finished
Inject Time	2/11/2025 12:48:25 PM -05:00
Volume (µl)	25.0000
Dilution Factor	1.0000
Weight	1.0000

Chromatogram Data Information:
Time Min. (min)	0.000000
Time Max. (min)	14.825000
Data Points	1780
Detector	EDet1
Generating Data System	Chromeleon 7.3.0.60919
Exporting Data System	Chromeleon 7.3.0.0
Operator	Instrument Controller
Signal Quantity	
Signal Unit	nC
Signal Min.	-2.320300
Signal Max.	36.657251
Channel	ED_1
Driver Name	DC-3000
Channel Type	Evaluation
Min. Step (s)	0.5
Max. Step (s)	0.5
Average Step (s)	0.5

Signal Parameter Information:
Signal Info	

Chromatogram Data:
Time (min)	Step (s)	Value (nC)
0.000000	n.a.	0.013050
0.008333	0.5	-0.000850
0.016667	0.5	-0.009150
0.025000	0.5	-0.015600
0.033333	0.5	-0.016650
0.041667	0.5	-0.018900
0.050000	0.5	-0.015750
0.058333	0.5	-0.015650
0.066667	0.5	-0.012000
0.075000	0.5	-0.005650
0.083333	0.5	-0.021900
0.091667	0.5	-0.037750
0.100000	0.5	-0.039100
0.108333	0.5	-0.038250
0.116667	0.5	-0.037200
0.125000	0.5	-0.033550
0.133333	0.5	-0.029600
0.141667	0.5	-0.026550
0.150000	0.5	-0.021000
0.158333	0.5	-0.025400
0.166667	0.5	-0.014800
0.175000	0.5	-0.025450
0.183333	0.5	-0.042300
0.191667	0.5	-0.050700
0.200000	0.5	-0.050600
0.208333	0.5	-0.048800
0.216667	0.5	-0.046350
0.225000	0.5	-0.042850
0.233333	0.5	-0.040400
0.241667	0.5	-0.039450
0.250000	0.5	-0.036050
0.258333	0.5	-0.034750
0.266667	0.5	-0.029450
0.275000	0.5	-0.046700
0.283333	0.5	-0.060550
0.291667	0.5	-0.063000
0.300000	0.5	-0.060500
0.308333	0.5	-0.059500
0.316667	0.5	-0.057700
0.325000	0.5	-0.051400
0.333333	0.5	-0.049750
0.341667	0.5	-0.048050
0.350000	0.5	-0.051750
0.358333	0.5	-0.039300
0.366667	0.5	-0.049250
0.375000	0.5	-0.065850
0.383333	0.5	-0.073400
0.391667	0.5	-0.074200
0.400000	0.5	-0.073700
0.408333	0.5	-0.070900
0.416667	0.5	-0.065900
0.425000	0.5	-0.060800
0.433333	0.5	-0.055950
0.441667	0.5	-0.054100
0.450000	0.5	-0.054600
0.458333	0.5	-0.050600
0.466667	0.5	-0.067450
0.475000	0.5	-0.081750
0.483333	0.5	-0.082450
0.491667	0.5	-0.081650
0.500000	0.5	-0.079550
0.508333	0.5	-0.076750
0.516667	0.5	-0.073950
0.525000	0.5	-0.072150
