locus_tag	source_pgap	type_pgap	start_pgap	end_pgap	score_pgap	strand_pgap	phase_pgap	attributes_pgap	locus_tag	product_pgap	seed_ortholog_eggnog	evalue_eggnog	score_eggnog	eggNOG_OGs_eggnog	max_annot_lvl_eggnog	COG_category_eggnog	Description_eggnog	Preferred_name_eggnog	GOs_eggnog	EC_eggnog	KEGG_ko_eggnog	KEGG_Pathway_eggnog	KEGG_Module_eggnog	KEGG_Reaction_eggnog	KEGG_rclass_eggnog	BRITE_eggnog	KEGG_TC_eggnog	CAZy_eggnog	BiGG_Reaction_eggnog	PFAMs_eggnog	GenomeID_transapp	FID_transapp	Subfamily_transapp	Substrate/Function_transapp	ID_tcdb_org_transapp	KO_blastkoala	KO_definition_blastkoala
pgaptmp_000001	Protein Homology	CDS	1	710		+	2	ID=cds-pgaptmp_000001;Parent=gene-pgaptmp_000001;Name=extdb:pgaptmp_000001;gbkey=CDS;inference=COORDINATES: similar to AA sequence:RefSeq:WP_009039995.1;locus_tag=pgaptmp_000001;partial=true;product=hypothetical protein;protein_id=extdb:pgaptmp_000001;start_range=.,1;transl_table=11	pgaptmp_000001	hypothetical protein	657309.BXY_39130	2.24E-168	478	COG5492@1|root,COG5492@2|Bacteria,4NH7Q@976|Bacteroidetes,2FN1I@200643|Bacteroidia,4AN76@815|Bacteroidaceae	976|Bacteroidetes	N	COG NOG06100 non supervised orthologous group																				
pgaptmp_000002	Protein Homology	CDS	783	1778		+	0	ID=cds-pgaptmp_000002;Parent=gene-pgaptmp_000002;Name=extdb:pgaptmp_000002;gbkey=CDS;inference=COORDINATES: similar to AA sequence:RefSeq:WP_015532672.1;locus_tag=pgaptmp_000002;product=hypothetical protein;protein_id=extdb:pgaptmp_000002;transl_table=11	pgaptmp_000002	hypothetical protein	226186.BT_0002	8.1E-236	649	2FFIT@1|root,347G8@2|Bacteria,4P6EP@976|Bacteroidetes,2FVCC@200643|Bacteroidia,4ATBY@815|Bacteroidaceae	976|Bacteroidetes																						
pgaptmp_000003	Protein Homology	CDS	1872	2648		+	0	ID=cds-pgaptmp_000003;Parent=gene-pgaptmp_000003;Name=extdb:pgaptmp_000003;gbkey=CDS;inference=COORDINATES: similar to AA sequence:RefSeq:WP_009039993.1;locus_tag=pgaptmp_000003;product=DNA-binding domain-containing protein;protein_id=extdb:pgaptmp_000003;transl_table=11	pgaptmp_000003	DNA-binding domain-containing protein	226186.BT_0003	2.29E-178	497	28PZ8@1|root,2ZCIQ@2|Bacteria,4NN6Q@976|Bacteroidetes,2FPHQ@200643|Bacteroidia,4APQ0@815|Bacteroidaceae	976|Bacteroidetes	S	Domain of unknown function (DUF4469) with IG-like fold													DUF4469,HU-DNA_bdg							
pgaptmp_000004	Protein Homology	CDS	2783	3451		+	0	ID=cds-pgaptmp_000004;Parent=gene-pgaptmp_000004;Name=extdb:pgaptmp_000004;gbkey=CDS;inference=COORDINATES: similar to AA sequence:RefSeq:WP_008647129.1;locus_tag=pgaptmp_000004;product=hypothetical protein;protein_id=extdb:pgaptmp_000004;transl_table=11	pgaptmp_000004	hypothetical protein	226186.BT_0004	1.02E-154	434	2BU9R@1|root,32PJ8@2|Bacteria,4PAN7@976|Bacteroidetes,2FXB9@200643|Bacteroidia,4ASZE@815|Bacteroidaceae	976|Bacteroidetes																						
pgaptmp_000005	Protein Homology	CDS	3460	3996		+	0	ID=cds-pgaptmp_000005;Parent=gene-pgaptmp_000005;Name=extdb:pgaptmp_000005;Ontology_term=GO:0006412,GO:0003735,GO:0005840;gbkey=CDS;gene=rpsQ;go_component=ribosome|0005840||IEA;go_function=structural constituent of ribosome|0003735||IEA;go_process=translation|0006412||IEA;inference=COORDINATES: protein motif:HMM:TIGR03635.1;locus_tag=pgaptmp_000005;product=30S ribosomal protein S17;protein_id=extdb:pgaptmp_000005;transl_table=11	pgaptmp_000005	30S ribosomal protein S17	226186.BT_0005	2.81E-128	364	COG0186@1|root,COG0186@2|Bacteria,4PAI4@976|Bacteroidetes,2FX13@200643|Bacteroidia,4AT51@815|Bacteroidaceae	976|Bacteroidetes	J	One of the primary rRNA binding proteins, it binds specifically to the 5'-end of 16S ribosomal RNA		GO:0003674,GO:0003735,GO:0005198,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0005840,GO:0006412,GO:0006518,GO:0006807,GO:0008150,GO:0008152,GO:0009058,GO:0009059,GO:0009987,GO:0010467,GO:0015935,GO:0019538,GO:0022626,GO:0022627,GO:0032991,GO:0034641,GO:0034645,GO:0043043,GO:0043170,GO:0043226,GO:0043228,GO:0043229,GO:0043232,GO:0043603,GO:0043604,GO:0044237,GO:0044238,GO:0044249,GO:0044260,GO:0044267,GO:0044271,GO:0044391,GO:0044422,GO:0044424,GO:0044444,GO:0044445,GO:0044446,GO:0044464,GO:0071704,GO:1901564,GO:1901566,GO:1901576,GO:1990904		ko:K02961	ko03010,map03010	M00178,M00179			br01610,ko00000,ko00001,ko00002,ko03011				Ribosomal_S17						K02961	RP-S17, MRPS17, rpsQ; small subunit ribosomal protein S17
pgaptmp_000006	Protein Homology	CDS	4088	4534		+	0	ID=cds-pgaptmp_000006;Parent=gene-pgaptmp_000006;Name=extdb:pgaptmp_000006;gbkey=CDS;inference=COORDINATES: similar to AA sequence:RefSeq:WP_009039992.1;locus_tag=pgaptmp_000006;product=hypothetical protein;protein_id=extdb:pgaptmp_000006;transl_table=11	pgaptmp_000006	hypothetical protein	226186.BT_0006	1.31E-107	309	29ZMJ@1|root,30MN2@2|Bacteria,4PADD@976|Bacteroidetes,2FWN6@200643|Bacteroidia,4ATD5@815|Bacteroidaceae	976|Bacteroidetes																						
pgaptmp_000007	Protein Homology	CDS	4801	4974		+	0	ID=cds-pgaptmp_000007;Parent=gene-pgaptmp_000007;Name=extdb:pgaptmp_000007;gbkey=CDS;inference=COORDINATES: similar to AA sequence:RefSeq:WP_009039991.1;locus_tag=pgaptmp_000007;product=hypothetical protein;protein_id=extdb:pgaptmp_000007;transl_table=11	pgaptmp_000007	hypothetical protein	657309.BXY_39070	1.97E-33	115	298JA@1|root,2ZVQ6@2|Bacteria,4P9ZA@976|Bacteroidetes,2FVU2@200643|Bacteroidia,4ASKE@815|Bacteroidaceae	976|Bacteroidetes																						
pgaptmp_000008	Protein Homology	CDS	4958	5503		+	0	ID=cds-pgaptmp_000008;Parent=gene-pgaptmp_000008;Name=extdb:pgaptmp_000008;gbkey=CDS;inference=COORDINATES: similar to AA sequence:RefSeq:WP_011107054.1;locus_tag=pgaptmp_000008;product=GNAT family N-acetyltransferase;protein_id=extdb:pgaptmp_000008;transl_table=11	pgaptmp_000008	GNAT family N-acetyltransferase	226186.BT_0008	1.01E-127	363	COG0454@1|root,COG0454@2|Bacteria,4P55C@976|Bacteroidetes,2FU1S@200643|Bacteroidia,4AS22@815|Bacteroidaceae	976|Bacteroidetes	K	-acetyltransferase																				
pgaptmp_000009	Protein Homology	CDS	5632	6741		+	0	ID=cds-pgaptmp_000009;Parent=gene-pgaptmp_000009;Name=extdb:pgaptmp_000009;Ontology_term=GO:0006817,GO:0035435,GO:0015415,GO:0042301,GO:0043190;gbkey=CDS;gene=pstS;go_component=ATP-binding cassette (ABC) transporter complex|0043190||IEA;go_function=ATPase-coupled phosphate ion transmembrane transporter activity|0015415||IEA,phosphate ion binding|0042301||IEA;go_process=phosphate ion transport|0006817||IEA,phosphate ion transmembrane transport|0035435||IEA;inference=COORDINATES: similar to AA sequence:RefSeq:WP_011107055.1;locus_tag=pgaptmp_000009;product=phosphate ABC transporter substrate-binding protein PstS;protein_id=extdb:pgaptmp_000009;transl_table=11	pgaptmp_000009	phosphate ABC transporter substrate-binding protein PstS	226186.BT_0009	1.15E-261	717	COG0226@1|root,COG0226@2|Bacteria,4NHAS@976|Bacteroidetes,2FQFA@200643|Bacteroidia,4AQ2R@815|Bacteroidaceae	976|Bacteroidetes	P	PBP superfamily domain	pstS			ko:K02040	ko02010,ko02020,ko05152,map02010,map02020,map05152	M00222			ko00000,ko00001,ko00002,ko02000	3.A.1.7			PBP_like_2	bb11818	ABC	binding protein	phosphate	3.A.1	K02040	pstS; phosphate transport system substrate-binding protein
pgaptmp_000010	Protein Homology	CDS	6781	7869		+	0	ID=cds-pgaptmp_000010;Parent=gene-pgaptmp_000010;Name=extdb:pgaptmp_000010;gbkey=CDS;inference=COORDINATES: similar to AA sequence:RefSeq:WP_009039988.1;locus_tag=pgaptmp_000010;product=hypothetical protein;protein_id=extdb:pgaptmp_000010;transl_table=11	pgaptmp_000010	hypothetical protein	226186.BT_0010	8.79E-259	709	29ZQK@1|root,30MRC@2|Bacteria,4PAFX@976|Bacteroidetes,2FWVG@200643|Bacteroidia,4ATCS@815|Bacteroidaceae	976|Bacteroidetes																						
