locus_tag	source_pgap	type_pgap	start_pgap	end_pgap	score_pgap	strand_pgap	phase_pgap	attributes_pgap	locus_tag	product_pgap	seed_ortholog_eggnog	evalue_eggnog	score_eggnog	eggNOG_OGs_eggnog	max_annot_lvl_eggnog	COG_category_eggnog	Description_eggnog	Preferred_name_eggnog	GOs_eggnog	EC_eggnog	KEGG_ko_eggnog	KEGG_Pathway_eggnog	KEGG_Module_eggnog	KEGG_Reaction_eggnog	KEGG_rclass_eggnog	BRITE_eggnog	KEGG_TC_eggnog	CAZy_eggnog	BiGG_Reaction_eggnog	PFAMs_eggnog	GenomeID_transapp	FID_transapp	Subfamily_transapp	Substrate/Function_transapp	ID_tcdb_org_transapp	KO_blastkoala	KO_definition_blastkoala
pgaptmp_000001	GeneMarkS-2+	CDS	144	482		+	0	ID=cds-pgaptmp_000001;Parent=gene-pgaptmp_000001;Name=extdb:pgaptmp_000001;Ontology_term=GO:0006353;gbkey=CDS;go_process=DNA-templated transcription termination|0006353||IEA;inference=COORDINATES: ab initio prediction:GeneMarkS-2+;locus_tag=pgaptmp_000001;product=Rho termination factor N-terminal domain-containing protein;protein_id=extdb:pgaptmp_000001;transl_table=11	pgaptmp_000001	Rho termination factor N-terminal domain-containing protein	1519439.JPJG01000059_gene1925	0.00000162	51.2	2B81T@1|root,3219Q@2|Bacteria,1V7RY@1239|Firmicutes,24K48@186801|Clostridia	186801|Clostridia															Rho_N							
pgaptmp_000002	Protein Homology	CDS	496	822		+	0	ID=cds-pgaptmp_000002;Parent=gene-pgaptmp_000002;Name=extdb:pgaptmp_000002;gbkey=CDS;inference=COORDINATES: similar to AA sequence:RefSeq:WP_009299079.1;locus_tag=pgaptmp_000002;product=response regulator receiver protein;protein_id=extdb:pgaptmp_000002;transl_table=11	pgaptmp_000002	response regulator receiver protein	537007.BLAHAN_04238	2.77E-60	186	2B81T@1|root,3219Q@2|Bacteria,1V7RY@1239|Firmicutes,24K48@186801|Clostridia	186801|Clostridia															Rho_N							
pgaptmp_000003	GeneMarkS-2+	CDS	932	1153		+	0	ID=cds-pgaptmp_000003;Parent=gene-pgaptmp_000003;Name=extdb:pgaptmp_000003;gbkey=CDS;inference=COORDINATES: ab initio prediction:GeneMarkS-2+;locus_tag=pgaptmp_000003;product=hypothetical protein;protein_id=extdb:pgaptmp_000003;transl_table=11	pgaptmp_000003	hypothetical protein	537007.BLAHAN_04239	4.76E-41	136	2E24F@1|root,32XBM@2|Bacteria,1VE9G@1239|Firmicutes,25HQE@186801|Clostridia	186801|Clostridia	S	Psort location Cytoplasmic, score																				
pgaptmp_000004	GeneMarkS-2+	CDS	1567	1800		+	0	ID=cds-pgaptmp_000004;Parent=gene-pgaptmp_000004;Name=extdb:pgaptmp_000004;gbkey=CDS;inference=COORDINATES: ab initio prediction:GeneMarkS-2+;locus_tag=pgaptmp_000004;product=hypothetical protein;protein_id=extdb:pgaptmp_000004;transl_table=11	pgaptmp_000004	hypothetical protein	537007.BLAHAN_04240	2.16E-54	174	28KGN@1|root,2ZA2C@2|Bacteria,1V0ZQ@1239|Firmicutes,24BKR@186801|Clostridia	186801|Clostridia																						
pgaptmp_000005	GeneMarkS-2+	CDS	1955	2500		+	0	ID=cds-pgaptmp_000005;Parent=gene-pgaptmp_000005;Name=extdb:pgaptmp_000005;gbkey=CDS;inference=COORDINATES: ab initio prediction:GeneMarkS-2+;locus_tag=pgaptmp_000005;product=hypothetical protein;protein_id=extdb:pgaptmp_000005;transl_table=11	pgaptmp_000005	hypothetical protein	537007.BLAHAN_04241	8.71E-116	344	COG3497@1|root,COG3497@2|Bacteria,1TPG4@1239|Firmicutes,249R6@186801|Clostridia,3Y1T5@572511|Blautia	186801|Clostridia	S	COG3497 Phage tail sheath protein FI				ko:K06907					ko00000											
pgaptmp_000006	GeneMarkS-2+	CDS	2494	3072		+	0	ID=cds-pgaptmp_000006;Parent=gene-pgaptmp_000006;Name=extdb:pgaptmp_000006;gbkey=CDS;inference=COORDINATES: ab initio prediction:GeneMarkS-2+;locus_tag=pgaptmp_000006;product=hypothetical protein;protein_id=extdb:pgaptmp_000006;transl_table=11	pgaptmp_000006	hypothetical protein	537007.BLAHAN_04241	3.72E-128	376	COG3497@1|root,COG3497@2|Bacteria,1TPG4@1239|Firmicutes,249R6@186801|Clostridia,3Y1T5@572511|Blautia	186801|Clostridia	S	COG3497 Phage tail sheath protein FI				ko:K06907					ko00000											
pgaptmp_000007	GeneMarkS-2+	CDS	3059	3283		+	0	ID=cds-pgaptmp_000007;Parent=gene-pgaptmp_000007;Name=extdb:pgaptmp_000007;gbkey=CDS;inference=COORDINATES: ab initio prediction:GeneMarkS-2+;locus_tag=pgaptmp_000007;product=hypothetical protein;protein_id=extdb:pgaptmp_000007;transl_table=11	pgaptmp_000007	hypothetical protein	537007.BLAHAN_04241	8.32E-44	154	COG3497@1|root,COG3497@2|Bacteria,1TPG4@1239|Firmicutes,249R6@186801|Clostridia,3Y1T5@572511|Blautia	186801|Clostridia	S	COG3497 Phage tail sheath protein FI				ko:K06907					ko00000											
pgaptmp_000008	Protein Homology	CDS	3298	3741		+	0	ID=cds-pgaptmp_000008;Parent=gene-pgaptmp_000008;Name=extdb:pgaptmp_000008;gbkey=CDS;inference=COORDINATES: protein motif:HMM:NF016846.6;locus_tag=pgaptmp_000008;product=phage major tail tube protein;protein_id=extdb:pgaptmp_000008;transl_table=11	pgaptmp_000008	phage major tail tube protein	537007.BLAHAN_04242	1.89E-100	292	2DBQV@1|root,2ZAGV@2|Bacteria,1TT04@1239|Firmicutes,24DRQ@186801|Clostridia	186801|Clostridia	S	Phage tail tube protein FII				ko:K06908					ko00000				Phage_tube							
pgaptmp_000009	Protein Homology	CDS	3886	4293		+	0	ID=cds-pgaptmp_000009;Parent=gene-pgaptmp_000009;Name=extdb:pgaptmp_000009;gbkey=CDS;inference=COORDINATES: similar to AA sequence:RefSeq:WP_009299076.1;locus_tag=pgaptmp_000009;product=hypothetical protein;protein_id=extdb:pgaptmp_000009;transl_table=11	pgaptmp_000009	hypothetical protein	411483.FAEPRAA2165_01910	2.25E-86	254	2EEXD@1|root,338QR@2|Bacteria,1VGX8@1239|Firmicutes,24QYZ@186801|Clostridia,3WKU0@541000|Ruminococcaceae	186801|Clostridia																						
pgaptmp_000010	Protein Homology	CDS	4411	8202		+	0	ID=cds-pgaptmp_000010;Parent=gene-pgaptmp_000010;Name=extdb:pgaptmp_000010;Ontology_term=GO:0016032,GO:0005198;gbkey=CDS;go_function=structural molecule activity|0005198||IEA;go_process=viral process|0016032||IEA;inference=COORDINATES: similar to AA sequence:RefSeq:WP_005933306.1;locus_tag=pgaptmp_000010;product=phage tail tape measure protein;protein_id=extdb:pgaptmp_000010;transl_table=11	pgaptmp_000010	phage tail tape measure protein	537007.BLAHAN_04244	0	1670	COG5283@1|root,COG5412@1|root,COG5283@2|Bacteria,COG5412@2|Bacteria,1TQ28@1239|Firmicutes,247QT@186801|Clostridia,3XZ41@572511|Blautia	186801|Clostridia	S	Phage tail tape measure protein, TP901 family													PhageMin_Tail							
