-e target_id	length	eff_length	Monoculture_Clostridium_HGF2_Early_Replicate_2_HGF2_counts	tpm
RCHGF000001	708	480.385	1217	51.3115
RCHGF000002	762	534.317	1596	60.4989
RCHGF000003	780	552.299	2557	93.7714
RCHGF000004	882	654.234	1815	56.1898
RCHGF000005	903	675.227	1352	40.5547
RCHGF000006	1215	987.227	1058	21.7061
RCHGF000007	855	627.256	1681	54.2797
RCHGF000008	561	334.145	577	34.9748
RCHGF000009	522	295.785	657	44.9886
RCHGF000010	447	223.395	429	38.8954
RCHGF000011	714	486.375	398	16.574
RCHGF000012	1449	1221.23	2129	35.3096
RCHGF000013	144	18.2938	99	109.609
RCHGF000014	639	411.608	254	12.4987
RCHGF000015	480	254.956	115	9.13581
RCHGF000016	744	516.352	172	6.74678
RCHGF000017	849	621.256	308	10.0414
RCHGF000018	387	167.995	33	3.97862
RCHGF000020	519	292.854	346	23.9298
RCHGF000021	156	21.9113	95	87.8152
RCHGF000022	918	690.227	3359	98.5672
RCHGF000023	1470	1242.23	3718	60.6209
RCHGF000024	948	720.227	5185	145.812
RCHGF000025	2820	2592.23	8354	65.2733
RCHGF000026	528	301.639	176	11.8179
RCHGF000027	480	254.956	190	15.0939
RCHGF000028	747	519.347	401	15.6387
RCHGF000029	852	624.256	3877	125.79
RCHGF000030	852	624.256	2756	89.4192
RCHGF000031	2136	1908.23	3928	41.6923
RCHGF000032	114	11.3688	105	187.063
RCHGF000033	1155	927.227	863	18.8512
RCHGF000034	2412	2184.23	12216	113.278
RCHGF000035	642	414.594	198	9.67288
RCHGF000036	945	717.227	5772	162.999
RCHGF000037	399	178.892	2045	231.535
RCHGF000038	1875	1647.23	1919	23.5959
RCHGF000039	699	471.401	1081	46.4461
RCHGF000040	2544	2316.23	13478	117.858
RCHGF000041	1098	870.227	4323	100.616
RCHGF000042	2586	2358.23	13631	117.073
RCHGF000043	3450	3222.23	64246	403.835
RCHGF000044	390	170.676	2006	238.053
RCHGF000045	834	606.256	15544	519.303
RCHGF000046	816	588.256	1995	68.6896
RCHGF000047	1971	1743.23	59287	688.842
RCHGF000048	813	585.256	89149	3085.21
RCHGF000049	1026	798.227	2504	63.5363
RCHGF000050	1857	1629.23	3406	42.3426
RCHGF000051	1692	1464.23	3160	43.7112
RCHGF000052	126	13.7551	19	27.9772
RCHGF000053	165	24.8453	35	28.5324
RCHGF000054	135	15.7958	3501	4489.15
RCHGF000055	447	223.395	701	63.5563
RCHGF000056	126	13.7551	19	27.9772
RCHGF000057	408	187.124	382	41.3473
RCHGF000058	639	411.608	1541	75.8286
RCHGF000059	933	705.227	1251	35.9288
RCHGF000060	675	447.437	499	22.5883
RCHGF000061	744	516.352	276	10.8262
RCHGF000062	1182	954.227	4385	93.0748
RCHGF000063	1974	1746.23	6267	72.6897
RCHGF000064	1479	1251.23	1934	31.3065
RCHGF000065	900	672.227	2732	82.315
RCHGF000066	687	459.422	1960	86.4089
RCHGF000067	1395	1167.23	2153	37.3597
RCHGF000068	894	666.227	1325	40.2817
RCHGF000069	687	459.422	1994	87.9078
RCHGF000070	873	645.249	5265	165.267
RCHGF000071	363	146.834	103	14.2077
RCHGF000072	117	11.9112	16	27.2069
RCHGF000073	861	633.249	138	4.41386
RCHGF000074	732	504.352	96	3.85524
RCHGF000075	207	41.0021	27	13.3374
RCHGF000076	276	79.9923	2474	626.42
RCHGF000077	288	88.0134	2570	591.424
RCHGF000078	1566	1338.23	433	6.55348
RCHGF000079	288	88.0134	49	11.2762
RCHGF000080	459	234.84	61	5.26105
RCHGF000081	450	226.238	68	6.08775
