Sample,Condition,Time,% Unclassified,% Clostridium,% Bifidobacterium
Coculture_Early_R1,Co-culture HGF2+PT33,Early (8h),0.39,0.75,98.51
Coculture_Early_R2,Co-culture HGF2+PT33,Early (8h),0.34,0.81,98.62
Coculture_Early_R3,Co-culture HGF2+PT33,Early (8h),0.42,0.8,98.24
Coculture_Late_R1,Co-culture HGF2+PT33,Late (45h),0.25,0.36,99.09
Coculture_Late_R2,Co-culture HGF2+PT33,Late (45h),0.3,0.32,99.01
Coculture_Late_R3,Co-culture HGF2+PT33,Late (45h),0.24,0.33,99.18
HGF2_mono_Early_R1,Clostridium sp. HGF2,Early (8h),1.6,97.29,0.01
HGF2_mono_Early_R2,Clostridium sp. HGF2,Early (8h),1.68,97.19,0
HGF2_mono_Early_R3,Clostridium sp. HGF2,Early (8h),0.99,97.85,0.17
HGF2_mono_Late_R1,Clostridium sp. HGF2,Late (45h),2.08,95.2,0
HGF2_mono_Late_R2,Clostridium sp. HGF2,Late (45h),2.41,96.29,0.01
HGF2_mono_Late_R3,Clostridium sp. HGF2,Late (45h),1.91,97.15,0.02
PT33_mono_Early_R1,B. animalis lactis PT33,Early (8h),0.36,0,99.44
PT33_mono_Early_R2,B. animalis lactis PT33,Early (8h),0.31,0,99.51
PT33_mono_Early_R3,B. animalis lactis PT33,Early (8h),0.7,0,99.03
PT33_mono_Late_R1,B. animalis lactis PT33,Late (45h),0.54,0,99.24
PT33_mono_Late_R2,B. animalis lactis PT33,Late (45h),0.66,0.01,98.45
PT33_mono_Late_R3,B. animalis lactis PT33,Late (45h),0.58,0,99.06
HGF2 Genome,HGF2 Genome,-,0,98.33,0
PT33 Genome,PT33 Genome,-,0,0,100
