"Name","P Value","Q Value","Set Size","Stat Mean","Source"
"Lipid_degradation",7.17121157564273e-10,1.71391956657861e-07,20,4.10995579969897,"Upregulated"
"Metals_uptake_PM",6.472764490118e-05,0.00559105073895507,36,2.26079807411125,"Upregulated"
"Ion_membrane_transport",7.018055320864e-05,0.00559105073895507,74,2.22246847346268,"Upregulated"
"Ammonia_assimilation",0.00036339915710032,0.0210509764675054,11,2.09178531792736,"Upregulated"
"Phage",0.00044039699722814,0.0210509764675054,157,1.92776893654252,"Upregulated"
"Alcohol_and_aldehyde_degradation",0.00063814994985256,0.023832107224736,45,1.88588847797966,"Upregulated"
"Potassium_uptake",0.00147617327304326,0.0441006765321676,15,1.79182430475722,"Upregulated"
"Fructose_bisphosphate_aldolase",0.00194194157284833,0.046802714228964,12,1.74591927816999,"Upregulated"
"Carbohydrate_assimilation",0.00195827256188133,0.046802714228964,377,1.66992995161035,"Upregulated"
"Bacterial_Protein_Biosynthesis",3.13284303909792e-39,7.48749486344404e-37,126,-7.99801113274775,"Downregulated"
"Bacterial_Protein_Metabolism",1.6851580673499e-24,8.0550555619325e-23,273,-5.95665802310092,"Downregulated"
"Bioenergetics",2.27535412567983e-24,9.063493933958e-23,158,-6.02106902294092,"Downregulated"
"Amino_acid_membrane_transport",4.60636691241205e-12,1.3761521150831e-10,78,-4.08678803512603,"Downregulated"
"Peptide_uptake",1.34504104190861e-09,3.57183121129064e-08,18,-3.82326316884744,"Downregulated"
"Leu_Ile_Val_uptake",1.80166686632553e-07,3.91453073683e-06,18,-3.33860604914122,"Downregulated"
"Cell_wall_metabolism",1.89555797368e-06,3.48491042854e-05,128,-2.69356815200964,"Downregulated"
"Bacterial_DNA_Repair",1.022370591531e-05,0.00016289771425075,114,-2.48277086000935,"Downregulated"
"Oligopeptide_uptake_opp_ABC_transporter",2.109745426304e-05,0.00029660538640399,10,-2.62182122442007,"Downregulated"
"Bacterial_Transcription",2.589292522982e-05,0.00034380050721828,296,-2.34354023699937,"Downregulated"
"Bacterial_RNA_Processing",3.789376133516e-05,0.00047666362942659,35,-2.34235243161683,"Downregulated"
"Carboxylic_acids_membrane_transport",5.756719132049e-05,0.00068792793627986,14,-2.41778106822098,"Downregulated"
"Gram_Positive_Quorum_Sensing_Competence_II",0.00010337609915666,0.00117651846183064,15,-2.26045433211666,"Downregulated"
"Bacterial_Transcription_Regulation",0.00011721636000688,0.00127339591098389,254,-2.12998438342167,"Downregulated"
"Bacterial_DNA_Replication",0.00026193631961653,0.00269019840242606,25,-2.0640335639098,"Downregulated"
"Nucleotide_metabolism",0.00027014544626872,0.00269019840242606,212,-2.00782084908883,"Downregulated"
"Coenzyme_and_cofactor_metabolism",0.00046954362732499,0.00431618949733362,82,-1.92615869291349,"Downregulated"
"Aminoacyl_tRNA_Biosynthesis",0.00055036789112531,0.00487177503625738,21,-1.95361029911756,"Downregulated"
"Capsular_and_exopolysaccharide_metabolism",0.00057797065208263,0.00493339235170534,52,-1.90186360843741,"Downregulated"
"Bacterial_Regulatory_Proteolysis",0.00108257311564682,0.00834628950450292,15,-1.84251538147938,"Downregulated"
"Purine_biosynthesis",0.00145499355397075,0.0105376805878488,62,-1.73665901080054,"Downregulated"
"Bacterial_Transcription_Regulators",0.00163703310523207,0.0111785974900133,210,-1.70196422864532,"Downregulated"
"Quorum_sensing_types",0.00188954753984295,0.0125444961672907,27,-1.70553365681449,"Downregulated"
"Bacterial_rRNA_processing",0.00230437522007329,0.0144933073051978,18,-1.69480690608806,"Downregulated"
"Bacterial_cell_division",0.00355871993096482,0.0193303196250135,19,-1.59477009963801,"Downregulated"
"Mismatch_Repair",0.00402043465872302,0.02135297518744,25,-1.56461447071083,"Downregulated"
"Cellular_processing",0.00424888763879839,0.0220757422972351,120,-1.52673858505502,"Downregulated"
"Isoprenoid_biosynthesis",0.00586164583464146,0.0285904766220267,17,-1.49943139734386,"Downregulated"
"Nitrogen_fixation",0.00670618680858738,0.0320555729450477,11,-1.55990222743267,"Downregulated"
"Bacterial_tRNA_Processing",0.00798133727735448,0.0374027374370142,12,-1.44379418579389,"Downregulated"
"Bacterial_Protein_Degradation",0.00844548296620416,0.0388167390177461,111,-1.38466444200728,"Downregulated"
