locus_tag	source_pgap	type_pgap	start_pgap	end_pgap	score_pgap	strand_pgap	phase_pgap	attributes_pgap	locus_tag	product_pgap	seed_ortholog_eggnog	evalue_eggnog	score_eggnog	eggNOG_OGs_eggnog	max_annot_lvl_eggnog	COG_category_eggnog	Description_eggnog	Preferred_name_eggnog	GOs_eggnog	EC_eggnog	KEGG_ko_eggnog	KEGG_Pathway_eggnog	KEGG_Module_eggnog	KEGG_Reaction_eggnog	KEGG_rclass_eggnog	BRITE_eggnog	KEGG_TC_eggnog	CAZy_eggnog	BiGG_Reaction_eggnog	PFAMs_eggnog	GenomeID_transapp	FID_transapp	Subfamily_transapp	Substrate/Function_transapp	ID_tcdb_org_transapp	KO_blastkoala	KO_definition_blastkoala
pgaptmp_000002	Protein Homology	CDS	891	2330		-	0	ID=cds-pgaptmp_000002;Parent=gene-pgaptmp_000002;Name=extdb:pgaptmp_000002;Ontology_term=GO:0009401,GO:0008982,GO:0015572,GO:0016020;gbkey=CDS;gene=nagE;go_component=membrane|0016020||IEA;go_function=protein-N(PI)-phosphohistidine-sugar phosphotransferase activity|0008982||IEA,N-acetylglucosamine transmembrane transporter activity|0015572||IEA;go_process=phosphoenolpyruvate-dependent sugar phosphotransferase system|0009401||IEA;inference=COORDINATES: similar to AA sequence:RefSeq:WP_016207807.1;locus_tag=pgaptmp_000002;product=N-acetylglucosamine-specific PTS transporter subunit IIBC;protein_id=extdb:pgaptmp_000002;transl_table=11	pgaptmp_000002	N-acetylglucosamine-specific PTS transporter subunit IIBC	457396.CSBG_03405	0	926	COG1263@1|root,COG1264@1|root,COG1263@2|Bacteria,COG1264@2|Bacteria,1TPJ8@1239|Firmicutes,24809@186801|Clostridia,36DWW@31979|Clostridiaceae	186801|Clostridia	G	Pts system	nagE		2.7.1.193	ko:K02803,ko:K02804	ko00520,ko02060,map00520,map02060	M00267	R05199	RC00017,RC03206	ko00000,ko00001,ko00002,ko01000,ko02000	4.A.1.1.15,4.A.1.1.2,4.A.1.1.5,4.A.1.1.7			PTS_EIIB,PTS_EIIC	cs11821	SSPTS	EnzymeIIABC	glucose/maltose/N-acetylglucosamine	4.A	K02804	nagE; N-acetylglucosamine PTS system EIICBA or EIICB component [EC:2.7.1.193]
pgaptmp_000003	Protein Homology	CDS	2871	3389		+	0	ID=cds-pgaptmp_000003;Parent=gene-pgaptmp_000003;Name=extdb:pgaptmp_000003;Ontology_term=GO:0008643,GO:0009401,GO:0016310,GO:0016301,GO:1902495;gbkey=CDS;go_component=transmembrane transporter complex|1902495||IEA;go_function=kinase activity|0016301||IEA;go_process=carbohydrate transport|0008643||IEA,phosphoenolpyruvate-dependent sugar phosphotransferase system|0009401||IEA,phosphorylation|0016310||IEA;inference=COORDINATES: similar to AA sequence:RefSeq:WP_008675950.1;locus_tag=pgaptmp_000003;product=PTS sugar transporter subunit IIA;protein_id=extdb:pgaptmp_000003;transl_table=11	pgaptmp_000003	PTS sugar transporter subunit IIA	457396.CSBG_03404	9.09E-113	324	COG2190@1|root,COG2190@2|Bacteria,1VAEB@1239|Firmicutes,24N5U@186801|Clostridia,36IRX@31979|Clostridiaceae	186801|Clostridia	G	PTS system, glucose subfamily, IIA	ptbA			ko:K02777	ko00010,ko00500,ko00520,ko02026,ko02060,ko05111,map00010,map00500,map00520,map02026,map02060,map05111	M00265,M00266,M00268,M00270,M00272,M00303,M00806	R02738,R02780,R04111,R04394,R05132,R08559	RC00017,RC03206	ko00000,ko00001,ko00002,ko01000,ko02000	4.A.1.1.1			PTS_EIIA_1	cs11821	SSPTS	EnzymeIIABC	glucose	4.A		
pgaptmp_000004	Protein Homology	CDS	3540	4400		-	0	ID=cds-pgaptmp_000004;Parent=gene-pgaptmp_000004;Name=extdb:pgaptmp_000004;gbkey=CDS;gene=glcT;inference=COORDINATES: similar to AA sequence:RefSeq:WP_008675953.1;locus_tag=pgaptmp_000004;product=glucose PTS transporter transcription antiterminator GlcT;protein_id=extdb:pgaptmp_000004;transl_table=11	pgaptmp_000004	glucose PTS transporter transcription antiterminator GlcT	457396.CSBG_03403	5.03E-196	544	COG3711@1|root,COG3711@2|Bacteria,1TQJJ@1239|Firmicutes,249XA@186801|Clostridia,36EEZ@31979|Clostridiaceae	186801|Clostridia	K	transcriptional antiterminator				ko:K03480					ko00000,ko03000				CAT_RBD,PRD						K03480	glcT; transcriptional antiterminator
pgaptmp_000005	Protein Homology	CDS	4436	5371		-	0	ID=cds-pgaptmp_000005;Parent=gene-pgaptmp_000005;Name=extdb:pgaptmp_000005;Ontology_term=GO:0016747;gbkey=CDS;go_function=acyltransferase activity%2C transferring groups other than amino-acyl groups|0016747||IEA;inference=COORDINATES: similar to AA sequence:RefSeq:WP_008675955.1;locus_tag=pgaptmp_000005;product=GNAT family N-acetyltransferase;protein_id=extdb:pgaptmp_000005;transl_table=11	pgaptmp_000005	GNAT family N-acetyltransferase	457396.CSBG_03402	1.09E-223	616	COG1670@1|root,COG1670@2|Bacteria,1V1ZC@1239|Firmicutes,249K2@186801|Clostridia,36ESI@31979|Clostridiaceae	186801|Clostridia	J	acetyltransferase	yjcK		2.3.1.128	ko:K03790					ko00000,ko01000,ko03009				Acetyltransf_3,Acetyltransf_4						K03790	rimJ; [ribosomal protein S5]-alanine N-acetyltransferase [EC:2.3.1.267]
pgaptmp_000006	Protein Homology	CDS	5550	6227		+	0	ID=cds-pgaptmp_000006;Parent=gene-pgaptmp_000006;Name=extdb:pgaptmp_000006;gbkey=CDS;inference=COORDINATES: similar to AA sequence:RefSeq:WP_008675957.1;locus_tag=pgaptmp_000006;product=DUF4230 domain-containing protein;protein_id=extdb:pgaptmp_000006;transl_table=11	pgaptmp_000006	DUF4230 domain-containing protein	457396.CSBG_03401	3.94E-149	421	2E3G5@1|root,32YEZ@2|Bacteria,1VHG4@1239|Firmicutes,24IPA@186801|Clostridia,36ISJ@31979|Clostridiaceae	186801|Clostridia	S	Protein of unknown function (DUF4230)													DUF4230							
pgaptmp_000007	Protein Homology	CDS	6304	6773		+	0	ID=cds-pgaptmp_000007;Parent=gene-pgaptmp_000007;Note=frameshifted;Ontology_term=GO:0006979,GO:0030091,GO:0008113,GO:0033744;gbkey=CDS;gene=msrA;go_function=peptide-methionine (S)-S-oxide reductase activity|0008113||IEA,L-methionine:thioredoxin-disulfide S-oxidoreductase activity|0033744||IEA;go_process=response to oxidative stress|0006979||IEA,protein repair|0030091||IEA;inference=COORDINATES: similar to AA sequence:RefSeq:WP_016207812.1;locus_tag=pgaptmp_000007;product=peptide-methionine (S)-S-oxide reductase MsrA;pseudo=true;transl_table=11	pgaptmp_000007	peptide-methionine (S)-S-oxide reductase MsrA	457396.CSBG_03400	2.36E-87	258	COG0225@1|root,COG0225@2|Bacteria,1TQ3E@1239|Firmicutes,247UT@186801|Clostridia,36IWX@31979|Clostridiaceae	186801|Clostridia	O	Has an important function as a repair enzyme for proteins that have been inactivated by oxidation. Catalyzes the reversible oxidation-reduction of methionine sulfoxide in proteins to methionine	msrA		1.8.4.11,1.8.4.12	ko:K07304,ko:K12267					ko00000,ko01000				PMSR,SelR						K07304	msrA; peptide-methionine (S)-S-oxide reductase [EC:1.8.4.11]
pgaptmp_000008	Protein Homology	CDS	6913	8265		-	0	ID=cds-pgaptmp_000008;Parent=gene-pgaptmp_000008;Name=extdb:pgaptmp_000008;Ontology_term=GO:0008643,GO:0048030;gbkey=CDS;go_function=disaccharide binding|0048030||IEA;go_process=carbohydrate transport|0008643||IEA;inference=COORDINATES: similar to AA sequence:RefSeq:WP_008675961.1;locus_tag=pgaptmp_000008;product=carbohydrate ABC transporter substrate-binding protein;protein_id=extdb:pgaptmp_000008;transl_table=11	pgaptmp_000008	carbohydrate ABC transporter substrate-binding protein	457396.CSBG_03399	0	898	COG1653@1|root,COG1653@2|Bacteria,1TRWM@1239|Firmicutes,24AP7@186801|Clostridia,36DUX@31979|Clostridiaceae	186801|Clostridia	G	Bacterial extracellular solute-binding protein				ko:K10200	ko02010,map02010	M00205			ko00000,ko00001,ko00002,ko02000	3.A.1.1.18			SBP_bac_1,SBP_bac_8,TAT_signal	cs11821	ABC	binding	disaccharides	3.A.1	K10200	ngcE; N-acetylglucosamine transport system substrate-binding protein
pgaptmp_000009	Protein Homology	CDS	8400	8558		-	0	ID=cds-pgaptmp_000009;Parent=gene-pgaptmp_000009;Name=extdb:pgaptmp_000009;gbkey=CDS;inference=COORDINATES: protein motif:HMM:NF046448.2;locus_tag=pgaptmp_000009;product=DUF6903 family protein;protein_id=extdb:pgaptmp_000009;transl_table=11	pgaptmp_000009	DUF6903 family protein	1499683.CCFF01000016_gene829	7.88E-11	57.8	2BB9C@1|root,324S1@2|Bacteria,1UQYM@1239|Firmicutes,24VAD@186801|Clostridia,36PGB@31979|Clostridiaceae	186801|Clostridia																						
pgaptmp_000010	Protein Homology	CDS	8636	10795		-	0	ID=cds-pgaptmp_000010;Parent=gene-pgaptmp_000010;Name=extdb:pgaptmp_000010;Ontology_term=GO:0050500;gbkey=CDS;gene=gnpA;go_function=1%2C3-beta-galactosyl-N-acetylhexosamine phosphorylase activity|0050500||IEA;inference=COORDINATES: similar to AA sequence:RefSeq:WP_002582800.1;locus_tag=pgaptmp_000010;product=1%2C3-beta-galactosyl-N-acetylhexosamine phosphorylase;protein_id=extdb:pgaptmp_000010;transl_table=11	pgaptmp_000010	1%2C3-beta-galactosyl-N-acetylhexosamine phosphorylase	457396.CSBG_03397	0	1487	COG5426@1|root,COG5426@2|Bacteria,1TPH0@1239|Firmicutes,24892@186801|Clostridia,36FBS@31979|Clostridiaceae	186801|Clostridia	S	1,3-beta-galactosyl-N-acetylhexosamine phosphorylase	gnpA		2.4.1.211	ko:K15533					ko00000,ko01000				LBP_C,LBP_M,Lact_bio_phlase						K15533	K15533; 1,3-beta-galactosyl-N-acetylhexosamine phosphorylase [EC:2.4.1.211]
pgaptmp_000011	Protein Homology	CDS	10811	11707		-	0	ID=cds-pgaptmp_000011;Parent=gene-pgaptmp_000011;Name=extdb:pgaptmp_000011;Ontology_term=GO:0008643,GO:0055085;gbkey=CDS;go_process=carbohydrate transport|0008643||IEA,transmembrane transport|0055085||IEA;inference=COORDINATES: similar to AA sequence:RefSeq:WP_008675965.1;locus_tag=pgaptmp_000011;product=carbohydrate ABC transporter permease;protein_id=extdb:pgaptmp_000011;transl_table=11	pgaptmp_000011	carbohydrate ABC transporter permease	457396.CSBG_03396	9.74E-200	555	COG0395@1|root,COG0395@2|Bacteria,1TPRG@1239|Firmicutes,249ZC@186801|Clostridia,36E7H@31979|Clostridiaceae	186801|Clostridia	P	PFAM Binding-protein-dependent transport system inner membrane component				ko:K10202	ko02010,map02010	M00205			ko00000,ko00001,ko00002,ko02000	3.A.1.1.18			BPD_transp_1	cs11821	ABC	membrane	sugar	3.A.1	K10202	ngcG; N-acetylglucosamine transport system permease protein
