"Strain"	"Putative_function"	"Label"	"start"	"end"	"strand"	"orientation"	"locus_tag"	
"Lacticaseibacillus_paracasei_M38"	"Glycoside Hydrolase 32"	"GH32"	6153	10043	"forward"	1	"pgaptmp_002683"	
"Lacticaseibacillus_paracasei_M38"	"DUF domain-containing protein (fosX)"	"fosX"	5615	5947	"forward"	1	"pgaptmp_002682"	
"Lacticaseibacillus_paracasei_M38"	"PTS subunit IID (fosD)"	"fosD"	4736	5581	"forward"	1	"pgaptmp_002681"	
"Lacticaseibacillus_paracasei_M38"	"PTS subunit IIC (fosC)"	"fosC"	3870	4733	"forward"	1	"pgaptmp_002680"	
"Lacticaseibacillus_paracasei_M38"	"PTS subunit IIB (fosB)"	"fosB"	2767	3493	"forward"	1	"pgaptmp_000696"	
"Lacticaseibacillus_paracasei_M38"	"PTS subunit IIA (fosA)"	"fosA"	2329	2766	"forward"	1	"pgaptmp_000402"	
"Lacticaseibacillus_paracasei_M38"	"Transcriptional Regulator (fosR)"	"fosR"	1	2045	"reverse"	0	"pgaptmp_000403"	
"Lactobacillus paracasei strain CAUH35"	"Glycoside Hydrolase 32"	"GH32"	347859	351270	"forward"	1	"AKG30_01715"	
"Lactobacillus paracasei strain CAUH35"	"PTS subunit IA (fosX)"	"fosX"	347321	347653	"forward"	1	"AKG30_01710"	
"Lactobacillus paracasei strain CAUH35"	"PTS subunit IID (fosD)"	"fosD"	346442	347287	"forward"	1	"AKG30_01705"	
"Lactobacillus paracasei strain CAUH35"	"PTS subunit IIC (fosC)"	"fosC"	345576	346439	"forward"	1	"AKG30_01700"	
"Lactobacillus paracasei strain CAUH35"	"PTS subunit IIB (fosB)"	"fosB"	344780	345274	"forward"	1	"AKG30_01695"	
"Lactobacillus paracasei strain CAUH35"	"PTS subunit IIA (fosA)"	"fosA"	344330	344767	"forward"	1	"AKG30_01690"	
"Lactobacillus paracasei strain CAUH35"	"Transcriptional Regulator (fosR)"	"fosR"	341512	344046	"reverse"	0	"AKG30_01685"	
"Clostridium_sp_HGF2"	"Glycoside Hydrolase 32"	"GH32"	150368	155191	"reverse"	0	"pgaptmp_000979"	"RCHGF003366"
"Clostridium_sp_HGF2"	"Transcriptional Regulator"	"TR"	155345	156022	"reverse"	0	"Pgaptmp_000980"	"RCHGF003367"
"Clostridium_sp_HGF2"	"Transcription factor"	"TF"	156526	157188	"reverse"	0	"Pgaptmp_000981"	
"Clostridium_sp_HGF2"	"Other ORF"	"ORF"	157210	158295	"reverse"	0	"pgaptmp_000982"	
"Clostridium_sp_HGF2"	"DUF domain-containing protein (fosX)"	"fosX"	158330	158800	"reverse"	0	"Pgaptmp_000983"	
"Clostridium_sp_HGF2"	"Other ORF"	"ORF"	159017	159238	"reverse"	0	"pgaptmp_000984"	
"Clostridium_sp_HGF2"	"PTS subunit IIA (fosA)"	"fosA"	159270	159581	"reverse"	0	"pgaptmp_000985"	"RCHGF003374"
"Clostridium_sp_HGF2"	"PTS subunit IIC (fosC)"	"fosC"	159657	161078	"reverse"	0	"Pgaptmp_000986"	"RCHGF003375"
"Clostridium_sp_HGF2"	"PTS subunit IIB (fosB)"	"fosB"	161171	161473	"reverse"	0	"pgaptmp_000987"	"RCHGF003376"
"Bifidobacterium animalis lactis PT33"	"Glycoside Hydrolase 32"	"GH32"	128304	129899	"forward"	1	"RVCYZ001167"	
"Bifidobacterium animalis lactis PT33"	"Galactosidase/Raffinose permease"	"Permease"	126728	128050	"forward"	1	"RVCYZ001166"	
"Bifidobacterium animalis lactis PT33"	"LacI-type transcriptional regulator"	"LacI-TR"	125372	126427	"forward"	1	"RVCYZ001165"	
"Bifidobacterium animalis lactis PT33"	"Other ORF"	"ORF"	124930	125295	"forward"	1	"RVCYZ001164"	
"Bifidobacterium animalis lactis PT33"	"ThiE/ThiD"	"ThiE/ThiD"	123291	124838	"forward"	1	"RVCYZ001163"	
"Bifidobacterium animalis lactis PT33"	"Hydroxyethylthiazole kinase"	"ThiM"	122327	123235	"forward"	1	"RVCYZ001162"	
"Bifidobacterium animalis lactis DSM 10140"	"Glycoside Hydrolase 32"	"GH32"	1433747	1435345	"forward"	1	"ACS48164.1"	
"Bifidobacterium animalis lactis DSM 10140"	"Galactosidase/Raffinose permease"	"Permease"	1432171	1433496	"forward"	1	"ACS48163.1"	
"Bifidobacterium animalis lactis DSM 10140"	"LacI-type transcriptional regulator"	"LacI-TR"	1430815	1431873	"forward"	1	"ACS48162.1"	
"Bifidobacterium animalis lactis DSM 10140"	"Other ORF"	"ORF"	1430373	1430741	"forward"	1	"ACS48161.1"	
"Bifidobacterium animalis lactis DSM 10140"	"ThiE/ThiD"	"ThiE/ThiD"	1428734	1430284	"forward"	1	"ACS48160.1"	
"Bifidobacterium animalis lactis DSM 10140"	"Hydroxyethylthiazole kinase"	"ThiM"	1427770	1428681	"forward"	1	"ACS48159.1"	
