metabolite_produced	protein	protein_ko	HGF2	WAL14673	C7243FAA	M62/1	L250	PT33	M38	VPI-5482
Butyrate	Butyrate_kinase		0	0	pgaptmp_003259; pgaptmp_003260	0	pgaptmp_000614	0	0	0
Butyrate	Butyryl-CoA:acetate CoA-transferase		0	pgaptmp_003068	0	Pgaptmp_001190	0	0	0	0
Butyrate	But_alternative_transferase		RCHGF003500	0	0	0	0	0	0	0
Acetate	Acetate kinase		RCHGF003908	pgaptmp_003945	pgaptmp_001508; pgaptmp_001642	Pgaptmp_001993	Pgaptmp_000847	RVCYZ000628	pgaptmp_001628; pgaptmp_002130	Pgaptmp_003754
Acetate	Phosphate acetyltransferase		RCHGF000917; RCHGF001173; RCHGF003536	pgaptmp_003944	pgaptmp_001507	pgaptmp_001992	pgaptmp_001548	RVCYZ000629	pgaptmp_000049	pgaptmp_003753
Lactate	Lactate dehydrogenase		RCHGF000264; RCHGF001334; RCHGF001335; RCHGF003222	pgaptmp_001320; pgaptmp_002183; pgaptmp_002269; pgaptmp_003416	pgaptmp_000224; pgaptmp_000225; pgaptmp_000226; pgaptmp_002453; pgaptmp_003409	Pgaptmp_002881	pgaptmp_002009; pgaptmp_001905	RVCYZ000422; RVCYZ001139	pgaptmp_001607; pgaptmp_001513; pgaptmp_002583; pgaptmp_002584; pgaptmp_002585; pgaptmp_002673; pgaptmp_000191; pgaptmp_001099	pgaptmp_001605; pgaptmp_004524; pgaptmp_004525; pgaptmp_004526
Succinate	Succinate dehydrogenase		0	0	0	0	0	RVCYZ001263; RVCYZ001264	0	pgaptmp_003122; pgaptmp_003123; pgaptmp_003124
Glucose, fructose, FOS	Fructan beta-fructosidase		RCHGF003366	0	0	0	0	0	Pgaptmp_002696	0
Glucose, fructose	Beta-fructofuranosidase		RCHGF003225	pgaptmp_000234	pgaptmp_001013; pgaptmp_002666	0	pgaptmp_002018; pgaptmp_002042	RVCYZ001167	pgaptmp_000974	pgaptmp_001799
Alanine	Alanine dehydrogenase		RCHGF003798	pgaptmp_003318	0	0	0	0	pgaptmp_002137	pgaptmp_001584
Alanine	Aspartate 4-decarboxylase		0	0	pgaptmp_000882; pgaptmp_001636	0	0	0	0	pgaptmp_000748
Alanine	Alanine transaminase		RCHGF000824; RCHGF001416	Pgaptmp_002593	0	Pgaptmp_002651	0	RVCYZ000777	0	0
Aspartate	Aspartate aminotransferase		RCHGF000505	pgaptmp_002371	pgaptmp_001274	pgaptmp_001402	pgaptmp_002120	RVCYZ000360	0	pgaptmp_001508; pgaptmp_002464
Aspartate	Aspartate dehydrogenase		0	pgaptmp_000322	0	0	0	RVCYZ001411	0	0
