"Feature"	"Consortium_Early_R1"	"Consortium_Early_R2"	"Consortium_Early_R3"	"Consortium_Late_R1"	"Consortium_Late_R2"	"Consortium_Late_R3"	"HGF2_Early_R1"	"HGF2_Early_R2"	"HGF2_Early_R3"	"HGF2_Late_R1"	"HGF2_Late_R2"	"HGF2_Late_R13"
"RCHGF000001"	5	1	0	0	0	4	1314	1217	1076	1188	1232	893
"RCHGF000002"	4	5	3	4	0	1	1613	1596	1678	1390	1514	1090
"RCHGF000003"	2	3	1	1	4	2	2524	2557	2447	1808	2640	2198
"RCHGF000004"	7	6	6	5	10	1	2236	1815	2612	1531	2145	1695
"RCHGF000005"	6	1	0	4	1	3	1412	1352	902	540	690	619
"RCHGF000006"	3	11	3	0	0	1	955	1058	882	631	809	709
"RCHGF000007"	3	0	4	1	0	2	1720	1681	1177	907	1095	855
"RCHGF000008"	5	1	2	4	0	0	548	577	479	299	408	338
"RCHGF000009"	2	2	1	1	0	0	739	657	346	418	412	341
"RCHGF000010"	3	1	0	0	0	0	498	429	594	220	187	113
"RCHGF000011"	3	3	1	0	1	0	439	398	363	239	326	281
"RCHGF000012"	10	7	4	3	2	10	2145	2129	1415	1078	1290	1041
"RCHGF000013"	0	0	0	0	0	0	95	99	117	28	66	51
"RCHGF000014"	0	0	2	0	0	0	262	254	177	57	69	74
"RCHGF000015"	1	2	8	0	0	0	101	115	58	33	10	10
"RCHGF000016"	0	3	1	0	0	0	201	172	79	45	42	42
"RCHGF000017"	0	1	0	0	4	2	294	308	144	89	73	64
"RCHGF000018"	0	0	0	0	0	0	33	33	25	19	8	5
"RCHGF000020"	0	2	2	0	0	0	307	346	222	102	92	94
"RCHGF000021"	0	1	0	0	2	0	77	95	106	132	132	92
"RCHGF000022"	16	13	13	2	1	2	3373	3359	3068	8920	10183	8705
"RCHGF000023"	4	12	3	2	1	3	3516	3718	2602	2563	3466	3093
"RCHGF000024"	23	9	12	3	0	2	4525	5185	2825	4428	5349	4575
"RCHGF000025"	24	38	28	15	4	4	7659	8354	5612	7727	9860	8370
"RCHGF000026"	2	7	0	10	0	0	176	176	134	245	265	208
"RCHGF000027"	3	0	1	0	1	1	236	190	152	134	108	92
"RCHGF000028"	0	0	2	1	0	0	407	401	267	280	277	241
"RCHGF000029"	35	22	14	8	11	14	4195	3877	3657	3416	3878	3236
"RCHGF000030"	5	16	2	8	6	2	3075	2756	7779	3730	4589	3279
"RCHGF000031"	12	11	8	4	3	1	3739	3928	2956	3961	4607	3889
"RCHGF000032"	0	0	0	0	0	0	107	105	54	44	64	50
"RCHGF000033"	5	4	5	7	0	7	892	863	855	653	741	569
"RCHGF000034"	29	40	32	11	11	12	11168	12216	7541	29343	35569	27513
"RCHGF000035"	0	4	5	0	1	1	128	198	105	99	64	74
"RCHGF000036"	14	35	22	7	8	4	6831	5772	5315	3297	3683	2642
"RCHGF000037"	0	5	13	5	1	2	2298	2045	1213	922	1203	996
"RCHGF000038"	1	8	4	5	2	2	1918	1919	1475	842	845	644
"RCHGF000039"	6	5	3	0	4	2	1274	1081	778	425	387	348
"RCHGF000040"	18	18	17	21	21	10	14052	13478	15590	9248	8723	7193
"RCHGF000041"	5	1	2	1	1	0	4695	4323	4308	942	1176	1117
"RCHGF000042"	6	7	6	4	3	1	11534	13631	8118	2599	3171	2827
"RCHGF000043"	33	43	15	25	24	8	68229	64246	72062	12656	17108	14430
"RCHGF000044"	0	3	1	1	1	0	2102	2006	2824	329	406	296
"RCHGF000045"	2	3	2	1	2	0	17129	15544	14424	2342	2112	1693
"RCHGF000046"	1	0	0	0	1	0	2690	1995	1345	317	494	402
