"Name","P Value","Q Value","Set Size","Stat Mean","Source"
"Polysaccharide_degradation",4.85949209272535e-08,7.1434533763e-06,72,3.13718228953735,"Upregulated"
"ABC_transporter_for_unknown_substrate",5.92114785975782e-07,4.352043676921e-05,40,2.94031829233137,"Upregulated"
"Leu_Ile_Val_uptake",3.90136775743e-06,0.00019116702011454,28,2.72173898733181,"Upregulated"
"Carbohydrate_assimilation",5.56925466969e-06,0.00020205384350558,189,2.55148910309175,"Upregulated"
"Mannan,_gluco_and_galactomannan_degradation",6.87257971107e-06,0.00020205384350558,12,2.83877634678299,"Upregulated"
"Unknown_substrate_transporters",0.00015284304078448,0.00374465449921984,80,2.1046708971145,"Upregulated"
"Membrane_transport",0.00047009923282604,0.00987208388934694,275,1.9139458297716,"Upregulated"
"L_homocysteine_biosynthesis",0.00170606063766105,0.0313488642170219,12,1.82276117444162,"Upregulated"
"Bioenergetics",2.79019765983335e-56,4.10159055995502e-54,153,-9.89044951851938,"Downregulated"
"Bacterial_Protein_Metabolism",3.45539260953802e-33,1.69314237867363e-31,227,-7.08975414340656,"Downregulated"
"Bacterial_Protein_Biosynthesis",1.46731507175907e-32,5.39238288871458e-31,132,-7.15968587050689,"Downregulated"
"Carbohydrate_central_metabolism",1.46785551595088e-18,2.69718451055974e-17,85,-5.29745514537388,"Downregulated"
"Nucleotide_metabolism",1.12038507913866e-15,1.82996229592649e-14,135,-4.68272481127183,"Downregulated"
"Glycolysis_and_fermentation_pathways",6.15403606981169e-15,9.04643302262319e-14,44,-4.83141786295468,"Downregulated"
"Purine_biosynthesis",2.15695025527529e-09,2.37935583076992e-08,41,-3.54244100709912,"Downregulated"
"Carbohydrate_biosynthesis",2.26605317216183e-09,2.37935583076992e-08,91,-3.46906553247282,"Downregulated"
"Pyrimidine_biosynthesis",3.57372180863914e-08,3.50224737246636e-07,36,-3.24753848098967,"Downregulated"
"Capsular_and_exopolysaccharide_metabolism",1.23777300907e-06,1.070309601967e-05,46,-2.79258869157884,"Downregulated"
"Cell_wall_metabolism",6.39914842063e-06,4.293384898673e-05,81,-2.55500397881358,"Downregulated"
"Bacterial_Protein_Degradation",1.374553780106e-05,8.419141903151e-05,68,-2.46064062337677,"Downregulated"
"Nucleotide_sugar_biosynthesis",1.590416415917e-05,9.351648525593e-05,22,-2.52592965524853,"Downregulated"
"Lipid_metabolism",2.512023400233e-05,0.00014202593839783,60,-2.37912835906094,"Downregulated"
"Bacterial_Regulatory_Proteolysis",4.503840846859e-05,0.00024520911277345,10,-2.49263918820642,"Downregulated"
"Stress",0.00011625639136534,0.00061034605466807,23,-2.19939706293342,"Downregulated"
"Biosynthesis_of_nucleotide_sugar_precursors",0.00020041650586889,0.00095036214073316,16,-2.16236489342352,"Downregulated"
"Bacterial_Basic_Transcription",0.00024504915411869,0.00112569455173276,10,-2.24159750953933,"Downregulated"
"Aminoacyl_tRNA_Biosynthesis",0.00034832426255127,0.00150599019397167,20,-2.06203785073671,"Downregulated"
"Gluconeogenesis",0.00037647580968833,0.00158119840069098,29,-2.02497086483428,"Downregulated"
"Carbohydrate_metabolism",0.00045196344857982,0.00184551741503429,377,-1.92431928596344,"Downregulated"
"Fatty_acid_degradation",0.00083738369469837,0.00315629238770924,12,-2.06660114624734,"Downregulated"
"Nitrogen_metabolism",0.00139354985163086,0.00499638605340821,14,-1.81471799970529,"Downregulated"
"Bacterial_Amino_peptidases",0.00147235898991551,0.0051532564647043,13,-1.80765390295195,"Downregulated"
"Alcohol_and_aldehyde_degradation",0.00165489368524047,0.00561146432116559,13,-1.77876314084543,"Downregulated"
"Phosphorus_metabolism",0.00244250804154397,0.00797885960237699,24,-1.66624806525792,"Downregulated"
"Bacterial_Exopeptidases",0.00253206584125605,0.00809160171010085,16,-1.68495549281462,"Downregulated"
"Lipid_degradation",0.00467053461593705,0.0146078423094202,19,-1.55041866811313,"Downregulated"
"Peptide_uptake",0.00735386889939976,0.0211964456512111,20,-1.49259974078616,"Downregulated"
"Bacterial_cell_division",0.00877329648581188,0.0248014342964297,12,-1.42836465096357,"Downregulated"
"TCA_cycle_and_related_pathways",0.00954554535666892,0.0264753805175534,16,-1.39639483150858,"Downregulated"
"Secondary_metabolism",0.0130529914264491,0.0342641024944288,19,-1.3103085584643,"Downregulated"
