"Feature"	"Consortium_Early_R1"	"Consortium_Early_R2"	"Consortium_Early_R3"	"Consortium_Late_R1"	"Consortium_Late_R2"	"Consortium_Late_R3"	"PT33_Early_R1"	"PT33_Early_R2"	"PT33_Early_R3"	"PT33_Late_R1"	"PT33_Late_R2"	"PT33_Late_R3"
"RVCYZ000001"	500	551	448	546	469	456	538	899	422	1492	1627	1610
"RVCYZ000002"	1895	2270	1735	1431	1216	1389	1280	1768	1395	1484	1621	1569
"RVCYZ000003"	236	338	184	233	190	134	253	456	180	991	1006	934
"RVCYZ000004"	74	130	54	64	64	41	110	210	250	408	399	427
"RVCYZ000005"	39	47	32	33	28	18	39	53	35	168	168	130
"RVCYZ000006"	178	272	154	196	144	133	205	301	346	745	808	765
"RVCYZ000007"	248	314	153	181	163	104	254	503	413	1037	1183	1025
"RVCYZ000008"	8402	10610	8191	6635	5547	5902	6920	7804	5705	5170	5115	4957
"RVCYZ000009"	629	792	576	604	455	466	509	695	805	1089	1103	1062
"RVCYZ000010"	334	366	270	295	265	204	371	645	235	1483	1448	1492
"RVCYZ000011"	1343	1711	1240	1392	961	1161	1077	1547	1302	2025	2261	2214
"RVCYZ000012"	6072	7330	5698	4660	3600	4107	4913	4848	2385	2135	1972	2113
"RVCYZ000013"	561	752	602	531	421	403	570	646	790	815	870	945
"RVCYZ000014"	693	831	582	532	448	499	478	719	2006	1042	915	966
"RVCYZ000015"	936	1009	817	780	588	509	884	1151	2053	1772	1799	1830
"RVCYZ000016"	1700	2347	1545	2071	1478	1524	1251	1483	3062	979	794	980
"RVCYZ000017"	1127	1514	1046	1048	933	942	815	1009	1944	879	850	805
"RVCYZ000018"	2636	3408	2555	2194	1825	2001	1940	2569	3996	2202	2183	2087
"RVCYZ000019"	3173	4152	3143	2290	1871	1987	2815	3346	2683	1873	1884	1904
"RVCYZ000020"	1823	2377	1891	1081	770	771	1475	1991	1396	1988	1950	1817
"RVCYZ000021"	3673	4796	3824	2727	2363	2263	2662	3406	2179	3295	3550	3418
"RVCYZ000022"	155	229	206	137	144	188	180	234	272	308	250	255
"RVCYZ000023"	15969	20700	16667	11379	8925	10052	10032	10680	7202	3486	3149	2980
"RVCYZ000024"	1078	1413	1103	825	722	667	880	1103	2007	1231	1278	1211
"RVCYZ000025"	2727	3551	2793	2225	1755	1593	2520	3272	4429	4527	4662	4700
"RVCYZ000026"	2220	2893	2103	2046	1784	1642	1910	2461	5043	3382	3177	2994
"RVCYZ000027"	5990	7509	5596	4645	3818	3717	5225	5838	12398	5860	5592	5683
"RVCYZ000028"	1108	1487	1172	965	769	866	960	1101	2326	826	673	710
"RVCYZ000029"	2588	3392	2563	1880	1531	1561	2765	3549	4648	4512	4761	4560
"RVCYZ000030"	454	447	376	567	486	480	366	477	270	610	617	691
"RVCYZ000031"	1567	1937	1407	1783	1333	1359	1183	1545	812	1334	1312	1236
"RVCYZ000032"	132	150	88	129	77	85	144	262	73	530	511	460
"RVCYZ000033"	58	64	61	68	72	37	85	141	61	364	304	314
"RVCYZ000034"	264	323	232	245	170	215	238	280	514	412	390	397
"RVCYZ000035"	439	534	421	389	313	251	430	675	485	1078	1148	1074
"RVCYZ000036"	1409	1802	1380	918	696	824	1558	1681	1674	924	852	834
"RVCYZ000037"	592	759	594	389	340	346	590	848	1128	1251	1232	1194
"RVCYZ000038"	103	121	152	62	79	75	133	143	162	274	250	168
"RVCYZ000039"	561	781	629	433	305	273	635	834	1091	1206	1337	1381
"RVCYZ000040"	555	743	530	373	259	265	483	648	977	906	858	869
"RVCYZ000041"	1205	1514	1253	970	847	909	1097	1330	1547	1561	1493	1515
"RVCYZ000042"	788	1041	723	707	540	523	513	651	1020	414	415	446
"RVCYZ000043"	1409	1834	1332	1565	1197	1328	1219	1414	1819	1339	1372	1546
"RVCYZ000044"	1356	1598	1239	1042	832	802	1087	1471	2586	1785	1661	1611
"RVCYZ000045"	1196	1328	980	967	808	882	1003	1235	1742	1760	1689	1787
"RVCYZ000046"	3371	4152	3069	2263	1771	1855	2780	3638	5052	4244	4516	4603
"RVCYZ000047"	6451	6632	7363	5169	5184	6042	5791	5461	2840	1291	1239	1297
"RVCYZ000048"	1477	1871	1497	1355	1108	1279	1622	1447	1132	651	577	599
"RVCYZ000049"	650	774	804	849	740	811	830	1039	314	1395	1384	1377
"RVCYZ000050"	989	1263	946	849	712	604	1095	1647	942	2630	2913	2937
"RVCYZ000051"	100	84	56	56	53	45	58	148	38	426	427	376
"RVCYZ000052"	361	472	318	407	363	255	444	678	465	1284	1546	1497
"RVCYZ000053"	314	393	277	304	289	194	339	691	750	1127	1255	1288
"RVCYZ000054"	532	631	494	415	307	276	381	622	1211	932	1014	925
"RVCYZ000055"	626	740	576	393	321	341	415	596	1320	800	814	807
"RVCYZ000056"	746	1008	665	682	634	535	820	1218	1209	2050	2071	2247
"RVCYZ000057"	1122	1501	1228	818	792	821	1194	1453	1462	1463	1558	1507
"RVCYZ000058"	4308	5726	4510	4300	3767	3868	3900	4436	1855	1652	1435	1460
"RVCYZ000059"	2292	3091	2195	2085	1619	1836	2098	2401	1035	1415	1483	1455
"RVCYZ000060"	7360	8921	7445	9142	8158	9310	6163	6378	13315	4488	4369	4479
"RVCYZ000061"	11631	14904	11495	14014	12030	13363	9276	10325	29550	8977	7770	7856
"RVCYZ000062"	786	927	675	669	574	580	709	856	503	931	1065	1035
"RVCYZ000063"	3732	4986	3633	3186	2624	2827	3331	4253	2585	3924	4152	3960
"RVCYZ000064"	161	176	126	177	169	126	232	304	185	796	847	764
"RVCYZ000065"	1659	1885	1745	1279	1088	1063	1520	1878	1421	2191	2337	2237
"RVCYZ000066"	1236	1705	1290	1148	944	927	986	1350	599	1908	1900	1807
"RVCYZ000067"	1557	2051	1566	1462	1186	1102	1417	1677	1666	2174	2117	2028
"RVCYZ000068"	246	299	165	245	190	140	283	443	300	1042	1025	1095
"RVCYZ000069"	257	351	210	237	157	148	281	450	963	1065	973	941
"RVCYZ000070"	251	295	156	205	195	147	278	457	460	1034	1104	1034
"RVCYZ000071"	610	784	554	585	491	430	799	1148	190	1904	2136	2085
"RVCYZ000072"	363	573	390	342	251	280	303	483	380	560	545	544
"RVCYZ000073"	1294	1712	1148	1158	950	808	909	1176	747	1400	1376	1304
"RVCYZ000074"	970	1366	839	1013	723	689	727	983	614	1160	1134	1105
"RVCYZ000075"	959	1354	1014	794	666	641	895	1283	982	1614	1655	1714
"RVCYZ000076"	550	701	430	609	561	343	746	1438	229	3137	3018	3248
"RVCYZ000077"	272	279	180	275	195	121	271	584	127	1119	1181	1255
"RVCYZ000078"	7159	9501	7236	6325	5167	5724	7023	8628	7531	7377	7122	7036
"RVCYZ000079"	740	794	668	564	491	400	698	993	1222	1639	1809	1806
"RVCYZ000080"	2436	3054	2386	1991	1625	1804	1868	2085	7578	1822	1796	1707
"RVCYZ000081"	4022	4981	3822	3530	3076	3546	3384	3805	8172	2608	2360	2503
"RVCYZ000082"	12214	15060	10996	9974	7193	8346	10294	9059	9135	2761	2467	2315
"RVCYZ000083"	2172	2673	1826	1967	1545	1520	1590	1915	8195	2819	2596	2477
"RVCYZ000084"	770	901	735	785	584	614	596	951	2107	1350	1251	1253
"RVCYZ000085"	236	270	237	245	236	208	277	372	236	478	528	467
"RVCYZ000086"	2007	2660	1921	2089	1743	1961	1845	2754	2825	3137	3155	3221
"RVCYZ000087"	2756	3640	2778	2380	1925	1993	2692	2740	1402	2106	2254	2074
"RVCYZ000088"	704	899	678	516	450	354	772	923	496	1341	1275	1279
"RVCYZ000089"	1201	1662	1298	780	655	758	1226	1560	538	1022	1010	1112
"RVCYZ000090"	1826	2236	1693	1311	1053	1075	2052	2380	705	2254	2457	2448
"RVCYZ000091"	2275	2904	2183	1942	1667	1826	2136	2516	3657	3254	3336	3186
"RVCYZ000092"	387	463	331	354	264	240	493	790	376	1106	1267	1239
"RVCYZ000093"	1054	1323	929	868	834	709	1270	1989	1620	3249	3381	3538
"RVCYZ000094"	687	773	529	536	515	464	685	1113	1510	1854	1973	1932
"RVCYZ000095"	885	1060	880	836	678	683	806	936	1997	1281	1156	1157
"RVCYZ000096"	2602	3368	2414	2405	1872	1978	2321	2982	5853	3784	3478	3470
"RVCYZ000097"	749	935	764	513	439	343	735	1059	1747	1699	1636	1767
"RVCYZ000098"	4012	5333	3753	2436	1761	1903	3502	3899	7053	2758	2625	2726
"RVCYZ000099"	11459	14767	11035	7608	5949	6587	10560	12176	9993	5065	4578	4819
"RVCYZ000100"	2807	3826	2963	2414	2122	2244	2412	3055	3737	2889	2985	2869
"RVCYZ000101"	328	393	323	333	239	297	271	378	930	773	796	644
"RVCYZ000102"	1152	1430	1020	2476	2123	2373	1319	1759	464	1382	1338	1362
"RVCYZ000103"	2770	3353	2779	2584	2278	2411	2523	3154	3750	3253	3388	3539
"RVCYZ000104"	3493	4984	4024	2665	2200	2401	2882	3462	2927	3057	3003	2943
"RVCYZ000105"	461	529	394	374	295	267	409	631	485	826	792	797
"RVCYZ000106"	1076	1333	1025	916	787	760	1174	1378	984	1685	1685	1684
"RVCYZ000107"	1536	1989	1458	1089	893	960	1604	2086	3686	2744	2876	2974
"RVCYZ000108"	807	1007	774	665	531	480	902	1174	432	1402	1511	1521
"RVCYZ000109"	1047	1302	1001	940	799	673	1083	1659	522	2062	2172	2227
"RVCYZ000110"	1032	1313	986	771	660	627	990	1434	480	1940	1927	1921
"RVCYZ000111"	1832	2293	1924	1303	1087	1130	1882	1974	1346	1462	1362	1358
"RVCYZ000112"	8181	10267	8054	4646	3809	4289	7218	8459	4804	5662	5808	6011
"RVCYZ000113"	2546	3045	2369	1572	1367	1235	1959	2634	2294	2017	2125	2135
"RVCYZ000114"	779	1018	767	535	499	428	828	1173	440	1666	1711	1858
"RVCYZ000115"	131	126	116	81	78	84	115	187	68	321	375	302
"RVCYZ000116"	439	606	383	493	383	275	586	1035	342	2288	2301	2320
"RVCYZ000117"	263	288	205	218	220	161	295	582	268	1043	1217	1145
"RVCYZ000118"	14857	18314	16335	12619	10924	11804	17128	18895	29779	14180	14353	16086
"RVCYZ000119"	375	445	332	322	350	276	379	562	404	1150	1253	1291
"RVCYZ000121"	40	48	29	78	46	28	63	121	6	264	234	294
"RVCYZ000122"	456	565	334	516	382	290	741	1153	113	2215	2438	2520
"RVCYZ000123"	30	13	27	20	21	8	33	49	4	116	119	113
"RVCYZ000124"	541	540	405	498	390	386	634	1084	319	1938	2335	2274
"RVCYZ000125"	188	270	157	126	106	83	175	254	294	550	629	455
"RVCYZ000126"	952	1234	944	685	668	504	1045	1447	1153	1812	2115	1902
"RVCYZ000127"	1657	1871	1465	1676	1375	1330	1798	2460	869	2973	3217	3302
"RVCYZ000128"	2424	2826	2142	2045	1740	1627	1919	2170	2667	1469	1553	1537
"RVCYZ000129"	1221	1441	1372	1206	1021	961	1391	2082	1278	3331	3348	3185
"RVCYZ000130"	823	988	796	728	599	623	746	1119	790	1456	1573	1587
"RVCYZ000131"	24170	34023	22661	17881	14323	14914	18658	19843	5203	5753	5120	5184
"RVCYZ000133"	343	432	260	298	216	146	369	641	212	1285	1419	1326
"RVCYZ000134"	676	847	713	718	539	454	730	1278	672	2135	2318	2317
"RVCYZ000135"	2078	2663	2030	1940	1521	1481	2427	3583	767	4900	5314	5117
"RVCYZ000136"	4505	5743	4425	3126	2565	2235	4404	5864	2086	6628	6849	6580
