"id","Category","Locus","Gene Name","Aliases","Assigned Function","deseq2_log2_FC","Avg. Expression","lfc SE","wald stat","p-value","deseq2_q_value","ERGO_Function","GenBank_Function","strand","length_nt","length_aa","GRAVY","Molecular_Weight","Iso_electric_Point","gene_name","Kegg_Orthology","COG_Category_description","KEGG_Pathway_names","COG_category_eggnog","seed_ortholog_eggnog","evalue_eggnog","score_eggnog","Description_eggnog","Preferred_name_eggnog","GOs_eggnog","EC_eggnog","KEGG_ko_eggnog","KEGG_Pathway_eggnog","KEGG_Module_eggnog","KEGG_Reaction_eggnog","KEGG_rclass_eggnog","BRITE_eggnog","KEGG_TC_eggnog","CAZy_eggnog","BiGG_Reaction_eggnog","PFAMs_eggnog","TransAAP_Transporter_Family","TransAAP_Subfamily","TransAAP_Substrate_Function"
"RVCYZ000538","metabolic process;cellular process;localization;","NODE_2_length_292055_cov_35.121020","null","pgaptmp_000686, extdb:pgaptmp_000686","Amino acid permease",-1.38,8670,0.0975,-14.2,1.79E-45,3.60E-44,"Amino acid permease","APC family permease","positive",1527,509,0.842239685658156,53951.5772000001,8.82696533203125,"None","K04079 - HSP90A, htpG - molecular chaperone HtpG","(E) Amino Acid metabolis and transport","-","E","552531.BIF_01128",0,951,"Amino acid permease","-","-","-","-","-","-","-","-","-","-","-","-","AA_permease,AA_permease_2","APC","NA","amino acid"
"RVCYZ000806","cellular process;response to stimulus;localization;","NODE_4_length_201150_cov_39.214667","null","pgaptmp_000956, extdb:pgaptmp_000956","Ammonium transporter",-1.13,6680,0.119,-9.54,1.49E-21,8.65E-21,"Ammonium transporter","ammonium transporter","negative",1293,431,0.829466357308587,45001.0953,5.64056396484375,"None","K03320 - amt, AMT, MEP - ammonium transporter, Amt family","(U) Intracellular trafficing and secretion","-","U","552531.BIF_01432",1.79E-300,826,"Ammonium Transporter Family","amt","-","-","ko:K03320","-","-","-","-","ko00000,ko02000","1.A.11","-","-","Ammonium_transp","Amt","NA","ammonium"
"RVCYZ000269","cellular process;localization;","NODE_1_length_388644_cov_35.133645","null","pgaptmp_000401, extdb:pgaptmp_000401","Dipeptide transport system permease protein dppB",-1.38,3000,0.115,-12,4.83E-33,4.74E-32,"Dipeptide transport system permease protein dppB","ABC transporter permease","negative",960,320,0.815312500000001,34289.7443,9.78472900390625,"None","K02033 - ABC.PE.P - peptide/nickel transport system permease protein","(P) Inorganic ion transport and metabolism","Quorum sensing","P","552531.BIF_01415",7.86E-217,600,"Binding-protein-dependent transport system inner membrane component","-","-","-","ko:K02033","ko02024,map02024","M00239","-","-","ko00000,ko00001,ko00002,ko02000","3.A.1.5","-","-","BPD_transp_1","ABC","membrane","dipeptide/oligopeptide"
"RVCYZ000270","cellular process;locomotion;localization;","NODE_1_length_388644_cov_35.133645","null","pgaptmp_000402, extdb:pgaptmp_000402","Dipeptide-binding protein",-1.34,7320,0.111,-12.1,1.74E-33,1.79E-32,"Dipeptide-binding protein","ABC transporter substrate-binding protein","negative",1749,583,-0.517324185248713,63800.1416000001,5.21307373046875,"None","K02035 - ABC.PE.S - peptide/nickel transport system substrate-binding protein","(E) Amino Acid metabolis and transport","Quorum sensing","E","552531.BIF_02118",0,1149,"ABC transporter, substrate-binding protein, family 5","-","-","-","ko:K02035","ko02024,map02024","M00239","-","-","ko00000,ko00001,ko00002,ko02000","3.A.1.5","-","-","SBP_bac_5","ABC","binding protein","dipeptide/oligopeptide"
"RVCYZ001066","cellular process;localization;","NODE_6_length_165740_cov_33.678570","null","pgaptmp_001219, extdb:pgaptmp_001219","Oligopeptide transport system permease protein oppC",-1.26,2910,0.106,-11.9,9.43E-33,9.03E-32,"Oligopeptide transport system permease protein oppC","ABC transporter permease","negative",954,318,0.631761006289309,34038.4744000001,6.72894287109375,"None","K15582 - oppC - oligopeptide transport system permease protein","(E) Amino Acid metabolis and transport; (P) Inorganic ion transport and metabolism","beta-Lactam resistance; ABC transporters; Quorum sensing","EP","552531.BIF_00040",9.25E-220,608,"N-terminal TM domain of oligopeptide transport permease C","dppC","-","-","ko:K02034,ko:K15582","ko01501,ko02010,ko02024,map01501,map02010,map02024","M00239,M00439","-","-","ko00000,ko00001,ko00002,ko02000","3.A.1.5,3.A.1.5.1,3.A.1.5.18,3.A.1.5.19,3.A.1.5.25","-","-","BPD_transp_1,OppC_N","ABC","membrane","dipeptide/oligopeptide"
"RVCYZ001067","cellular process;localization;","NODE_6_length_165740_cov_33.678570","null","pgaptmp_001220, extdb:pgaptmp_001220","Oligopeptide transport system permease protein oppB",-1.21,2760,0.0993,-12.2,3.09E-34,3.27E-33,"Oligopeptide transport system permease protein oppB","ABC transporter permease","negative",924,308,0.730194805194805,33694.7321,9.16754150390625,"None","K15581 - oppB - oligopeptide transport system permease protein","(E) Amino Acid metabolis and transport; (P) Inorganic ion transport and metabolism","beta-Lactam resistance; ABC transporters; Quorum sensing","EP","31954.BPSP_1163",1.48E-199,555,"Binding-protein-dependent transport system inner membrane component","dppB","-","-","ko:K02033,ko:K15581","ko01501,ko02010,ko02024,map01501,map02010,map02024","M00239,M00439","-","-","ko00000,ko00001,ko00002,ko02000","3.A.1.5,3.A.1.5.1,3.A.1.5.18,3.A.1.5.19,3.A.1.5.25","-","-","BPD_transp_1","ABC","membrane","dipeptide/oligopeptide"
"RVCYZ001237","Uncategorized;","NODE_7_length_129943_cov_31.370709","null","pgaptmp_001390, extdb:pgaptmp_001390","Glucose uptake protein homolog",-1.31,4060,0.103,-12.8,1.51E-37,1.87E-36,"Glucose uptake protein homolog","GRP family sugar transporter","positive",957,319,0.921316614420064,33758.912,9.30047607421875,"None","K05340 - glcU - glucose uptake protein","(G) Carbohydrate metabolism and transport","-","G","552531.BIF_00684",2.47E-222,614,"Sugar transport protein","-","-","-","ko:K05340","-","-","-","-","ko00000,ko02000","2.A.7.5","-","-","Sugar_transport","DMT","GRP","glucose uptake (GRP subfamily)"
"RVCYZ000536","Uncategorized;","NODE_2_length_292055_cov_35.121020","null","pgaptmp_000684, extdb:pgaptmp_000684","Glutamate/gamma-aminobutyrate antiporter",-2.4,44200,0.139,-17.3,9.36E-67,6.03E-65,"Glutamate/gamma-aminobutyrate antiporter","APC family permease","positive",2121,707,0.329561527581332,76506.3716000002,6.67877197265625,"None","K20265 - gadC - glutamate:GABA antiporter","(E) Amino Acid metabolis and transport","Quorum sensing","E","552531.BIF_00164",0,1355,"Amino acid permease","-","-","-","ko:K20265","ko02024,map02024","-","-","-","ko00000,ko00001,ko02000","2.A.3.7.1,2.A.3.7.3","-","-","AA_permease_2","APC","NA","glutamate:GABA antiporter"
"RVCYZ000023","Uncategorized;","NODE_1_length_388644_cov_35.133645","null","pgaptmp_000151, extdb:pgaptmp_000151","Aquaporin",-2.32,12000,0.135,-17.2,1.25E-66,7.73E-65,"Aquaporin","aquaporin","negative",1020,340,0.456176470588236,35788.4316000001,4.30999755859375,"None","K06188 - aqpZ - aquaporin Z","(U) Intracellular trafficing and secretion","-","U","552531.BIF_00659",3.45E-221,612,"Belongs to the MIP aquaporin (TC 1.A.8) family","-","-","-","ko:K06188","-","-","-","-","ko00000,ko02000","1.A.8","-","-","MIP","MIP","NA","glycerol uptake"
"RVCYZ000267","Uncategorized;","NODE_1_length_388644_cov_35.133645","null","pgaptmp_000399, extdb:pgaptmp_000399","Dipeptide transport ATP-binding protein dppD / Dipeptide transport ATP-binding protein dppF",-1.2,1550,0.124,-9.68,3.68E-22,2.18E-21,"Dipeptide transport ATP-binding protein dppD / Dipeptide transport ATP-binding protein dppF","ABC transporter ATP-binding protein","negative",795,265,0.114339622641509,28135.8416,5.18829345703125,"None","K02031 - ABC.PE.A - peptide/nickel transport system ATP-binding protein","(P) Inorganic ion transport and metabolism","Quorum sensing","P","552531.BIF_01417",4.99E-181,504,"ATPases associated with a variety of cellular activities","oppDF2","-","-","ko:K02031,ko:K02032,ko:K02034","ko02024,map02024","M00239","-","-","ko00000,ko00001,ko00002,ko02000","3.A.1.5","-","-","ABC_tran,oligo_HPY","ABC","binding","glycine betaine"
