locus_tag	seqid_pgap	source_pgap	type_pgap	start_pgap	end_pgap	score_pgap	strand_pgap	phase_pgap	attributes_pgap	product_pgap	seed_ortholog_eggnog	evalue_eggnog	score_eggnog	eggNOG_OGs_eggnog	max_annot_lvl_eggnog	COG_category_eggnog	Description_eggnog	Preferred_name_eggnog	GOs_eggnog	EC_eggnog	KEGG_ko_eggnog	KEGG_Pathway_eggnog	KEGG_Module_eggnog	KEGG_Reaction_eggnog	KEGG_rclass_eggnog	BRITE_eggnog	KEGG_TC_eggnog	CAZy_eggnog	BiGG_Reaction_eggnog	PFAMs_eggnog	GenomeID_transapp	FID_transapp	Subfamily_transapp	Substrate/Function_transapp	ID_tcdb_org_transapp	KO_blastkoala	KO_definition_blastkoala
pgaptmp_001516	contig52	Protein Homology	CDS	1	104		+	2	ID=cds-pgaptmp_001516;Parent=gene-pgaptmp_001516;Name=extdb:pgaptmp_001516;gbkey=CDS;inference=COORDINATES: similar to AA sequence:RefSeq:WP_003574021.1;locus_tag=pgaptmp_001516;partial=true;product=IS30 family transposase;protein_id=extdb:pgaptmp_001516;start_range=.,1;transl_table=11	IS30 family transposase	568703.LGG_00464	2.34E-15	73.6	COG2826@1|root,COG2826@2|Bacteria,1TRSF@1239|Firmicutes,4HTRR@91061|Bacilli,3F3WY@33958|Lactobacillaceae	91061|Bacilli	L	Transposase and inactivated derivatives, IS30 family													rve							
pgaptmp_001517	contig52	Protein Homology	CDS	125	715		-	0	ID=cds-pgaptmp_001517;Parent=gene-pgaptmp_001517;Note=incomplete%3B partial in the middle of a contig%3B missing C-terminus;gbkey=CDS;inference=COORDINATES: similar to AA sequence:RefSeq:WP_003562578.1;locus_tag=pgaptmp_001517;product=helix-turn-helix domain-containing protein;pseudo=true;transl_table=11	helix-turn-helix domain-containing protein	543734.LCABL_00560	7.52E-139	396	COG1396@1|root,COG1396@2|Bacteria,1UZI0@1239|Firmicutes,4I40C@91061|Bacilli,3F837@33958|Lactobacillaceae	91061|Bacilli	K	Transcriptional activator, Rgg GadR MutR family													HTH_3							
pgaptmp_001518	contig52	Protein Homology	CDS	807	2399		+	0	ID=cds-pgaptmp_001518;Parent=gene-pgaptmp_001518;Note=internal stop;Ontology_term=GO:0005524;gbkey=CDS;go_function=ATP binding|0005524||IEA;inference=COORDINATES: similar to AA sequence:RefSeq:WP_011673957.1;locus_tag=pgaptmp_001518;product=ATP-binding cassette domain-containing protein;pseudo=true;transl_table=11	ATP-binding cassette domain-containing protein	543734.LCABL_00570	0	987	COG1132@1|root,COG1132@2|Bacteria,1TSRV@1239|Firmicutes,4HCIZ@91061|Bacilli,3F46B@33958|Lactobacillaceae	91061|Bacilli	V	ABC-type multidrug transport system, ATPase and permease components				ko:K06147,ko:K06148					ko00000,ko02000	3.A.1,3.A.1.106,3.A.1.109,3.A.1.21			ABC_membrane,ABC_tran	ll11825	ABC	binding	lipid A	3.A.1		
pgaptmp_001519	contig52	Protein Homology	CDS	2737	4110		-	0	ID=cds-pgaptmp_001519;Parent=gene-pgaptmp_001519;Name=extdb:pgaptmp_001519;Ontology_term=GO:0055085,GO:0022857;gbkey=CDS;go_function=transmembrane transporter activity|0022857||IEA;go_process=transmembrane transport|0055085||IEA;inference=COORDINATES: similar to AA sequence:RefSeq:WP_003572925.1;locus_tag=pgaptmp_001519;product=MFS transporter;protein_id=extdb:pgaptmp_001519;transl_table=11	MFS transporter	543734.LCABL_00580	4.42E-305	837	COG0477@1|root,COG2814@2|Bacteria,1UYQB@1239|Firmicutes,4HE3Y@91061|Bacilli,3F3NG@33958|Lactobacillaceae	91061|Bacilli	EGP	Major Facilitator													MFS_1	ll11825	MFS		multidrug efflux (EmrB/QacA subfamily)	2.A.1		
pgaptmp_001520	contig52	Protein Homology	CDS	4288	4611		-	0	ID=cds-pgaptmp_001520;Parent=gene-pgaptmp_001520;Name=extdb:pgaptmp_001520;gbkey=CDS;inference=COORDINATES: similar to AA sequence:RefSeq:WP_013245322.1;locus_tag=pgaptmp_001520;product=hypothetical protein;protein_id=extdb:pgaptmp_001520;transl_table=11	hypothetical protein	543734.LCABL_00590	2.24E-66	202	COG1476@1|root,COG1476@2|Bacteria,1W30D@1239|Firmicutes,4I0AB@91061|Bacilli,3F8T4@33958|Lactobacillaceae	91061|Bacilli	K	TRANSCRIPTIONal																				
pgaptmp_001521	contig52	Protein Homology	CDS	4792	8103		-	0	ID=cds-pgaptmp_001521;Parent=gene-pgaptmp_001521;Name=extdb:pgaptmp_001521;Ontology_term=GO:0016020;gbkey=CDS;go_component=membrane|0016020||IEA;inference=COORDINATES: similar to AA sequence:RefSeq:WP_016369801.1;locus_tag=pgaptmp_001521;product=MMPL family transporter;protein_id=extdb:pgaptmp_001521;transl_table=11	MMPL family transporter	543734.LCABL_00600	0	1432	COG1511@1|root,COG2409@1|root,COG1511@2|Bacteria,COG2409@2|Bacteria,1TQ7C@1239|Firmicutes,4HBM6@91061|Bacilli,3FCCY@33958|Lactobacillaceae	91061|Bacilli	S	MMPL family	ydgH			ko:K06994					ko00000				MMPL	ll11825	RND	HAE2	multidrug/solvent efflux (MmpL homolog/HAE2 subfamily)	2.A.6	K06994	K06994; putative drug exporter of the RND superfamily
pgaptmp_001522	contig52	Protein Homology	CDS	8100	8702		-	0	ID=cds-pgaptmp_001522;Parent=gene-pgaptmp_001522;Name=extdb:pgaptmp_001522;Ontology_term=GO:0006355,GO:0003677,GO:0003700;gbkey=CDS;go_function=DNA binding|0003677||IEA,DNA-binding transcription factor activity|0003700||IEA;go_process=regulation of DNA-templated transcription|0006355||IEA;inference=COORDINATES: similar to AA sequence:RefSeq:WP_003572929.1;locus_tag=pgaptmp_001522;product=TetR/AcrR family transcriptional regulator;protein_id=extdb:pgaptmp_001522;transl_table=11	TetR/AcrR family transcriptional regulator	543734.LCABL_00610	5.52E-139	393	COG1309@1|root,COG1309@2|Bacteria,1V95E@1239|Firmicutes,4HH9M@91061|Bacilli,3F6ZH@33958|Lactobacillaceae	91061|Bacilli	K	Tetracycline repressor, C-terminal all-alpha domain				ko:K22106					ko00000,ko03000				TetR_C_10,TetR_N							
pgaptmp_001523	contig52	Protein Homology	CDS	8953	9213		-	0	ID=cds-pgaptmp_001523;Parent=gene-pgaptmp_001523;Name=extdb:pgaptmp_001523;gbkey=CDS;inference=COORDINATES: similar to AA sequence:RefSeq:WP_003572931.1;locus_tag=pgaptmp_001523;product=hypothetical protein;protein_id=extdb:pgaptmp_001523;transl_table=11	hypothetical protein																											
pgaptmp_001524	contig52	Protein Homology	CDS	9427	10089		-	0	ID=cds-pgaptmp_001524;Parent=gene-pgaptmp_001524;Name=extdb:pgaptmp_001524;Ontology_term=GO:0055085,GO:0042626,GO:0140359,GO:0016020;gbkey=CDS;go_component=membrane|0016020||IEA;go_function=ATPase-coupled transmembrane transporter activity|0042626||IEA,ABC-type transporter activity|0140359||IEA;go_process=transmembrane transport|0055085||IEA;inference=COORDINATES: similar to AA sequence:RefSeq:WP_003562592.1;locus_tag=pgaptmp_001524;product=ABC transporter permease;protein_id=extdb:pgaptmp_001524;transl_table=11	ABC transporter permease	543734.LCABL_00630	1.13E-141	401	COG1174@1|root,COG1174@2|Bacteria,1TQ5C@1239|Firmicutes,4HAVM@91061|Bacilli,3F51B@33958|Lactobacillaceae	91061|Bacilli	P	Binding-protein-dependent transport system inner membrane component	opuCD	GO:0003674,GO:0005215,GO:0005575,GO:0005623,GO:0005886,GO:0006810,GO:0006811,GO:0006812,GO:0008150,GO:0015695,GO:0015696,GO:0015697,GO:0015838,GO:0016020,GO:0031460,GO:0044464,GO:0051179,GO:0051234,GO:0071702,GO:0071705,GO:0071944,GO:0072337		ko:K05846	ko02010,map02010	M00209			ko00000,ko00001,ko00002,ko02000	3.A.1.12		iYO844.BSU33800	BPD_transp_1	ll11825	ABC	membrane	glycine betaine/L-proline/carnitine/choline	3.A.1	K05846	opuBD; osmoprotectant transport system permease protein
pgaptmp_001525	contig52	Protein Homology	CDS	10089	11018		-	0	ID=cds-pgaptmp_001525;Parent=gene-pgaptmp_001525;Name=extdb:pgaptmp_001525;gbkey=CDS;inference=COORDINATES: similar to AA sequence:RefSeq:WP_003562594.1;locus_tag=pgaptmp_001525;product=osmoprotectant ABC transporter substrate-binding protein;protein_id=extdb:pgaptmp_001525;transl_table=11	osmoprotectant ABC transporter substrate-binding protein	543734.LCABL_00640	3.4E-220	607	COG1732@1|root,COG1732@2|Bacteria,1TQ7D@1239|Firmicutes,4HARV@91061|Bacilli,3F420@33958|Lactobacillaceae	91061|Bacilli	M	Periplasmic glycine betaine choline-binding (lipo)protein of an ABC-type transport system (osmoprotectant binding protein)	opuCC	GO:0003674,GO:0005215,GO:0005575,GO:0005623,GO:0005886,GO:0006810,GO:0006811,GO:0006812,GO:0008150,GO:0015695,GO:0015696,GO:0015697,GO:0015838,GO:0016020,GO:0031460,GO:0044464,GO:0051179,GO:0051234,GO:0071702,GO:0071705,GO:0071944,GO:0072337		ko:K05845	ko02010,map02010	M00209			ko00000,ko00001,ko00002,ko02000	3.A.1.12		iSB619.SA_RS12835	OpuAC	ll11825	ABC	binding	glycine betaine	3.A.1	K05845	opuC; osmoprotectant transport system substrate-binding protein
