-e target_id	length	eff_length	Monoculture_Bi_animalis_lactis_PT33_Early_Replicate_1_HGF2_counts	tpm
RCHGF000001	708	487.409	0	0
RCHGF000002	762	541.409	0	0
RCHGF000003	780	559.409	0	0
RCHGF000004	882	661.409	0	0
RCHGF000005	903	682.409	0	0
RCHGF000006	1215	994.409	0	0
RCHGF000007	855	634.409	0	0
RCHGF000008	561	340.409	0	0
RCHGF000009	522	301.409	0	0
RCHGF000010	447	226.409	0	0
RCHGF000011	714	493.409	0	0
RCHGF000012	1449	1228.41	0	0
RCHGF000013	144	4	0	0
RCHGF000014	639	418.409	0	0
RCHGF000015	480	259.409	0	0
RCHGF000016	744	523.409	0	0
RCHGF000017	849	628.409	0	0
RCHGF000018	387	175.429	0	0
RCHGF000020	519	298.409	0	0
RCHGF000021	156	13.5	0	0
RCHGF000022	918	697.409	0	0
RCHGF000023	1470	1249.41	0	0
RCHGF000024	948	727.409	0	0
RCHGF000025	2820	2599.41	0	0
RCHGF000026	528	307.409	0	0
RCHGF000027	480	259.409	0	0
RCHGF000028	747	526.409	0	0
RCHGF000029	852	631.409	0	0
RCHGF000030	852	631.409	0	0
RCHGF000031	2136	1915.41	0	0
RCHGF000032	114	115	0	0
RCHGF000033	1155	934.409	0	0
RCHGF000034	2412	2191.41	0	0
RCHGF000035	642	421.409	0	0
RCHGF000036	945	724.409	0	0
RCHGF000037	399	187.429	0	0
RCHGF000038	1875	1654.41	0	0
RCHGF000039	699	478.409	0	0
RCHGF000040	2544	2323.41	0	0
RCHGF000041	1098	877.409	0	0
RCHGF000042	2586	2365.41	0	0
RCHGF000043	3450	3229.41	0	0
RCHGF000044	390	178.429	0	0
RCHGF000045	834	613.409	0	0
RCHGF000046	816	595.409	0	0
RCHGF000047	1971	1750.41	0	0
RCHGF000048	813	592.409	0	0
RCHGF000049	1026	805.409	0	0
RCHGF000050	1857	1636.41	0	0
RCHGF000051	1692	1471.41	0	0
RCHGF000052	126	127	0	0
RCHGF000053	165	22.5	0	0
RCHGF000054	135	136	0	0
RCHGF000055	447	226.409	0	0
RCHGF000056	126	127	0	0
RCHGF000057	408	196.429	0	0
RCHGF000058	639	418.409	0	0
RCHGF000059	933	712.409	0	0
RCHGF000060	675	454.409	0	0
RCHGF000061	744	523.409	0	0
RCHGF000062	1182	961.409	0	0
RCHGF000063	1974	1753.41	0	0
RCHGF000064	1479	1258.41	0	0
RCHGF000065	900	679.409	0	0
RCHGF000066	687	466.409	0	0
RCHGF000067	1395	1174.41	0	0
RCHGF000068	894	673.409	0	0
RCHGF000069	687	466.409	0	0
RCHGF000070	873	652.409	0	0
RCHGF000071	363	151.429	0	0
RCHGF000072	117	118	0	0
RCHGF000073	861	640.409	0	0
RCHGF000074	732	511.409	0	0
RCHGF000075	207	32.1667	0	0
RCHGF000076	276	78.6111	0	0
RCHGF000077	288	86.4211	0	0
RCHGF000078	1566	1345.41	0	0
RCHGF000079	288	86.4211	0	0
RCHGF000080	459	238.409	0	0
RCHGF000081	450	229.409	0	0
RCHGF000082	411	190.409	0	0
RCHGF000083	369	157.429	0	0
RCHGF000084	1497	1276.41	0	0
RCHGF000085	726	505.409	0	0
RCHGF000086	585	364.409	0	0
RCHGF000087	1785	1564.41	0	0
RCHGF000088	1746	1525.41	0	0
RCHGF000089	615	394.409	0	0
RCHGF000090	354	142.429	0	0
RCHGF000091	1878	1657.41	0	0
RCHGF000092	1446	1225.41	0	0
RCHGF000093	513	292.409	0	0
RCHGF000094	672	451.409	0	0
RCHGF000095	1434	1213.41	0	0
RCHGF000096	987	766.409	0	0
RCHGF000097	1050	829.409	0	0
RCHGF000098	1203	982.409	0	0
RCHGF000099	1329	1108.41	0	0
RCHGF000100	207	32.1667	0	0
RCHGF000101	765	544.409	0	0
RCHGF000102	1164	943.409	0	0
RCHGF000103	1707	1486.41	0	0
RCHGF000104	1047	826.409	0	0
RCHGF000105	2346	2125.41	0	0
RCHGF000106	753	532.409	0	0
RCHGF000107	195	31.75	0	0
RCHGF000108	195	31.75	0	0
RCHGF000109	666	445.409	0	0
RCHGF000110	1152	931.409	0	0
RCHGF000111	1008	787.409	0	0
RCHGF000112	996	775.409	0	0
RCHGF000113	828	607.409	0	0
RCHGF000114	798	577.409	0	0
RCHGF000115	474	253.409	0	0
RCHGF000116	417	196.409	0	0
RCHGF000117	819	598.409	0	0
RCHGF000118	2754	2533.41	0	0
RCHGF000119	981	760.409	0	0
RCHGF000121	474	253.409	0	0
RCHGF000122	912	691.409	0	0
RCHGF000123	1251	1030.41	0	0
RCHGF000124	492	271.409	0	0
RCHGF000125	672	451.409	0	0
RCHGF000126	375	163.429	0	0
RCHGF000127	1632	1411.41	0	0
RCHGF000128	333	121.429	0	0
RCHGF000129	1206	985.409	0	0
RCHGF000130	1470	1249.41	0	0
RCHGF000131	987	766.409	0	0
RCHGF000132	900	679.409	0	0
RCHGF000133	657	436.409	0	0
RCHGF000134	2331	2110.41	0	0
RCHGF000135	1776	1555.41	0	0
RCHGF000136	120	121	0	0
RCHGF000137	597	376.409	0	0
RCHGF000138	1125	904.409	0	0
RCHGF000139	978	757.409	0	0
RCHGF000140	489	268.409	0	0
RCHGF000141	1188	967.409	0	0
RCHGF000142	135	136	0	0
RCHGF000143	174	31.5	0	0
RCHGF000144	735	514.409	0	0
RCHGF000145	702	481.409	0	0
RCHGF000146	777	556.409	0	0
RCHGF000147	243	59.7333	0	0
RCHGF000148	399	187.429	0	0
RCHGF000149	750	529.409	0	0
RCHGF000151	2724	2503.41	0	0
RCHGF000152	729	508.409	0	0
RCHGF000153	444	223.409	0	0
RCHGF000154	765	544.409	0	0
RCHGF000155	1194	973.409	0	0
RCHGF000156	909	688.409	0	0
RCHGF000157	744	523.409	0	0
RCHGF000158	555	334.409	0	0
RCHGF000159	1041	820.409	0	0
RCHGF000160	927	706.409	0	0
RCHGF000161	1488	1267.41	0	0
RCHGF000162	1671	1450.41	0	0
RCHGF000163	1053	832.409	0	0
RCHGF000165	1038	817.409	0	0
RCHGF000166	2400	2179.41	0	0
RCHGF000167	120	121	0	0
RCHGF000168	873	652.409	0	0
RCHGF000169	1836	1615.41	0	0
RCHGF000170	552	331.409	0	0
RCHGF000171	1230	1009.41	0	0
RCHGF000172	558	337.409	0	0
RCHGF000173	468	247.409	0	0
RCHGF000174	150	10	0	0
RCHGF000175	1656	1435.41	0	0
RCHGF000176	873	652.409	1	60242.8
RCHGF000177	390	178.429	0	0
RCHGF000178	876	655.409	0	0
RCHGF000179	996	775.409	0	0
RCHGF000180	120	121	0	0
RCHGF000181	813	592.409	0	0
RCHGF000182	786	565.409	0	0
RCHGF000183	1230	1009.41	2	77873.1
RCHGF000184	447	226.409	0	0
RCHGF000185	1398	1177.41	0	0
RCHGF000186	525	304.409	0	0
RCHGF000187	741	520.409	0	0
RCHGF000188	456	235.409	0	0
RCHGF000189	1380	1159.41	0	0
RCHGF000190	1140	919.409	0	0
RCHGF000191	1401	1180.41	0	0
RCHGF000192	624	403.409	0	0
RCHGF000193	1539	1318.41	0	0
RCHGF000194	1209	988.409	0	0
RCHGF000195	897	676.409	0	0
RCHGF000196	1458	1237.41	0	0
RCHGF000197	969	748.409	0	0
RCHGF000198	1287	1066.41	0	0
RCHGF000199	1242	1021.41	0	0
RCHGF000200	1446	1225.41	0	0
RCHGF000201	1185	964.409	0	0
RCHGF000202	162	19.5	0	0
RCHGF000203	582	361.409	0	0
RCHGF000204	1209	988.409	0	0
RCHGF000205	720	499.409	0	0
RCHGF000206	1503	1282.41	0	0
RCHGF000207	1101	880.409	0	0
RCHGF000208	1332	1111.41	0	0
RCHGF000209	2175	1954.41	0	0
RCHGF000210	1710	1489.41	0	0
RCHGF000212	1578	1357.41	0	0
RCHGF000213	1425	1204.41	0	0
RCHGF000214	315	103.429	0	0
RCHGF000215	435	214.409	0	0
RCHGF000216	723	502.409	0	0
RCHGF000217	111	112	0	0
RCHGF000218	651	430.409	0	0
RCHGF000219	1050	829.409	0	0
RCHGF000220	132	133	0	0
RCHGF000221	726	505.409	0	0
RCHGF000222	1038	817.409	0	0
RCHGF000223	1254	1033.41	0	0
RCHGF000224	654	433.409	0	0
RCHGF000225	522	301.409	0	0
RCHGF000226	1080	859.409	0	0
RCHGF000227	282	80.4211	0	0
RCHGF000228	1026	805.409	0	0
RCHGF000229	336	124.429	0	0
RCHGF000230	711	490.409	0	0
RCHGF000231	678	457.409	0	0
RCHGF000232	456	235.409	0	0
RCHGF000233	534	313.409	0	0
RCHGF000234	645	424.409	0	0
RCHGF000235	3291	3070.41	0	0
RCHGF000236	552	331.409	0	0
RCHGF000237	2649	2428.41	0	0
RCHGF000238	321	109.429	0	0
RCHGF000240	942	721.409	0	0
RCHGF000241	588	367.409	0	0
RCHGF000242	459	238.409	0	0
RCHGF000243	1050	829.409	0	0
RCHGF000244	1551	1330.41	0	0
RCHGF000245	783	562.409	0	0
RCHGF000246	1434	1213.41	0	0
RCHGF000247	1656	1435.41	0	0
RCHGF000248	2358	2137.41	0	0
RCHGF000249	1101	880.409	0	0
RCHGF000250	1539	1318.41	0	0
RCHGF000251	1095	874.409	0	0
RCHGF000252	951	730.409	0	0
RCHGF000253	1254	1033.41	0	0
RCHGF000254	1281	1060.41	0	0
RCHGF000255	426	205.409	0	0
RCHGF000256	600	379.409	0	0
RCHGF000257	1752	1531.41	0	0
RCHGF000258	1128	907.409	0	0
RCHGF000259	1206	985.409	0	0
RCHGF000260	168	25.5	0	0
RCHGF000261	540	319.409	0	0
RCHGF000262	816	595.409	0	0
RCHGF000263	1410	1189.41	0	0
RCHGF000264	978	757.409	0	0
RCHGF000265	225	45.2857	0	0
RCHGF000266	207	32.1667	0	0
RCHGF000267	150	10	0	0
RCHGF000268	213	33.2857	0	0
RCHGF000269	759	538.409	0	0
RCHGF000270	939	718.409	0	0
