-e target_id	length	eff_length	Monoculture_Clostridium_HGF2_Late_Replicate_3_HGF2_counts	tpm
RCHGF000001	708	432.897	893	51.1569
RCHGF000002	762	486.63	1090	55.5475
RCHGF000003	780	504.545	2198	108.035
RCHGF000004	882	606.475	1695	69.3097
RCHGF000005	903	627.475	619	24.4642
RCHGF000006	1215	939.462	709	18.7156
RCHGF000007	855	579.481	855	36.5901
RCHGF000008	561	290.322	338	28.8718
RCHGF000009	522	254.15	341	33.2737
RCHGF000010	447	188.396	113	14.8746
RCHGF000011	714	438.866	281	15.8786
RCHGF000012	1449	1173.46	1041	21.9998
RCHGF000013	144	17.8758	51	70.7526
RCHGF000014	639	365.089	74	5.02654
RCHGF000015	480	216.387	10	1.14605
RCHGF000016	744	468.663	42	2.22242
RCHGF000017	849	573.481	64	2.76757
RCHGF000018	387	140.904	5	0.880003
RCHGF000020	519	251.391	94	9.27289
RCHGF000021	156	20.7604	92	109.898
RCHGF000022	918	642.475	8705	336.008
RCHGF000023	1470	1194.46	3093	64.2162
RCHGF000024	948	672.462	4575	168.718
RCHGF000025	2820	2544.46	8370	81.5768
RCHGF000026	528	259.651	208	19.866
RCHGF000027	480	216.387	92	10.5437
RCHGF000028	747	471.63	241	12.6722
RCHGF000029	852	576.481	3236	139.207
RCHGF000030	852	576.481	3279	141.057
RCHGF000031	2136	1860.46	3889	51.8387
RCHGF000032	114	11.8869	50	104.313
RCHGF000033	1155	879.462	569	16.0447
RCHGF000034	2412	2136.46	27513	319.359
RCHGF000035	642	367.961	74	4.98732
RCHGF000036	945	669.462	2642	97.8688
RCHGF000037	399	149.948	996	164.723
RCHGF000038	1875	1599.46	644	9.98502
RCHGF000039	699	423.948	348	20.3565
RCHGF000040	2544	2268.46	7193	78.6349
RCHGF000041	1098	822.462	1117	33.6802
RCHGF000042	2586	2310.46	2827	30.3434
RCHGF000043	3450	3174.46	14430	112.728
RCHGF000044	390	143.063	296	51.3099
RCHGF000045	834	558.481	1693	75.1771
RCHGF000046	816	540.509	402	18.4442
RCHGF000047	1971	1695.46	16212	237.13
RCHGF000048	813	537.519	22602	1042.77
RCHGF000049	1026	750.462	1786	59.0187
RCHGF000050	1857	1581.46	2018	31.6446
RCHGF000051	1692	1416.46	2547	44.5924
RCHGF000052	126	13.9039	1	1.78361
RCHGF000053	165	23.1808	13	13.9076
RCHGF000054	135	15.7376	4065	6405.59
RCHGF000055	447	188.396	389	51.2054
RCHGF000056	126	13.9039	1	1.78361
RCHGF000057	408	156.946	265	41.8728
RCHGF000058	639	365.089	1062	72.1377
RCHGF000059	933	657.475	939	35.4179
RCHGF000060	675	400.385	311	19.2628
RCHGF000061	744	468.663	102	5.3973
RCHGF000062	1182	906.462	3889	106.396
RCHGF000063	1974	1698.46	6111	89.2264
RCHGF000064	1479	1203.46	1365	28.1279
RCHGF000065	900	624.475	1309	51.983
RCHGF000066	687	412.069	1051	63.2514
RCHGF000067	1395	1119.46	1263	27.9789
RCHGF000068	894	618.475	698	27.9879
RCHGF000069	687	412.069	838	50.4326
RCHGF000070	873	597.475	1230	51.0531
RCHGF000071	363	123.709	65	13.0301
RCHGF000072	117	12.4744	9	17.8921
RCHGF000073	861	585.475	115	4.87109
RCHGF000074	732	456.75	69	3.74634
RCHGF000075	207	38.6764	42	26.9303
RCHGF000076	276	69.6018	3079	1097.05
RCHGF000077	288	76.3391	2561	831.954
RCHGF000078	1566	1290.46	523	10.0506
RCHGF000079	288	76.3391	31	10.0705
RCHGF000080	459	198.287	49	6.12829
RCHGF000081	450	190.943	72	9.35116
RCHGF000082	411	159.19	165	25.7042
RCHGF000083	369	127.861	87	16.874
RCHGF000084	1497	1221.46	264	5.35995
RCHGF000085	726	450.791	87	4.78609
RCHGF000086	585	312.764	69	5.47103
RCHGF000087	1785	1509.46	262	4.30444
RCHGF000088	1746	1470.46	193	3.25492
RCHGF000089	615	341.674	368	26.7099
RCHGF000090	354	117.555	95	20.0409
RCHGF000091	1878	1602.46	1150	17.797
RCHGF000092	1446	1170.46	2836	60.0878
RCHGF000093	513	245.938	8628	870.003
RCHGF000094	672	397.44	94	5.86534
RCHGF000095	1434	1158.46	281	6.01536
RCHGF000096	987	711.462	120	4.1828
RCHGF000097	1050	774.462	111	3.55435
RCHGF000098	1203	927.462	97	2.59366
RCHGF000099	1329	1053.46	160	3.7665
RCHGF000100	207	38.6764	4	2.56479
RCHGF000101	765	489.63	454	22.9946
RCHGF000102	1164	888.462	324	9.04364
RCHGF000103	1707	1431.46	10229	177.211
RCHGF000104	1047	771.462	4537	145.845
RCHGF000105	2346	2070.46	6423	76.9321
RCHGF000106	753	477.63	52113	2705.78
RCHGF000107	195	33.9427	12471	9111.55
RCHGF000108	195	33.9427	1524	1113.46
RCHGF000109	666	391.57	183	11.5899
RCHGF000110	1152	876.462	76	2.15039
RCHGF000111	1008	732.462	6257	211.845
RCHGF000112	996	720.462	61	2.09969
RCHGF000113	828	552.509	121	5.43104
RCHGF000114	798	522.519	65	3.08495
RCHGF000115	474	211.168	157	18.4378
RCHGF000116	417	163.873	77	11.6525
RCHGF000117	819	543.509	83	3.78712
RCHGF000118	2754	2478.46	677	6.77397
RCHGF000119	981	705.462	179	6.2924
RCHGF000121	474	211.168	95	11.1566
RCHGF000122	912	636.475	715	27.8588
RCHGF000123	1251	975.462	1921	48.8376
RCHGF000124	492	226.871	896	97.9412
RCHGF000125	672	397.44	364	22.7126
RCHGF000126	375	132.264	129	24.1871
RCHGF000127	1632	1356.46	1714	31.3358
RCHGF000128	333	103.611	67	16.0364
RCHGF000129	1206	930.462	321	8.55546
RCHGF000130	1470	1194.46	688	14.2841
RCHGF000131	987	711.462	363	12.653
RCHGF000132	900	624.475	617	24.5023
RCHGF000133	657	382.695	1159	75.1048
RCHGF000134	2331	2055.46	2701	32.5876
RCHGF000135	1776	1500.46	2577	42.5919
RCHGF000136	120	12.9742	345	659.441
RCHGF000137	597	324.406	681	52.059
RCHGF000138	1125	849.462	3254	94.9972
RCHGF000139	978	702.462	11512	406.411
RCHGF000140	489	224.247	7056	780.311
RCHGF000141	1188	912.462	3533	96.0209
RCHGF000142	135	15.7376	16	25.2127
RCHGF000143	174	26.0868	465	442.048
RCHGF000144	735	459.69	1392	75.095
RCHGF000145	702	426.927	722	41.9393
RCHGF000146	777	501.555	411	20.3217
RCHGF000147	243	53.2906	4577	2129.94
RCHGF000148	399	149.948	13221	2186.56
RCHGF000149	750	474.63	1465	76.5455
RCHGF000151	2724	2448.46	4883	49.4573
RCHGF000152	729	453.791	290	15.8482
RCHGF000153	444	186.018	506	67.458
RCHGF000154	765	489.63	30	1.51946
RCHGF000155	1194	918.462	80	2.16006
RCHGF000156	909	633.475	90	3.5233
RCHGF000157	744	468.663	63	3.33363
RCHGF000158	555	284.689	35	3.04884
RCHGF000159	1041	765.462	194	6.28514
RCHGF000160	927	651.475	208	7.91776
RCHGF000161	1488	1212.46	102	2.08626
RCHGF000162	1671	1395.46	613	10.8938
RCHGF000163	1053	777.462	516	16.4592
RCHGF000165	1038	762.462	844	27.4512
RCHGF000166	2400	2124.46	3947	46.0739
RCHGF000167	120	12.9742	37	70.7227
RCHGF000168	873	597.475	2188	90.8165
RCHGF000169	1836	1560.46	11672	185.494
RCHGF000170	552	281.841	4134	363.75
RCHGF000171	1230	954.462	1604	41.6757
RCHGF000172	558	287.518	453	39.0724
RCHGF000173	468	205.971	555	66.8228
RCHGF000174	150	19.3094	180	231.175
RCHGF000175	1656	1380.46	2457	44.1385
RCHGF000176	873	597.475	1530	63.5051
RCHGF000177	390	143.063	1842	319.3
RCHGF000178	876	600.475	13814	570.508
RCHGF000179	996	720.462	7301	251.309
RCHGF000180	120	12.9742	9	17.2028
RCHGF000181	813	537.519	1312	60.5308
RCHGF000182	786	510.53	10107	490.951
RCHGF000183	1230	954.462	16606	431.463
RCHGF000184	447	188.396	2225	292.884
