locus_tag	source_pgap	type_pgap	start_pgap	end_pgap	score_pgap	strand_pgap	phase_pgap	attributes_pgap	product_pgap	seed_ortholog_eggnog	evalue_eggnog	score_eggnog	eggNOG_OGs_eggnog	max_annot_lvl_eggnog	COG_category_eggnog	Description_eggnog	Preferred_name_eggnog	GOs_eggnog	EC_eggnog	KEGG_ko_eggnog	KEGG_Pathway_eggnog	KEGG_Module_eggnog	KEGG_Reaction_eggnog	KEGG_rclass_eggnog	BRITE_eggnog	KEGG_TC_eggnog	CAZy_eggnog	BiGG_Reaction_eggnog	PFAMs_eggnog	GenomeID_transapp	FID_transapp	Subfamily_transapp	Substrate/Function_transapp	ID_tcdb_org_transapp	KO_blastkoala	KO_definition_blastkoala
pgaptmp_000001	Protein Homology	CDS	1	442		+	1	ID=cds-pgaptmp_000001;Parent=gene-pgaptmp_000001;Name=extdb:pgaptmp_000001;gbkey=CDS;inference=COORDINATES: similar to AA sequence:RefSeq:WP_002569871.1;locus_tag=pgaptmp_000001;partial=true;product=group II intron maturase-specific domain-containing protein;protein_id=extdb:pgaptmp_000001;start_range=.,1;transl_table=11	group II intron maturase-specific domain-containing protein	742741.HMPREF9475_04169	3.93E-101	303	COG3344@1|root,COG3344@2|Bacteria,1TP9A@1239|Firmicutes,248M4@186801|Clostridia,21XPZ@1506553|Lachnoclostridium	186801|Clostridia	L	COG COG3344 Retron-type reverse transcriptase													GIIM,RVT_1							
pgaptmp_000002	Protein Homology	CDS	637	1392		+	0	ID=cds-pgaptmp_000002;Parent=gene-pgaptmp_000002;Note=incomplete%3B partial in the middle of a contig%3B missing N-terminus;Ontology_term=GO:0005215,GO:0005524,GO:0016887,GO:0016020;gbkey=CDS;go_component=membrane|0016020||IEA;go_function=transporter activity|0005215||IEA,ATP binding|0005524||IEA,ATP hydrolysis activity|0016887||IEA;inference=COORDINATES: similar to AA sequence:RefSeq:WP_003503852.1;locus_tag=pgaptmp_000002;product=HAD-IC family P-type ATPase;pseudo=true;transl_table=11	HAD-IC family P-type ATPase	742741.HMPREF9475_00002	2.43E-163	459	COG2217@1|root,COG2217@2|Bacteria,1TQ07@1239|Firmicutes,248EH@186801|Clostridia,21Y2T@1506553|Lachnoclostridium	186801|Clostridia	P	Psort location CytoplasmicMembrane, score	cadA		3.6.3.3,3.6.3.5	ko:K01534					ko00000,ko01000	3.A.3.6			E1-E2_ATPase,HMA,Hydrolase	cc11824	P-ATPase		zinc/cadmium/cobalt ion	3.A.3		
pgaptmp_000003	Protein Homology	CDS	1422	1796		+	0	ID=cds-pgaptmp_000003;Parent=gene-pgaptmp_000003;Name=extdb:pgaptmp_000003;Ontology_term=GO:0006355,GO:0003677,GO:0003700;gbkey=CDS;go_function=DNA binding|0003677||IEA,DNA-binding transcription factor activity|0003700||IEA;go_process=regulation of DNA-templated transcription|0006355||IEA;inference=COORDINATES: similar to AA sequence:RefSeq:WP_003503854.1;locus_tag=pgaptmp_000003;product=ArsR/SmtB family transcription factor;protein_id=extdb:pgaptmp_000003;transl_table=11	ArsR/SmtB family transcription factor	742741.HMPREF9475_00003	1.12E-83	247	COG0640@1|root,COG0640@2|Bacteria	2|Bacteria	K	DNA-binding transcription factor activity													HTH_5						K21903	cadC, smtB; ArsR family transcriptional regulator, lead/cadmium/zinc/bismuth-responsive transcriptional repressor
pgaptmp_000004	Protein Homology	CDS	1898	5650		-	0	ID=cds-pgaptmp_000004;Parent=gene-pgaptmp_000004;Name=extdb:pgaptmp_000004;gbkey=CDS;inference=COORDINATES: similar to AA sequence:RefSeq:WP_003503857.1;locus_tag=pgaptmp_000004;product=diguanylate cyclase domain-containing protein;protein_id=extdb:pgaptmp_000004;transl_table=11	diguanylate cyclase domain-containing protein	742741.HMPREF9475_00004	0	2519	COG2199@1|root,COG2203@1|root,COG3437@1|root,COG2199@2|Bacteria,COG2203@2|Bacteria,COG3437@2|Bacteria,1UQJH@1239|Firmicutes,248UM@186801|Clostridia,21XMG@1506553|Lachnoclostridium	186801|Clostridia	T	HD domain				ko:K07814					ko00000,ko02022				GGDEF,HD,PAS_3,Response_reg							
pgaptmp_000005	Protein Homology	CDS	5667	6284		-	0	ID=cds-pgaptmp_000005;Parent=gene-pgaptmp_000005;Name=extdb:pgaptmp_000005;Ontology_term=GO:1902600,GO:0046961;gbkey=CDS;go_function=proton-transporting ATPase activity%2C rotational mechanism|0046961||IEA;go_process=proton transmembrane transport|1902600||IEA;inference=COORDINATES: similar to AA sequence:RefSeq:WP_003503859.1;locus_tag=pgaptmp_000005;product=V-type ATP synthase subunit D;protein_id=extdb:pgaptmp_000005;transl_table=11	V-type ATP synthase subunit D	742741.HMPREF9475_00005	1.57E-136	387	COG1394@1|root,COG1394@2|Bacteria,1TQ4P@1239|Firmicutes,24Z7J@186801|Clostridia,21Y30@1506553|Lachnoclostridium	186801|Clostridia	C	Produces ATP from ADP in the presence of a proton gradient across the membrane	atpD			ko:K02120	ko00190,ko01100,map00190,map01100	M00159			ko00000,ko00001,ko00002	3.A.2.2,3.A.2.3			ATP-synt_D	cc11824	F-ATPase		protons	3.A.2	K02120	ATPVD, ntpD, atpD; V/A-type H+/Na+-transporting ATPase subunit D
pgaptmp_000006	Protein Homology	CDS	6324	7706		-	0	ID=cds-pgaptmp_000006;Parent=gene-pgaptmp_000006;Name=extdb:pgaptmp_000006;gbkey=CDS;inference=COORDINATES: similar to AA sequence:RefSeq:WP_003503861.1;locus_tag=pgaptmp_000006;product=V-type ATP synthase subunit B;protein_id=extdb:pgaptmp_000006;transl_table=11	V-type ATP synthase subunit B	742741.HMPREF9475_00006	0	913	COG1156@1|root,COG1156@2|Bacteria,1VSU1@1239|Firmicutes,2496H@186801|Clostridia,21YCU@1506553|Lachnoclostridium	186801|Clostridia	C	Produces ATP from ADP in the presence of a proton gradient across the membrane. The V-type beta chain is a regulatory subunit	ntpB			ko:K02118	ko00190,ko01100,map00190,map01100	M00159			ko00000,ko00001,ko00002	3.A.2.2,3.A.2.3			ATP-synt_ab,ATP-synt_ab_N	cc11824	F-ATPase		protons	3.A.2	K02118	ATPVB, ntpB, atpB; V/A-type H+/Na+-transporting ATPase subunit B
pgaptmp_000007	Protein Homology	CDS	7722	9488		-	0	ID=cds-pgaptmp_000007;Parent=gene-pgaptmp_000007;Name=extdb:pgaptmp_000007;gbkey=CDS;inference=COORDINATES: similar to AA sequence:RefSeq:WP_008720832.1;locus_tag=pgaptmp_000007;product=V-type ATP synthase subunit A;protein_id=extdb:pgaptmp_000007;transl_table=11	V-type ATP synthase subunit A	742741.HMPREF9475_00007	0	1176	COG1155@1|root,COG1155@2|Bacteria,1TPGS@1239|Firmicutes,24882@186801|Clostridia,21YS1@1506553|Lachnoclostridium	186801|Clostridia	C	Produces ATP from ADP in the presence of a proton gradient across the membrane. The V-type alpha chain is a catalytic subunit	ntpA		3.6.3.14,3.6.3.15	ko:K02117	ko00190,ko01100,map00190,map01100	M00159			ko00000,ko00001,ko00002,ko01000	3.A.2.2,3.A.2.3			ATP-synt_ab,ATP-synt_ab_N,ATP-synt_ab_Xtn	cc11824	F-ATPase		protons	3.A.2	K02117	ATPVA, ntpA, atpA; V/A-type H+/Na+-transporting ATPase subunit A [EC:7.1.2.2 7.2.2.1]
pgaptmp_000008	Protein Homology	CDS	9490	10071		-	0	ID=cds-pgaptmp_000008;Parent=gene-pgaptmp_000008;Name=extdb:pgaptmp_000008;gbkey=CDS;inference=COORDINATES: similar to AA sequence:RefSeq:WP_003503864.1;locus_tag=pgaptmp_000008;product=V-type ATP synthase subunit E;protein_id=extdb:pgaptmp_000008;transl_table=11	V-type ATP synthase subunit E	742741.HMPREF9475_00008	7.25E-127	362	COG1390@1|root,COG1390@2|Bacteria,1V7UJ@1239|Firmicutes,24ICM@186801|Clostridia,21Z0G@1506553|Lachnoclostridium	186801|Clostridia	C	Psort location Cytoplasmic, score 8.87													vATP-synt_E							
pgaptmp_000009	Protein Homology	CDS	10127	10435		-	0	ID=cds-pgaptmp_000009;Parent=gene-pgaptmp_000009;Name=extdb:pgaptmp_000009;gbkey=CDS;inference=COORDINATES: similar to AA sequence:RefSeq:WP_007719743.1;locus_tag=pgaptmp_000009;product=V-type ATP synthase subunit F;protein_id=extdb:pgaptmp_000009;transl_table=11	V-type ATP synthase subunit F	742741.HMPREF9475_00009	6.58E-68	205	COG1436@1|root,COG1436@2|Bacteria,1VEN1@1239|Firmicutes,24K2E@186801|Clostridia,220G5@1506553|Lachnoclostridium	186801|Clostridia	C	Psort location Cytoplasmic, score 8.87				ko:K02122	ko00190,ko01100,map00190,map01100	M00159			ko00000,ko00001,ko00002	3.A.2.2,3.A.2.3			ATP-synt_F						K02122	ATPVF, ntpF, atpF; V/A-type H+/Na+-transporting ATPase subunit F
pgaptmp_000010	Protein Homology	CDS	10435	10869		-	0	ID=cds-pgaptmp_000010;Parent=gene-pgaptmp_000010;Name=extdb:pgaptmp_000010;gbkey=CDS;inference=COORDINATES: similar to AA sequence:RefSeq:WP_002571093.1;locus_tag=pgaptmp_000010;product=ATP synthase subunit C;protein_id=extdb:pgaptmp_000010;transl_table=11	ATP synthase subunit C	742741.HMPREF9475_00010	5.76E-82	244	COG0636@1|root,COG0636@2|Bacteria,1VAGE@1239|Firmicutes,24RB6@186801|Clostridia,2207W@1506553|Lachnoclostridium	186801|Clostridia	C	ATP synthase subunit C				ko:K02124	ko00190,ko01100,map00190,map01100	M00159			ko00000,ko00001,ko00002	3.A.2.2,3.A.2.3			ATP-synt_C	cc11824	F-ATPase		protons	3.A.2	K02124	ATPVK, ntpK, atpK; V/A-type H+/Na+-transporting ATPase subunit K
