locus_tag	source_pgap	type_pgap	start_pgap	end_pgap	score_pgap	strand_pgap	phase_pgap	attributes_pgap	locus_tag	product_pgap	seed_ortholog_eggnog	evalue_eggnog	score_eggnog	eggNOG_OGs_eggnog	max_annot_lvl_eggnog	COG_category_eggnog	Description_eggnog	Preferred_name_eggnog	GOs_eggnog	EC_eggnog	KEGG_ko_eggnog	KEGG_Pathway_eggnog	KEGG_Module_eggnog	KEGG_Reaction_eggnog	KEGG_rclass_eggnog	BRITE_eggnog	KEGG_TC_eggnog	CAZy_eggnog	BiGG_Reaction_eggnog	PFAMs_eggnog	GenomeID_transapp	FID_transapp	Subfamily_transapp	Substrate/Function_transapp	ID_tcdb_org_transapp	KO_blastkoala	KO_definition_blastkoala
pgaptmp_002643	Protein Homology	CDS	119	1471		-	0	ID=cds-pgaptmp_002643;Parent=gene-pgaptmp_002643;Name=extdb:pgaptmp_002643;Ontology_term=GO:0006281,GO:0003684,GO:0005524;gbkey=CDS;gene=radA;go_function=damaged DNA binding|0003684||IEA,ATP binding|0005524||IEA;go_process=DNA repair|0006281||IEA;inference=COORDINATES: similar to AA sequence:RefSeq:WP_008403062.1;locus_tag=pgaptmp_002643;product=DNA repair protein RadA;protein_id=extdb:pgaptmp_002643;transl_table=11	pgaptmp_002643	DNA repair protein RadA	411489.CLOL250_02932	0	872	COG1066@1|root,COG1066@2|Bacteria,1TQ7Y@1239|Firmicutes,247TA@186801|Clostridia,36DMV@31979|Clostridiaceae	186801|Clostridia	O	DNA-dependent ATPase involved in processing of recombination intermediates, plays a role in repairing DNA breaks. Stimulates the branch migration of RecA-mediated strand transfer reactions, allowing the 3' invading strand to extend heteroduplex DNA faster. Binds ssDNA in the presence of ADP but not other nucleotides, has ATPase activity that is stimulated by ssDNA and various branched DNA structures, but inhibited by SSB. Does not have RecA's homology-searching function	radA			ko:K04485					ko00000,ko03400				AAA_25,ATPase,ChlI,Lon_C						K04485	radA, sms; DNA repair protein RadA/Sms
pgaptmp_002644	Protein Homology	CDS	1480	1896		-	0	ID=cds-pgaptmp_002644;Parent=gene-pgaptmp_002644;Name=extdb:pgaptmp_002644;gbkey=CDS;inference=COORDINATES: similar to AA sequence:RefSeq:WP_008403063.1;locus_tag=pgaptmp_002644;product=endosialidase;protein_id=extdb:pgaptmp_002644;transl_table=11	pgaptmp_002644	endosialidase	411489.CLOL250_02933	3.69E-93	272	2AU16@1|root,31JM9@2|Bacteria,1V6CJ@1239|Firmicutes,24JBF@186801|Clostridia,36MD2@31979|Clostridiaceae	186801|Clostridia	S	Psort location Cytoplasmic, score 8.87																				
pgaptmp_002645	Protein Homology	CDS	2025	4478		-	0	ID=cds-pgaptmp_002645;Parent=gene-pgaptmp_002645;Name=extdb:pgaptmp_002645;Ontology_term=GO:0005524,GO:0016887;gbkey=CDS;go_function=ATP binding|0005524||IEA,ATP hydrolysis activity|0016887||IEA;inference=COORDINATES: similar to AA sequence:RefSeq:WP_008403064.1;locus_tag=pgaptmp_002645;product=ATP-dependent Clp protease ATP-binding subunit;protein_id=extdb:pgaptmp_002645;transl_table=11	pgaptmp_002645	ATP-dependent Clp protease ATP-binding subunit	411489.CLOL250_02934	0	1528	COG0542@1|root,COG0542@2|Bacteria,1TPMU@1239|Firmicutes,247TD@186801|Clostridia,36DF4@31979|Clostridiaceae	186801|Clostridia	O	Part of a stress-induced multi-chaperone system, it is involved in the recovery of the cell from heat-induced damage, in cooperation with DnaK, DnaJ and GrpE	clpC			ko:K03696	ko01100,map01100				ko00000,ko03110				AAA,AAA_2,ClpB_D2-small,Clp_N,UVR						K03696	clpC; ATP-dependent Clp protease ATP-binding subunit ClpC
pgaptmp_002646	Protein Homology	CDS	4615	5886		-	0	ID=cds-pgaptmp_002646;Parent=gene-pgaptmp_002646;Name=extdb:pgaptmp_002646;Ontology_term=GO:0009113,GO:0004637;gbkey=CDS;gene=purD;go_function=phosphoribosylamine-glycine ligase activity|0004637||IEA;go_process=purine nucleobase biosynthetic process|0009113||IEA;inference=COORDINATES: similar to AA sequence:RefSeq:WP_008403065.1;locus_tag=pgaptmp_002646;product=phosphoribosylamine--glycine ligase;protein_id=extdb:pgaptmp_002646;transl_table=11	pgaptmp_002646	phosphoribosylamine--glycine ligase	411489.CLOL250_02935	2.77E-305	845	COG0151@1|root,COG0151@2|Bacteria,1UHN9@1239|Firmicutes,25E76@186801|Clostridia,36EPV@31979|Clostridiaceae	186801|Clostridia	F	Belongs to the GARS family	purD		6.3.4.13	ko:K01945	ko00230,ko01100,ko01110,ko01130,map00230,map01100,map01110,map01130	M00048	R04144	RC00090,RC00166	ko00000,ko00001,ko00002,ko01000				GARS_A,GARS_C,GARS_N						K01945	purD; phosphoribosylamine---glycine ligase [EC:6.3.4.13]
pgaptmp_002647	Protein Homology	CDS	5901	6527		-	0	ID=cds-pgaptmp_002647;Parent=gene-pgaptmp_002647;Name=extdb:pgaptmp_002647;Ontology_term=GO:0006189,GO:0004644;gbkey=CDS;gene=purN;go_function=phosphoribosylglycinamide formyltransferase activity|0004644||IEA;go_process='de novo' IMP biosynthetic process|0006189||IEA;inference=COORDINATES: similar to AA sequence:RefSeq:WP_008403066.1;locus_tag=pgaptmp_002647;product=phosphoribosylglycinamide formyltransferase;protein_id=extdb:pgaptmp_002647;transl_table=11	pgaptmp_002647	phosphoribosylglycinamide formyltransferase	411489.CLOL250_02936	1.29E-141	400	COG0299@1|root,COG0299@2|Bacteria,1V3RJ@1239|Firmicutes,249JC@186801|Clostridia,36I7J@31979|Clostridiaceae	186801|Clostridia	F	Catalyzes the transfer of a formyl group from 10- formyltetrahydrofolate to 5-phospho-ribosyl-glycinamide (GAR), producing 5-phospho-ribosyl-N-formylglycinamide (FGAR) and tetrahydrofolate	purN		2.1.2.2	ko:K11175	ko00230,ko00670,ko01100,ko01110,ko01130,map00230,map00670,map01100,map01110,map01130	M00048	R04325,R04326	RC00026,RC00197,RC01128	ko00000,ko00001,ko00002,ko01000			iHN637.CLJU_RS04225	Formyl_trans_N						K11175	purN; phosphoribosylglycinamide formyltransferase 1 [EC:2.1.2.2]
pgaptmp_002648	Protein Homology	CDS	6521	7546		-	0	ID=cds-pgaptmp_002648;Parent=gene-pgaptmp_002648;Name=extdb:pgaptmp_002648;Ontology_term=GO:0006189,GO:0004641;gbkey=CDS;gene=purM;go_function=phosphoribosylformylglycinamidine cyclo-ligase activity|0004641||IEA;go_process='de novo' IMP biosynthetic process|0006189||IEA;inference=COORDINATES: similar to AA sequence:RefSeq:WP_008403067.1;locus_tag=pgaptmp_002648;product=phosphoribosylformylglycinamidine cyclo-ligase;protein_id=extdb:pgaptmp_002648;transl_table=11	pgaptmp_002648	phosphoribosylformylglycinamidine cyclo-ligase	411489.CLOL250_02937	3.37E-249	683	COG0150@1|root,COG0150@2|Bacteria,1TP9J@1239|Firmicutes,248BT@186801|Clostridia,36F1W@31979|Clostridiaceae	186801|Clostridia	F	Phosphoribosylformylglycinamidine cyclo-ligase	purM		6.3.3.1	ko:K01933	ko00230,ko01100,ko01110,ko01130,map00230,map01100,map01110,map01130	M00048	R04208	RC01100	ko00000,ko00001,ko00002,ko01000				AIRS,AIRS_C						K01933	purM; phosphoribosylformylglycinamidine cyclo-ligase [EC:6.3.3.1]
pgaptmp_002649	Protein Homology	CDS	7829	10129		+	0	ID=cds-pgaptmp_002649;Parent=gene-pgaptmp_002649;Name=extdb:pgaptmp_002649;Ontology_term=GO:0009966,GO:0009975;gbkey=CDS;go_function=cyclase activity|0009975||IEA;go_process=regulation of signal transduction|0009966||IEA;inference=COORDINATES: similar to AA sequence:RefSeq:WP_008403068.1;locus_tag=pgaptmp_002649;product=diguanylate cyclase;protein_id=extdb:pgaptmp_002649;transl_table=11	pgaptmp_002649	diguanylate cyclase	411489.CLOL250_02938	0	1520	COG1609@1|root,COG2199@1|root,COG1609@2|Bacteria,COG2199@2|Bacteria,1UIMQ@1239|Firmicutes,25FS3@186801|Clostridia,36N86@31979|Clostridiaceae	186801|Clostridia	T	diguanylate cyclase													GGDEF							
pgaptmp_002650	Protein Homology	CDS	10264	12390		-	0	ID=cds-pgaptmp_002650;Parent=gene-pgaptmp_002650;Name=extdb:pgaptmp_002650;Ontology_term=GO:0006508,GO:0004177;gbkey=CDS;go_function=aminopeptidase activity|0004177||IEA;go_process=proteolysis|0006508||IEA;inference=COORDINATES: similar to AA sequence:RefSeq:WP_008403070.1;locus_tag=pgaptmp_002650;product=aminopeptidase;protein_id=extdb:pgaptmp_002650;transl_table=11	pgaptmp_002650	aminopeptidase	411489.CLOL250_02939	0	1431	COG2309@1|root,COG2309@2|Bacteria,1TSPE@1239|Firmicutes,24A6S@186801|Clostridia,36DC3@31979|Clostridiaceae	186801|Clostridia	E	Thermophilic metalloprotease (M29)													Peptidase_M29						K19689	ampS, pepS, ampT; aminopeptidase [EC:3.4.11.-]
pgaptmp_002651	Protein Homology	CDS	12387	12983		-	0	ID=cds-pgaptmp_002651;Parent=gene-pgaptmp_002651;Name=extdb:pgaptmp_002651;Ontology_term=GO:0042578,GO:0046872;gbkey=CDS;go_function=phosphoric ester hydrolase activity|0042578||IEA,metal ion binding|0046872||IEA;inference=COORDINATES: similar to AA sequence:RefSeq:WP_008403072.1;locus_tag=pgaptmp_002651;product=HD domain-containing protein;protein_id=extdb:pgaptmp_002651;transl_table=11	pgaptmp_002651	HD domain-containing protein	411489.CLOL250_02940	7.3E-143	402	COG1896@1|root,COG1896@2|Bacteria,1V3MK@1239|Firmicutes,24IBW@186801|Clostridia,36VV2@31979|Clostridiaceae	186801|Clostridia	L	HD domain				ko:K07023					ko00000				HD_3							
pgaptmp_002652	Protein Homology	CDS	12987	13298		-	0	ID=cds-pgaptmp_002652;Parent=gene-pgaptmp_002652;Name=extdb:pgaptmp_002652;gbkey=CDS;inference=COORDINATES: similar to AA sequence:RefSeq:WP_008403073.1;locus_tag=pgaptmp_002652;product=hypothetical protein;protein_id=extdb:pgaptmp_002652;transl_table=11	pgaptmp_002652	hypothetical protein	411489.CLOL250_02941	3.86E-57	178	2DXW4@1|root,346XT@2|Bacteria,1VZTY@1239|Firmicutes,2543Y@186801|Clostridia	186801|Clostridia	S	Psort location CytoplasmicMembrane, score 9.99																				
pgaptmp_002653	Protein Homology	CDS	13285	13761		-	0	ID=cds-pgaptmp_002653;Parent=gene-pgaptmp_002653;Name=extdb:pgaptmp_002653;Ontology_term=GO:0046677,GO:0071555,GO:0005576;gbkey=CDS;go_component=extracellular region|0005576||IEA;go_process=response to antibiotic|0046677||IEA,cell wall organization|0071555||IEA;inference=COORDINATES: protein motif:HMM:NF016763.6;locus_tag=pgaptmp_002653;product=VanZ family protein;protein_id=extdb:pgaptmp_002653;transl_table=11	pgaptmp_002653	VanZ family protein	411489.CLOL250_02942	2.45E-85	253	COG4767@1|root,COG4767@2|Bacteria,1VAH6@1239|Firmicutes,24MQR@186801|Clostridia,36ICD@31979|Clostridiaceae	186801|Clostridia	V	PFAM VanZ													VanZ							
pgaptmp_002654	Protein Homology	CDS	13781	15007		-	0	ID=cds-pgaptmp_002654;Parent=gene-pgaptmp_002654;Name=extdb:pgaptmp_002654;Ontology_term=GO:0015937,GO:0015941,GO:0004632,GO:0004633,GO:0010181;gbkey=CDS;gene=coaBC;go_function=phosphopantothenate--cysteine ligase activity|0004632||IEA,phosphopantothenoylcysteine decarboxylase activity|0004633||IEA,FMN binding|0010181||IEA;go_process=coenzyme A biosynthetic process|0015937||IEA,pantothenate catabolic process|0015941||IEA;inference=COORDINATES: similar to AA sequence:RefSeq:WP_009982955.1;locus_tag=pgaptmp_002654;product=bifunctional phosphopantothenoylcysteine decarboxylase/phosphopantothenate--cysteine ligase CoaBC;protein_id=extdb:pgaptmp_002654;transl_table=11	pgaptmp_002654	bifunctional phosphopantothenoylcysteine decarboxylase/phosphopantothenate--cysteine ligase CoaBC	411489.CLOL250_02943	1.57E-282	773	COG0452@1|root,COG0452@2|Bacteria,1TPP3@1239|Firmicutes,247J3@186801|Clostridia,36DPK@31979|Clostridiaceae	186801|Clostridia	H	Catalyzes two steps in the biosynthesis of coenzyme A. In the first step cysteine is conjugated to 4'-phosphopantothenate to form 4-phosphopantothenoylcysteine, in the latter compound is decarboxylated to form 4'-phosphopantotheine	coaBC		4.1.1.36,6.3.2.5	ko:K01598,ko:K13038	ko00770,ko01100,map00770,map01100	M00120	R03269,R04231	RC00064,RC00090,RC00822	ko00000,ko00001,ko00002,ko01000				DFP,Flavoprotein						K13038	coaBC, dfp; phosphopantothenoylcysteine decarboxylase / phosphopantothenate---cysteine ligase [EC:4.1.1.36 6.3.2.5]
pgaptmp_002655	Protein Homology	CDS	15074	15925		-	0	ID=cds-pgaptmp_002655;Parent=gene-pgaptmp_002655;Name=extdb:pgaptmp_002655;Ontology_term=GO:0015940,GO:0004592;gbkey=CDS;gene=panC;go_function=pantoate-beta-alanine ligase activity|0004592||IEA;go_process=pantothenate biosynthetic process|0015940||IEA;inference=COORDINATES: similar to AA sequence:RefSeq:WP_013499138.1;locus_tag=pgaptmp_002655;product=pantoate--beta-alanine ligase;protein_id=extdb:pgaptmp_002655;transl_table=11	pgaptmp_002655	pantoate--beta-alanine ligase	411489.CLOL250_02944	4.72E-204	564	COG0414@1|root,COG0414@2|Bacteria,1TP7A@1239|Firmicutes,248AN@186801|Clostridia,36E8S@31979|Clostridiaceae	186801|Clostridia	H	Catalyzes the condensation of pantoate with beta-alanine in an ATP-dependent reaction via a pantoyl-adenylate intermediate	panC		6.3.2.1	ko:K01918	ko00410,ko00770,ko01100,ko01110,map00410,map00770,map01100,map01110	M00119	R02473	RC00096,RC00141	ko00000,ko00001,ko00002,ko01000				Pantoate_ligase						K01918	panC; pantoate--beta-alanine ligase [EC:6.3.2.1]
pgaptmp_002656	Protein Homology	CDS	15992	16819		-	0	ID=cds-pgaptmp_002656;Parent=gene-pgaptmp_002656;Name=extdb:pgaptmp_002656;Ontology_term=GO:0015940,GO:0003864;gbkey=CDS;gene=panB;go_function=3-methyl-2-oxobutanoate hydroxymethyltransferase activity|0003864||IEA;go_process=pantothenate biosynthetic process|0015940||IEA;inference=COORDINATES: similar to AA sequence:RefSeq:WP_011721175.1;locus_tag=pgaptmp_002656;product=3-methyl-2-oxobutanoate hydroxymethyltransferase;protein_id=extdb:pgaptmp_002656;transl_table=11	pgaptmp_002656	3-methyl-2-oxobutanoate hydroxymethyltransferase	411489.CLOL250_02945	1.14E-191	532	COG0413@1|root,COG0413@2|Bacteria,1TPZA@1239|Firmicutes,248RR@186801|Clostridia,36EKX@31979|Clostridiaceae	186801|Clostridia	H	Catalyzes the reversible reaction in which hydroxymethyl group from 5,10-methylenetetrahydrofolate is transferred onto alpha-ketoisovalerate to form ketopantoate	panB		2.1.2.11	ko:K00606	ko00770,ko01100,ko01110,map00770,map01100,map01110	M00119	R01226	RC00022,RC00200	ko00000,ko00001,ko00002,ko01000				Pantoate_transf						K00606	panB; 3-methyl-2-oxobutanoate hydroxymethyltransferase [EC:2.1.2.11]
pgaptmp_002657	Protein Homology	CDS	16937	17848		-	0	ID=cds-pgaptmp_002657;Parent=gene-pgaptmp_002657;Name=extdb:pgaptmp_002657;Ontology_term=GO:0016491,GO:0070403;gbkey=CDS;go_function=oxidoreductase activity|0016491||IEA,NAD+ binding|0070403||IEA;inference=COORDINATES: protein motif:HMM:NF022187.6;locus_tag=pgaptmp_002657;product=Rossmann-like and DUF2520 domain-containing protein;protein_id=extdb:pgaptmp_002657;transl_table=11	pgaptmp_002657	Rossmann-like and DUF2520 domain-containing protein	411489.CLOL250_02946	1.61E-212	587	COG5495@1|root,COG5495@2|Bacteria,1UZZU@1239|Firmicutes,249YF@186801|Clostridia,36FY5@31979|Clostridiaceae	186801|Clostridia	S	Domain of unknown function (DUF2520)													DUF2520,F420_oxidored,Rossmann-like							
pgaptmp_002658	Protein Homology	CDS	18038	18526		-	0	ID=cds-pgaptmp_002658;Parent=gene-pgaptmp_002658;Name=extdb:pgaptmp_002658;Ontology_term=GO:0006189,GO:0009152,GO:0004638,GO:0009320;gbkey=CDS;gene=purE;go_component=phosphoribosylaminoimidazole carboxylase complex|0009320||IEA;go_function=phosphoribosylaminoimidazole carboxylase activity|0004638||IEA;go_process='de novo' IMP biosynthetic process|0006189||IEA,purine ribonucleotide biosynthetic process|0009152||IEA;inference=COORDINATES: similar to AA sequence:RefSeq:WP_006353104.1;locus_tag=pgaptmp_002658;product=5-(carboxyamino)imidazole ribonucleotide mutase;protein_id=extdb:pgaptmp_002658;transl_table=11	pgaptmp_002658	5-(carboxyamino)imidazole ribonucleotide mutase	411489.CLOL250_02947	3.42E-101	295	COG0041@1|root,COG0041@2|Bacteria,1V1MV@1239|Firmicutes,24HCB@186801|Clostridia,36WW8@31979|Clostridiaceae	186801|Clostridia	F	Catalyzes the conversion of N5-carboxyaminoimidazole ribonucleotide (N5-CAIR) to 4-carboxy-5-aminoimidazole ribonucleotide (CAIR)	purE		5.4.99.18	ko:K01588	ko00230,ko01100,ko01110,ko01130,map00230,map01100,map01110,map01130	M00048	R07405	RC01947	ko00000,ko00001,ko00002,ko01000				AIRC						K01588	purE; 5-(carboxyamino)imidazole ribonucleotide mutase [EC:5.4.99.18]
