-e target_id	length	eff_length	Coculture_PT33_HGF2_Late_Replicate_1_HGF2_counts	tpm
RCHGF000001	708	467.187	0	0
RCHGF000002	762	521.139	4	89.1277
RCHGF000003	780	539.038	1	21.5421
RCHGF000004	882	640.873	5	90.595
RCHGF000005	903	661.873	4	70.1765
RCHGF000006	1215	973.873	0	0
RCHGF000007	855	613.873	1	18.9159
RCHGF000008	561	321.385	4	144.524
RCHGF000009	522	283.985	1	40.8895
RCHGF000010	447	213.384	0	0
RCHGF000011	714	473.187	0	0
RCHGF000012	1449	1207.87	3	28.8407
RCHGF000013	144	17.672	0	0
RCHGF000014	639	398.357	0	0
RCHGF000015	480	244.228	0	0
RCHGF000016	744	503.139	0	0
RCHGF000017	849	607.873	0	0
RCHGF000018	387	160.676	0	0
RCHGF000020	519	281.067	0	0
RCHGF000021	156	21.6849	0	0
RCHGF000022	918	676.873	2	34.3107
RCHGF000023	1470	1228.87	2	18.8986
RCHGF000024	948	706.873	3	49.2818
RCHGF000025	2820	2578.87	15	67.541
RCHGF000026	528	289.284	10	401.404
RCHGF000027	480	244.228	0	0
RCHGF000028	747	506.139	1	22.9423
RCHGF000029	852	610.873	8	152.071
RCHGF000030	852	610.873	8	152.071
RCHGF000031	2136	1894.87	4	24.5124
RCHGF000032	114	11.1771	0	0
RCHGF000033	1155	913.873	7	88.9444
RCHGF000034	2412	2170.87	11	58.8389
RCHGF000035	642	401.357	0	0
RCHGF000036	945	703.873	7	115.481
RCHGF000037	399	170.316	5	340.895
RCHGF000038	1875	1633.87	5	35.5352
RCHGF000039	699	458.187	0	0
RCHGF000040	2544	2302.87	21	105.89
RCHGF000041	1098	856.873	1	13.5516
RCHGF000042	2586	2344.87	4	19.8083
RCHGF000043	3450	3208.87	25	90.4678
RCHGF000044	390	162.676	1	71.3809
RCHGF000045	834	592.873	1	19.5859
RCHGF000046	816	574.931	0	0
RCHGF000047	1971	1729.87	251	1684.87
RCHGF000048	813	571.931	544	11044.9
RCHGF000049	1026	784.873	9	133.153
RCHGF000050	1857	1615.87	8	57.4896
RCHGF000051	1692	1450.87	7	56.0241
RCHGF000052	126	13.6888	0	0
RCHGF000053	165	25.1715	0	0
RCHGF000054	135	15.7644	3	2209.78
RCHGF000055	447	213.384	1	54.4183
RCHGF000056	126	13.6888	0	0
RCHGF000057	408	178.092	0	0
RCHGF000058	639	398.357	1	29.1497
RCHGF000059	933	691.873	1	16.7834
RCHGF000060	675	434.231	0	0
RCHGF000061	744	503.139	0	0
RCHGF000062	1182	940.873	8	98.7337
RCHGF000063	1974	1732.87	2	13.402
RCHGF000064	1479	1237.87	1	9.38059
RCHGF000065	900	658.873	9	158.616
