-e target_id	length	eff_length	Coculture_PT33_HGF2_Early_Replicate_3_HGF2_counts	tpm
RCHGF000001	708	479.14	0	0
RCHGF000002	762	533.14	3	34.5227
RCHGF000003	780	551.14	1	11.1317
RCHGF000004	882	653.14	6	56.3598
RCHGF000005	903	674.14	0	0
RCHGF000006	1215	985.947	3	18.6678
RCHGF000007	855	626.14	4	39.1934
RCHGF000008	561	334.602	2	36.6713
RCHGF000009	522	297.151	1	20.6465
RCHGF000010	447	227.145	0	0
RCHGF000011	714	485.14	1	12.6461
RCHGF000012	1449	1219.95	4	20.1161
RCHGF000013	144	20.4641	0	0
RCHGF000014	639	410.798	2	29.8694
RCHGF000015	480	257.168	8	190.852
RCHGF000016	744	515.14	1	11.9097
RCHGF000017	849	620.14	0	0
RCHGF000018	387	174.541	0	0
RCHGF000020	519	294.488	2	41.6665
RCHGF000021	156	24.5149	0	0
RCHGF000022	918	688.947	13	115.766
RCHGF000023	1470	1240.95	3	14.8317
RCHGF000024	948	718.947	12	102.402
RCHGF000025	2820	2590.95	28	66.3016
RCHGF000026	528	302.637	0	0
RCHGF000027	480	257.168	1	23.8566
RCHGF000028	747	518.14	2	23.6814
RCHGF000029	852	623.14	14	137.837
RCHGF000030	852	623.14	2	19.6911
RCHGF000031	2136	1906.95	8	25.7381
RCHGF000032	114	13.7056	0	0
RCHGF000033	1155	925.947	5	33.129
RCHGF000034	2412	2182.95	32	89.9355
RCHGF000035	642	413.798	5	74.1321
RCHGF000036	945	715.947	22	188.524
RCHGF000037	399	183.962	13	433.55
RCHGF000038	1875	1645.95	4	14.9097
RCHGF000039	699	470.14	3	39.1488
RCHGF000040	2544	2314.95	17	45.0539
RCHGF000041	1098	868.947	2	14.1209
RCHGF000042	2586	2356.95	6	15.618
RCHGF000043	3450	3220.95	15	28.5714
RCHGF000044	390	176.768	1	34.7074
RCHGF000045	834	605.14	2	20.2768
RCHGF000046	816	587.14	0	0
RCHGF000047	1971	1741.95	419	1475.72
RCHGF000048	813	584.14	1022	10733.9
RCHGF000049	1026	796.947	13	100.078
RCHGF000050	1857	1627.95	19	71.6041
RCHGF000051	1692	1462.95	14	58.7116
RCHGF000052	126	15.8497	0	0
RCHGF000053	165	27.7747	0	0
RCHGF000054	135	17.9059	1	342.633
RCHGF000055	447	227.145	0	0
RCHGF000056	126	15.8497	0	0
RCHGF000057	408	192.126	1	31.933
RCHGF000058	639	410.798	0	0
