-e target_id	length	eff_length	Monoculture_Bi_animalis_lactis_PT33_Late_Replicate_1_HGF2_counts	tpm
RCHGF000001	708	491.688	0	0
RCHGF000002	762	545.688	0	0
RCHGF000003	780	563.688	0	0
RCHGF000004	882	665.688	0	0
RCHGF000005	903	686.688	0	0
RCHGF000006	1215	998.688	0	0
RCHGF000007	855	638.688	0	0
RCHGF000008	561	344.688	0	0
RCHGF000009	522	305.688	0	0
RCHGF000010	447	235.224	0	0
RCHGF000011	714	497.688	0	0
RCHGF000012	1449	1232.69	0	0
RCHGF000013	144	19.5769	0	0
RCHGF000014	639	422.688	0	0
RCHGF000015	480	265.375	0	0
RCHGF000016	744	527.688	0	0
RCHGF000017	849	632.688	0	0
RCHGF000018	387	178.698	0	0
RCHGF000020	519	302.688	0	0
RCHGF000021	156	22.9744	0	0
RCHGF000022	918	701.688	1	831.213
RCHGF000023	1470	1253.69	0	0
RCHGF000024	948	731.688	0	0
RCHGF000025	2820	2603.69	0	0
RCHGF000026	528	311.688	0	0
RCHGF000027	480	265.375	0	0
RCHGF000028	747	530.688	0	0
RCHGF000029	852	635.688	0	0
RCHGF000030	852	635.688	0	0
RCHGF000031	2136	1919.69	0	0
RCHGF000032	114	6.81818	0	0
RCHGF000033	1155	938.688	0	0
RCHGF000034	2412	2195.69	2	531.271
RCHGF000035	642	425.688	0	0
RCHGF000036	945	728.688	0	0
RCHGF000037	399	190.698	0	0
RCHGF000038	1875	1658.69	0	0
RCHGF000039	699	482.688	0	0
RCHGF000040	2544	2327.69	0	0
RCHGF000041	1098	881.688	0	0
RCHGF000042	2586	2369.69	0	0
RCHGF000043	3450	3233.69	3	541.103
RCHGF000044	390	181.698	0	0
RCHGF000045	834	617.688	0	0
RCHGF000046	816	599.688	0	0
RCHGF000047	1971	1754.69	0	0
RCHGF000048	813	596.688	1	977.483
RCHGF000049	1026	809.688	0	0
RCHGF000050	1857	1640.69	0	0
RCHGF000051	1692	1475.69	0	0
RCHGF000052	126	12.25	0	0
RCHGF000053	165	26.5152	0	0
RCHGF000054	135	15.05	0	0
RCHGF000055	447	235.224	0	0
RCHGF000056	126	12.25	0	0
RCHGF000057	408	197.423	0	0
RCHGF000058	639	422.688	0	0
RCHGF000059	933	716.688	0	0
RCHGF000060	675	458.688	0	0
RCHGF000061	744	527.688	0	0
RCHGF000062	1182	965.688	0	0
RCHGF000063	1974	1757.69	1	331.829
RCHGF000064	1479	1262.69	0	0
RCHGF000065	900	683.688	0	0
RCHGF000066	687	470.688	0	0
RCHGF000067	1395	1178.69	0	0
RCHGF000068	894	677.688	0	0
RCHGF000069	687	470.688	0	0
RCHGF000070	873	656.688	0	0
RCHGF000071	363	156.694	0	0
RCHGF000072	117	8.14286	0	0
RCHGF000073	861	644.688	0	0
RCHGF000074	732	515.688	0	0
RCHGF000075	207	46.4525	0	0
RCHGF000076	276	87.7092	0	0
RCHGF000077	288	95.949	0	0
RCHGF000078	1566	1349.69	0	0
RCHGF000079	288	95.949	0	0
RCHGF000080	459	246.528	0	0
RCHGF000081	450	237.528	0	0
RCHGF000082	411	199.838	0	0
RCHGF000083	369	161.72	0	0
RCHGF000084	1497	1280.69	0	0
RCHGF000085	726	509.688	0	0
RCHGF000086	585	368.688	0	0
RCHGF000087	1785	1568.69	0	0
RCHGF000088	1746	1529.69	0	0
RCHGF000089	615	398.688	0	0
RCHGF000090	354	150.018	0	0
RCHGF000091	1878	1661.69	0	0
RCHGF000092	1446	1229.69	0	0
RCHGF000093	513	296.688	0	0
RCHGF000094	672	455.688	0	0
RCHGF000095	1434	1217.69	0	0
RCHGF000096	987	770.688	0	0
RCHGF000097	1050	833.688	0	0
RCHGF000098	1203	986.688	0	0
RCHGF000099	1329	1112.69	0	0
RCHGF000100	207	46.4525	0	0
RCHGF000101	765	548.688	0	0
RCHGF000102	1164	947.688	0	0
RCHGF000103	1707	1490.69	0	0
RCHGF000104	1047	830.688	0	0
RCHGF000105	2346	2129.69	0	0
RCHGF000106	753	536.688	2	2173.53
RCHGF000107	195	41.0065	2	28446.8
RCHGF000108	195	41.0065	0	0
RCHGF000109	666	449.688	0	0
RCHGF000110	1152	935.688	0	0
RCHGF000111	1008	791.688	0	0
RCHGF000112	996	779.688	0	0
RCHGF000113	828	611.688	0	0
RCHGF000114	798	581.688	0	0
RCHGF000115	474	259.375	0	0
RCHGF000116	417	205.838	0	0
RCHGF000117	819	602.688	0	0
RCHGF000118	2754	2537.69	0	0
RCHGF000119	981	764.688	0	0
RCHGF000121	474	259.375	0	0
RCHGF000122	912	695.688	0	0
RCHGF000123	1251	1034.69	0	0
RCHGF000124	492	277.375	0	0
RCHGF000125	672	455.688	0	0
RCHGF000126	375	167.228	0	0
RCHGF000127	1632	1415.69	0	0
RCHGF000128	333	132.972	0	0
RCHGF000129	1206	989.688	0	0
RCHGF000130	1470	1253.69	0	0
RCHGF000131	987	770.688	0	0
RCHGF000132	900	683.688	0	0
RCHGF000133	657	440.688	0	0
RCHGF000134	2331	2114.69	0	0
RCHGF000135	1776	1559.69	0	0
RCHGF000136	120	9.11111	0	0
RCHGF000137	597	380.688	0	0
RCHGF000138	1125	908.688	0	0
RCHGF000139	978	761.688	0	0
RCHGF000140	489	274.375	0	0
RCHGF000141	1188	971.688	1	600.247
RCHGF000142	135	15.05	0	0
RCHGF000143	174	32.6881	0	0
RCHGF000144	735	518.688	0	0
RCHGF000145	702	485.688	0	0
RCHGF000146	777	560.688	0	0
RCHGF000147	243	65.4938	0	0
RCHGF000148	399	190.698	1	3058.52
RCHGF000149	750	533.688	0	0
RCHGF000151	2724	2507.69	0	0
RCHGF000152	729	512.688	0	0
RCHGF000153	444	232.224	0	0
RCHGF000154	765	548.688	0	0
RCHGF000155	1194	977.688	0	0
RCHGF000156	909	692.688	0	0
RCHGF000157	744	527.688	0	0
RCHGF000158	555	338.688	0	0
RCHGF000159	1041	824.688	0	0
RCHGF000160	927	710.688	0	0
RCHGF000161	1488	1271.69	0	0
RCHGF000162	1671	1454.69	0	0
RCHGF000163	1053	836.688	0	0
RCHGF000165	1038	821.688	0	0
RCHGF000166	2400	2183.69	0	0
RCHGF000167	120	9.11111	0	0
RCHGF000168	873	656.688	0	0
RCHGF000169	1836	1619.69	0	0
RCHGF000170	552	335.688	0	0
RCHGF000171	1230	1013.69	0	0
RCHGF000172	558	341.688	0	0
RCHGF000173	468	253.375	0	0
RCHGF000174	150	21.0154	0	0
RCHGF000175	1656	1439.69	0	0
RCHGF000176	873	656.688	0	0
RCHGF000177	390	181.698	0	0
RCHGF000178	876	659.688	4	3536.53
RCHGF000179	996	779.688	0	0
RCHGF000180	120	9.11111	0	0
RCHGF000181	813	596.688	0	0
RCHGF000182	786	569.688	1	1023.81
RCHGF000183	1230	1013.69	1	575.377
RCHGF000184	447	235.224	0	0
RCHGF000185	1398	1181.69	0	0
RCHGF000186	525	308.688	0	0
RCHGF000187	741	524.688	0	0
RCHGF000188	456	243.528	0	0
RCHGF000189	1380	1163.69	0	0
RCHGF000190	1140	923.688	0	0
RCHGF000191	1401	1184.69	0	0
RCHGF000192	624	407.688	0	0
RCHGF000193	1539	1322.69	0	0
RCHGF000194	1209	992.688	0	0
RCHGF000195	897	680.688	0	0
RCHGF000196	1458	1241.69	1	469.725
RCHGF000197	969	752.688	0	0
RCHGF000198	1287	1070.69	0	0
RCHGF000199	1242	1025.69	0	0
RCHGF000200	1446	1229.69	0	0
RCHGF000201	1185	968.688	0	0
RCHGF000202	162	24.0206	0	0
RCHGF000203	582	365.688	0	0
RCHGF000204	1209	992.688	0	0
RCHGF000205	720	503.688	0	0
RCHGF000206	1503	1286.69	0	0
RCHGF000207	1101	884.688	0	0
RCHGF000208	1332	1115.69	0	0
RCHGF000209	2175	1958.69	0	0
RCHGF000210	1710	1493.69	0	0
RCHGF000212	1578	1361.69	0	0
RCHGF000213	1425	1208.69	0	0
RCHGF000214	315	116.949	0	0
RCHGF000215	435	223.224	1	2612.86
RCHGF000216	723	506.688	0	0
RCHGF000217	111	5.5	0	0
RCHGF000218	651	434.688	0	0
RCHGF000219	1050	833.688	0	0
RCHGF000220	132	13.8571	0	0
RCHGF000221	726	509.688	0	0
RCHGF000222	1038	821.688	0	0
RCHGF000223	1254	1037.69	0	0
RCHGF000224	654	437.688	0	0
RCHGF000225	522	305.688	0	0
RCHGF000226	1080	863.688	0	0
RCHGF000227	282	90.2696	0	0
RCHGF000228	1026	809.688	0	0
RCHGF000229	336	135.129	0	0
RCHGF000230	711	494.688	0	0
RCHGF000231	678	461.688	0	0
RCHGF000232	456	243.528	0	0
RCHGF000233	534	317.688	0	0
RCHGF000234	645	428.688	0	0
RCHGF000235	3291	3074.69	0	0
RCHGF000236	552	335.688	0	0
RCHGF000237	2649	2432.69	0	0
RCHGF000238	321	122.195	0	0
RCHGF000240	942	725.688	0	0
RCHGF000241	588	371.688	0	0
RCHGF000242	459	246.528	0	0
RCHGF000243	1050	833.688	0	0
RCHGF000244	1551	1334.69	0	0
RCHGF000245	783	566.688	0	0
RCHGF000246	1434	1217.69	0	0
RCHGF000247	1656	1439.69	0	0
RCHGF000248	2358	2141.69	0	0
RCHGF000249	1101	884.688	1	659.275
RCHGF000250	1539	1322.69	0	0
RCHGF000251	1095	878.688	0	0
RCHGF000252	951	734.688	0	0
RCHGF000253	1254	1037.69	1	562.069
RCHGF000254	1281	1064.69	0	0
RCHGF000255	426	214.224	0	0
RCHGF000256	600	383.688	0	0
RCHGF000257	1752	1535.69	0	0
RCHGF000258	1128	911.688	0	0
RCHGF000259	1206	989.688	0	0
RCHGF000260	168	28.9802	11	221385
RCHGF000261	540	323.688	0	0
RCHGF000262	816	599.688	0	0
RCHGF000263	1410	1193.69	0	0
RCHGF000264	978	761.688	0	0
RCHGF000265	225	56.7356	0	0
RCHGF000266	207	46.4525	0	0
RCHGF000267	150	21.0154	0	0
RCHGF000268	213	49.6579	0	0
RCHGF000269	759	542.688	0	0
RCHGF000270	939	722.688	0	0
RCHGF000271	114	6.81818	0	0
RCHGF000272	2676	2459.69	0	0
RCHGF000273	270	82.6237	0	0
RCHGF000274	204	44.9827	0	0
RCHGF000275	501	286.375	0	0
RCHGF000276	735	518.688	0	0
RCHGF000277	585	368.688	0	0
RCHGF000279	345	143.259	0	0
RCHGF000280	600	383.688	0	0
RCHGF000281	591	374.688	0	0
RCHGF000282	864	647.688	0	0
RCHGF000283	621	404.688	0	0
RCHGF000284	375	167.228	0	0
RCHGF000285	429	217.224	0	0
RCHGF000286	945	728.688	0	0
RCHGF000287	729	512.688	0	0
RCHGF000288	2244	2027.69	0	0
RCHGF000289	1296	1079.69	0	0
RCHGF000290	906	689.688	0	0
RCHGF000291	207	46.4525	0	0
RCHGF000292	951	734.688	0	0
RCHGF000293	885	668.688	2	1744.47
RCHGF000294	135	15.05	0	0
RCHGF000295	711	494.688	0	0
RCHGF000296	540	323.688	0	0
RCHGF000297	702	485.688	0	0
RCHGF000298	771	554.688	0	0
RCHGF000299	1164	947.688	1	615.448
RCHGF000300	1056	839.688	0	0
RCHGF000301	486	271.375	0	0
RCHGF000302	1125	908.688	0	0
RCHGF000303	264	78.381	3	22323.8
RCHGF000304	873	656.688	0	0
RCHGF000305	954	737.688	0	0
RCHGF000306	294	100.953	0	0
RCHGF000307	939	722.688	0	0
RCHGF000308	1806	1589.69	0	0
RCHGF000309	840	623.688	0	0
RCHGF000310	1101	884.688	0	0
RCHGF000311	1026	809.688	0	0
RCHGF000312	264	78.381	0	0
RCHGF000313	2208	1991.69	0	0
RCHGF000314	1389	1172.69	0	0
RCHGF000315	669	452.688	0	0
RCHGF000316	327	127.799	0	0
RCHGF000317	711	494.688	0	0
RCHGF000318	1302	1085.69	0	0
RCHGF000319	375	167.228	1	3487.76
RCHGF000320	549	332.688	0	0
RCHGF000321	993	776.688	1	750.948
RCHGF000323	1233	1016.69	0	0
RCHGF000324	771	554.688	0	0
RCHGF000325	576	359.688	0	0
RCHGF000326	864	647.688	1	900.514
RCHGF000327	177	34.4956	0	0
RCHGF000328	162	24.0206	0	0
RCHGF000329	930	713.688	0	0
RCHGF000330	978	761.688	0	0
RCHGF000331	1005	788.688	0	0
RCHGF000332	798	581.688	0	0
RCHGF000333	522	305.688	0	0
RCHGF000334	1650	1433.69	0	0
RCHGF000335	699	482.688	0	0
RCHGF000336	459	246.528	0	0
RCHGF000337	1299	1082.69	0	0
RCHGF000338	282	90.2696	0	0
RCHGF000339	558	341.688	0	0
RCHGF000340	171	30.8571	0	0
RCHGF000341	330	130.387	0	0
RCHGF000342	597	380.688	0	0
RCHGF000343	1161	944.688	0	0
RCHGF000344	519	302.688	0	0
RCHGF000345	771	554.688	0	0
RCHGF000346	564	347.688	0	0
RCHGF000347	645	428.688	0	0
RCHGF000348	1029	812.688	0	0
RCHGF000349	681	464.688	0	0
RCHGF000350	831	614.688	1	948.859
RCHGF000351	402	191.991	0	0
RCHGF000352	1038	821.688	0	0
RCHGF000353	771	554.688	0	0
RCHGF000354	717	500.688	0	0
RCHGF000355	150	21.0154	0	0
RCHGF000356	993	776.688	0	0
RCHGF000357	1014	797.688	0	0
RCHGF000358	1263	1046.69	0	0
RCHGF000359	135	15.05	0	0
RCHGF000360	903	686.688	0	0
RCHGF000361	1992	1775.69	0	0
RCHGF000362	870	653.688	0	0
RCHGF000363	1176	959.688	0	0
RCHGF000364	510	293.688	1	1985.96
RCHGF000365	1290	1073.69	0	0
RCHGF000366	1002	785.688	2	1484.69
RCHGF000367	759	542.688	0	0
RCHGF000368	840	623.688	0	0
RCHGF000369	1383	1166.69	0	0
RCHGF000370	240	63.2917	0	0
RCHGF000372	2397	2180.69	0	0
RCHGF000373	867	650.688	0	0
RCHGF000374	1239	1022.69	0	0
RCHGF000375	138	16.9767	0	0
RCHGF000377	215	51.6579	0	0
RCHGF000379	750	533.688	0	0
RCHGF000380	594	377.688	0	0
RCHGF000381	330	130.387	0	0
RCHGF000382	1098	881.688	0	0
RCHGF000383	558	341.688	0	0
RCHGF000384	300	105.913	0	0
RCHGF000385	1053	836.688	0	0
RCHGF000386	474	259.375	0	0
RCHGF000387	396	187.698	0	0
RCHGF000388	663	446.688	0	0
RCHGF000389	834	617.688	0	0
RCHGF000390	744	527.688	0	0
RCHGF000391	735	518.688	0	0
RCHGF000392	1053	836.688	0	0
RCHGF000393	867	650.688	0	0
RCHGF000394	1026	809.688	0	0
RCHGF000395	1431	1214.69	0	0
RCHGF000396	1275	1058.69	0	0
RCHGF000397	561	344.688	0	0
RCHGF000398	3159	2942.69	0	0
RCHGF000399	1293	1076.69	0	0
RCHGF000400	300	105.913	0	0
RCHGF000401	309	113.161	0	0
RCHGF000402	645	428.688	0	0
RCHGF000403	312	113.949	0	0
RCHGF000404	141	18.4468	0	0
RCHGF000405	591	374.688	0	0
RCHGF000406	1173	956.688	0	0
RCHGF000407	1572	1355.69	0	0
RCHGF000408	831	614.688	0	0
RCHGF000409	468	253.375	0	0
RCHGF000410	207	46.4525	0	0
RCHGF000411	462	247.375	0	0
RCHGF000412	300	105.913	0	0
RCHGF000413	288	95.949	0	0
RCHGF000414	492	277.375	0	0
RCHGF000415	240	63.2917	0	0
RCHGF000416	1173	956.688	0	0
RCHGF000417	792	575.688	0	0
RCHGF000418	3453	3236.69	0	0
RCHGF000419	558	341.688	0	0
RCHGF000420	162	24.0206	0	0
RCHGF000421	1353	1136.69	0	0
RCHGF000422	804	587.688	0	0
RCHGF000423	1359	1142.69	0	0
RCHGF000424	852	635.688	0	0
RCHGF000425	1041	824.688	0	0
RCHGF000426	837	620.688	0	0
RCHGF000427	783	566.688	0	0
RCHGF000428	477	262.375	0	0
RCHGF000429	438	226.224	0	0
RCHGF000430	1455	1238.69	0	0
RCHGF000431	843	626.688	0	0
RCHGF000432	1041	824.688	0	0
RCHGF000433	1914	1697.69	0	0
RCHGF000434	666	449.688	0	0
RCHGF000435	717	500.688	0	0
RCHGF000436	465	250.375	0	0
RCHGF000437	1188	971.688	0	0
RCHGF000438	1416	1199.69	0	0
RCHGF000439	1086	869.688	0	0
RCHGF000440	261	75.9446	0	0
RCHGF000441	2100	1883.69	0	0
RCHGF000442	612	395.688	0	0
RCHGF000443	993	776.688	0	0
RCHGF000444	324	124.799	0	0
RCHGF000445	132	13.8571	0	0
RCHGF000446	381	173.228	0	0
RCHGF000447	135	15.05	0	0
RCHGF000448	144	19.5769	0	0
RCHGF000449	1356	1139.69	1	511.765
RCHGF000450	1116	899.688	0	0
RCHGF000451	192	39.3154	0	0
RCHGF000452	201	44.103	0	0
RCHGF000453	1098	881.688	1	661.518
RCHGF000454	1941	1724.69	0	0
RCHGF000455	2511	2294.69	0	0
RCHGF000457	1284	1067.69	0	0
RCHGF000459	453	240.528	0	0
RCHGF000460	1806	1589.69	0	0
RCHGF000461	306	110.161	0	0
RCHGF000462	594	377.688	0	0
RCHGF000463	933	716.688	0	0
RCHGF000464	555	338.688	0	0
RCHGF000465	771	554.688	0	0
RCHGF000466	1218	1001.69	2	1164.54
RCHGF000467	2529	2312.69	0	0
RCHGF000468	2085	1868.69	0	0
RCHGF000469	909	692.688	0	0
RCHGF000470	738	521.688	0	0
RCHGF000471	777	560.688	0	0
RCHGF000472	843	626.688	0	0
RCHGF000473	336	135.129	0	0
RCHGF000474	558	341.688	0	0
RCHGF000475	648	431.688	0	0
RCHGF000476	147	20.7719	0	0
RCHGF000477	630	413.688	0	0
RCHGF000478	975	758.688	0	0
RCHGF000479	1068	851.688	0	0
RCHGF000480	855	638.688	0	0
RCHGF000481	693	476.688	0	0
RCHGF000482	678	461.688	0	0
RCHGF000483	1641	1424.69	0	0
RCHGF000484	2343	2126.69	0	0
RCHGF000485	546	329.688	0	0
RCHGF000486	111	5.5	0	0
RCHGF000487	486	271.375	0	0
RCHGF000488	441	229.224	0	0
RCHGF000489	1035	818.688	0	0
RCHGF000490	312	113.949	0	0
RCHGF000491	2640	2423.69	0	0
RCHGF000492	1941	1724.69	0	0
RCHGF000493	366	159.694	0	0
RCHGF000494	1773	1556.69	0	0
RCHGF000495	477	262.375	0	0
RCHGF000496	765	548.688	0	0
RCHGF000497	762	545.688	0	0
RCHGF000498	939	722.688	2	1614.12
RCHGF000499	846	629.688	0	0
RCHGF000500	1260	1043.69	0	0
RCHGF000501	1014	797.688	0	0
RCHGF000502	1095	878.688	0	0
RCHGF000503	1011	794.688	0	0
RCHGF000504	1083	866.688	0	0
RCHGF000505	1233	1016.69	0	0
RCHGF000506	165	26.5152	0	0
RCHGF000507	921	704.688	0	0
RCHGF000508	348	144.466	0	0
RCHGF000509	138	16.9767	0	0
RCHGF000510	153	22.7101	0	0
RCHGF000512	498	283.375	0	0
RCHGF000513	3693	3476.69	0	0
RCHGF000514	1572	1355.69	0	0
RCHGF000515	1029	812.688	0	0
RCHGF000516	585	368.688	0	0
RCHGF000517	1530	1313.69	0	0
RCHGF000518	438	226.224	0	0
RCHGF000519	690	473.688	0	0
RCHGF000520	750	533.688	0	0
RCHGF000521	1224	1007.69	0	0
RCHGF000522	714	497.688	0	0
RCHGF000523	369	161.72	0	0
RCHGF000524	327	127.799	0	0
RCHGF000526	186	37.947	0	0
RCHGF000527	561	344.688	0	0
RCHGF000528	807	590.688	0	0
RCHGF000529	627	410.688	0	0
RCHGF000530	273	85.3214	0	0
